MONTH_DAY,TMIN,TMAX,AWND,PRCP,YEARS_COUNT
02-29,-2.5833333333333335,4.050000000000001,2.7222222222222223,1.0,9.0
01-01,-6.8271428571428565,-2.0242857142857145,2.025714285714286,0.20714285714285716,35.0
01-02,-6.640000000000001,-1.3914285714285715,1.9928571428571429,0.2814285714285714,35.0
01-03,-6.651428571428572,-1.4028571428571428,2.4228571428571426,0.29285714285714287,35.0
01-04,-7.15,-1.8785714285714286,2.1514285714285712,0.17857142857142858,35.0
01-05,-6.574285714285714,-1.882857142857143,2.3657142857142857,0.23,35.0
01-06,-6.7628571428571425,-2.0771428571428574,2.1114285714285717,0.32,35.0
01-07,-6.777142857142857,-1.522857142857143,1.9457142857142855,0.14285714285714285,35.0
01-08,-6.364285714285714,-0.9842857142857143,2.072857142857143,0.42857142857142855,35.0
01-09,-6.558571428571429,-1.2671428571428571,2.5014285714285713,0.15714285714285714,35.0
01-10,-6.08,-0.9942857142857142,2.317142857142857,0.22428571428571428,35.0
01-11,-6.1814285714285715,-1.2057142857142855,2.3514285714285714,0.2142857142857143,35.0
01-12,-6.71,-2.0185714285714287,2.4099999999999997,0.17428571428571427,35.0
01-13,-7.075714285714286,-1.85,2.0628571428571427,0.2814285714285714,35.0
01-14,-6.7,-1.602857142857143,2.24,0.40285714285714286,35.0
01-15,-7.344285714285714,-1.8971428571428572,2.242857142857143,0.054285714285714284,35.0
01-16,-6.795714285714285,-1.44,2.44,0.18857142857142856,35.0
01-17,-7.140000000000001,-1.792857142857143,2.36,0.4228571428571429,35.0
01-18,-7.1414285714285715,-1.2,2.49,0.3314285714285714,35.0
01-19,-6.774285714285714,-1.8857142857142857,2.1414285714285715,0.3157142857142857,35.0
01-20,-6.951428571428572,-2.144285714285714,2.0,0.49428571428571433,35.0
01-21,-6.198571428571428,-0.9542857142857143,2.224285714285714,0.16857142857142857,35.0
01-22,-6.054285714285714,-1.0214285714285714,2.4014285714285712,0.1657142857142857,35.0
01-23,-6.347142857142857,-1.3857142857142857,2.355714285714286,0.2414285714285714,35.0
01-24,-6.485714285714286,-1.3014285714285714,2.192857142857143,0.30142857142857143,35.0
01-25,-6.274285714285714,-1.5157142857142856,2.367142857142857,0.29285714285714287,35.0
01-26,-6.19,-0.30428571428571427,2.424285714285714,0.20714285714285716,35.0
01-27,-5.967142857142857,-0.6257142857142857,2.3214285714285716,0.3014285714285714,35.0
01-28,-6.057142857142857,-0.9414285714285715,2.2642857142857142,0.3385714285714286,35.0
01-29,-6.609999999999999,-1.6457142857142857,2.3457142857142856,0.30142857142857143,35.0
01-30,-6.594285714285714,-1.5514285714285716,2.0,0.18285714285714286,35.0
01-31,-5.5,-0.5585714285714286,2.017142857142857,0.3114285714285714,35.0
02-01,-6.135714285714286,-0.7057142857142857,2.017142857142857,0.19285714285714287,35.0
02-02,-6.098571428571428,-0.6985714285714285,2.12,0.15857142857142856,35.0
02-03,-6.41,-0.9385714285714286,2.3657142857142857,0.2985714285714286,35.0
02-04,-6.185714285714286,-0.8671428571428572,2.35,0.4057142857142857,35.0
02-05,-5.428571428571429,-0.012857142857142862,1.887142857142857,0.33428571428571424,35.0
02-06,-5.501428571428572,0.011428571428571389,1.9471428571428573,0.12857142857142856,35.0
02-07,-6.121428571428571,-0.58,2.277142857142857,0.18857142857142856,35.0
02-08,-6.587142857142857,-0.7157142857142856,2.032857142857143,0.26285714285714284,35.0
02-09,-5.844285714285714,-0.8214285714285714,2.4985714285714287,0.16142857142857142,35.0
02-10,-6.738571428571428,-0.7985714285714286,2.487142857142857,0.36714285714285716,35.0
02-11,-5.847142857142857,-0.91,2.6799999999999997,0.2942857142857143,35.0
02-12,-6.451428571428572,-0.7528571428571428,2.164285714285714,0.14857142857142858,35.0
02-13,-5.777142857142857,-0.20428571428571435,2.2471428571428573,0.47714285714285715,35.0
02-14,-5.984285714285714,-0.4971428571428571,2.5114285714285716,0.68,35.0
02-15,-6.337142857142857,-0.9671428571428572,2.28,0.26,35.0
02-16,-6.091428571428571,-0.28428571428571425,2.3457142857142856,0.13428571428571429,35.0
02-17,-5.31,0.28,2.33,0.49857142857142855,35.0
02-18,-4.84,0.5642857142857142,2.2657142857142856,0.24857142857142855,35.0
02-19,-5.08,0.7300000000000001,2.137142857142857,0.06714285714285714,35.0
02-20,-4.430000000000001,1.1257142857142857,2.42,0.6842857142857143,35.0
02-21,-4.73,0.7285714285714285,2.1399999999999997,0.4342857142857143,35.0
02-22,-4.547142857142857,0.4714285714285714,2.2214285714285715,0.55,35.0
02-23,-4.927142857142857,0.11428571428571434,2.47,0.81,35.0
02-24,-5.337142857142857,-0.07999999999999997,2.287142857142857,0.6642857142857143,35.0
02-25,-5.555714285714285,-0.4028571428571429,2.6042857142857145,0.2514285714285714,35.0
02-26,-5.361428571428571,-0.03285714285714287,2.414285714285714,0.1542857142857143,35.0
02-27,-5.322857142857143,0.1871428571428571,2.225714285714286,0.08142857142857143,35.0
02-28,-4.645714285714286,0.7914285714285714,2.3528571428571428,0.9128571428571428,35.0
03-01,-4.8271428571428565,1.1785714285714286,2.26,0.4128571428571428,35.0
03-02,-5.522857142857143,0.5371428571428571,2.454285714285714,0.06285714285714285,35.0
03-03,-4.831428571428571,1.042857142857143,2.2042857142857146,0.07142857142857142,35.0
03-04,-3.4842857142857144,2.2542857142857144,2.3314285714285714,0.28428571428571425,35.0
03-05,-3.7714285714285714,2.124285714285714,2.4571428571428573,0.5814285714285715,35.0
03-06,-3.5971428571428574,2.0785714285714287,2.5942857142857143,0.3685714285714286,35.0
03-07,-3.257142857142857,1.4214285714285715,2.7,0.27571428571428575,35.0
03-08,-3.488571428571429,1.9400000000000002,2.5157142857142856,0.8657142857142858,35.0
03-09,-3.525714285714286,1.637142857142857,2.525714285714286,0.9585714285714285,35.0
03-10,-3.4099999999999997,2.257142857142857,2.412857142857143,0.3,35.0
03-11,-2.97,3.218571428571429,2.424285714285714,0.42857142857142855,35.0
03-12,-2.4285714285714284,3.2142857142857144,2.681428571428571,0.5357142857142857,35.0
03-13,-2.2071428571428573,4.0042857142857144,2.2,1.05,35.0
