Date,Open,High,Low,Close,Volume,Sentiment,US Federal Funds Rate,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2017-01-09,12.801131603755485,12.859389775080633,12.727339204101554,12.785595893859863,1884400.0,0.0645404681563377,0.66,0.5,0.5,0.6,0.82,1.21,1.47,1.89,2.18,2.38,2.69,2.97
2017-01-10,12.7156870380171,12.87880753279586,12.707919183756204,12.793362617492676,2243200.0,0.0645404681563377,0.66,0.51,0.52,0.6,0.82,1.19,1.47,1.89,2.18,2.38,2.69,2.97
2017-01-11,12.700150487218783,13.030276122796105,12.680731593637756,13.026392936706545,2536800.0,0.0645404681563377,0.66,0.51,0.52,0.6,0.82,1.2,1.47,1.89,2.18,2.38,2.68,2.96
2017-01-12,12.940949262822071,12.98755490818031,12.8322022631306,12.94871711730957,2993200.0,0.0645404681563377,0.66,0.52,0.52,0.59,0.81,1.18,1.45,1.87,2.17,2.36,2.68,3.01
2017-01-13,13.274958185922712,13.356518427015937,13.205048984538063,13.251654624938965,3311900.0,0.1116187497973442,0.66,0.52,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-14,13.274958185922712,13.356518427015937,13.205048984538063,13.251654624938965,3311900.0,0.1116187497973442,0.66,0.52,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-15,13.274958185922712,13.356518427015937,13.205048984538063,13.251654624938965,3311900.0,0.1116187497973442,0.66,0.52,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-16,13.274958185922712,13.356518427015937,13.205048984538063,13.251654624938965,3311900.0,0.1116187497973442,0.66,0.52,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-17,13.228353227881376,13.247772122252888,12.979786342599338,13.003089904785156,2568000.0,0.1116187497973442,0.66,0.52,0.55,0.62,0.8,1.17,1.42,1.84,2.14,2.33,2.66,2.93
2017-01-18,12.824435411857849,12.839971122048157,12.72423259979405,12.816667556762695,1957200.0,0.1116187497973442,0.66,0.48,0.53,0.63,0.82,1.23,1.51,1.93,2.24,2.42,2.74,3.0
2017-01-19,12.972020680772069,12.98755490818031,12.857834849529263,12.94871711730957,2103700.0,0.07313022762537,0.66,0.47,0.52,0.62,0.83,1.25,1.53,1.97,2.28,2.47,2.77,3.04
2017-01-20,12.80889751113157,12.925412354499144,12.80501432503152,12.917644500732422,1526100.0,0.07313022762537,0.66,0.46,0.5,0.62,0.82,1.2,1.5,1.95,2.28,2.48,2.79,3.05
2017-01-21,12.80889751113157,12.925412354499144,12.80501432503152,12.917644500732422,1526100.0,0.07313022762537,0.66,0.46,0.5,0.62,0.82,1.2,1.5,1.95,2.28,2.48,2.79,3.05
2017-01-22,12.80889751113157,12.925412354499144,12.80501432503152,12.917644500732422,1526100.0,0.07313022762537,0.66,0.46,0.5,0.62,0.82,1.2,1.5,1.95,2.28,2.48,2.79,3.05
2017-01-23,12.770060075277687,12.894342775832053,12.726561278240323,12.878807067871094,1496700.0,0.07313022762537,0.66,0.46,0.51,0.59,0.79,1.16,1.43,1.88,2.19,2.41,2.72,2.99
2017-01-24,12.995323485047496,13.15844547521903,12.995323485047496,13.088536262512209,1611100.0,0.07313022762537,0.66,0.5,0.51,0.62,0.81,1.21,1.49,1.94,2.27,2.47,2.78,3.05
