"date","headline","label"
"2017-01-09","Can you buy car with an Amazon gift card ? Nope, it a scam",""
"2017-01-09","Amazon Is Opening a Bookstore in the Middle of Manhattan",""
"2017-01-10","What Is Amazon Channels and Is it Worth It ?",""
"2017-01-10","Amazon Alexa Already Winning Virtual Assistant Showdown",""
"2017-01-11","Amazon launches Chase card for Prime members",""
"2017-01-11","Prime payback: Amazon amps up rewards with new credit card",""
"2017-01-11","Here ’ s How to Get $5 Back for Every $100 You Spend on Amazon",""
"2017-01-11","Amazon: CPG Friend Or Foe ? 01 / 09 / 2017",""
"2017-01-11","Amazon launches a credit card just for Prime members",""
"2017-01-11","New Card: 5% Back at Amazon, Rewards Everywhere Else",""
"2017-01-11","Amazon Chase Card Offers Cash Back For Prime Members",""
"2017-01-11","India demands Amazon stop selling country ’ s flag doormats",""
"2017-01-11","New Amazon credit card includes 5% back on all Amazon purchases, but only for Prime members",""
"2017-01-11","Amazon Prime member ? This new credit card will give you 5 percent back",""
"2017-01-11","Sushma Swaraj warning to Amazon over sale of tricolour doormats",""
"2017-01-11","An Indian official threatened to take away visas from Amazon for selling Indian flag doormats (AMZN)",""
"2017-01-11","Amazon new Prime credit card adds extra perks",""
"2017-01-11","Amazon and Chase Introduce New Prime Rewards Visa Card With 5% Back on All Amazon.com Purchases and Rewards Everywhere Else You Shop",""
"2017-01-11","Amazon just upgraded its no",""
"2017-01-11","Amazon Launches Rewards Card For Prime Members",""
"2017-01-11","Amazon Latest Perk For Prime Members ? 5% Back Visa Card",""
"2017-01-11","Latest Amazon Prime perk is 5% awards back credit card",""
"2017-01-11","India FM asks Amazon to apologize over flag insult, threatens visa cancelation",""
"2017-01-12","Amazon New Credit Card Primed To Disrupt Retail",""
"2017-01-12","Here ’ s how to get $5 back for every $100 you spend on Amazon",""
"2017-01-12","Here ’ s How To Get $5 Back For Every $100 You Spend On Amazon",""
"2017-01-12","Amazon announces 5% back credit card for Prime members",""
"2017-01-12","Amazon Prime Rewards Visa Signature Card",""
"2017-01-12","Amazon Prime Subscribers Can Now Get a Members",""
"2017-01-12","Amazon ’ s Prime credit card just got even better – BGR",""
"2017-01-12","Angry Sushma asks Amazon to withdraw Tricolour themed doormats",""
"2017-01-12","Amazon removes offensive Indian flag doormats from its site Latest News",""
"2017-01-12","Amazon halts sales of Indian flag doormat after visa threat by Sushma Swaraj Latest News",""
"2017-01-12","Amazon ’ s New Credit Card Primed To Disrupt Retail – Forbes « Contacto Latino News",""
"2017-01-12","Government Warns Amazon Over Selling Indian Flag Doormats",""
"2017-01-12","Amazon U.S . Launches Anime Strike Paid Streaming Service",""
"2017-01-12","Amazon removes Indian flag doormat from website Latest News",""
"2017-01-12","Amazon to Create More Than 100, 000 New, Full",""
"2017-01-12","Amazon withdraws Tricolour doormats after Sushma visa threat Latest News",""
"2017-01-12","Sushma Swaraj Warns Amazon Canada: Apologize or we cancel Indian Visas – FitnHit.com",""
"2017-01-12","Amazon Says It Will Create 100, 000 Jobs In U.S . By 2018",""
"2017-01-12","Amazon removes Indian flag doormat from website",""
"2017-01-13","Amazon apologizes to Indian FM over flag insult",""
"2017-01-13","Amazon, JP Morgan Chase Launch Prime Credit Card: Here Are The Benefits",""
"2017-01-13","Amazon Nabs Target Exec To Expand Amazon Prime",""
"2017-01-13","Amazon.com, Inc .: The Fate of Amazon Stock Under the Trump Administration",""
"2017-01-13","Amazon sorry over India flag doormat fiasco",""
"2017-01-13","College Students Head Back to Campus with Amazon Prime Student",""
"2017-01-14","Amazon grows its apparel empire",""
"2017-01-14","After Indian flag doormat, Amazon lists Mahatma Gandhi flip",""
"2017-01-15","Amazon is getting closer to crushing America biggest clothing stores",""
"2017-01-15","Amazon is getting closer to crushing America biggest clothing stores (M, AMZN)",""
"2017-01-15","Amazon.in to hire over 7, 500 personnel for Great Indian Sale Latest News",""
"2017-01-15","Students Head Back to Campus with Amazon Prime Student",""
"2017-01-15","Amazon seeks permission for mystery wireless tests in rural Washington – XFOOR NEWS",""
"2017-01-15","After Indian flag, Amazon now lists Mahatma Gandhi flip",""
"2017-01-15","Dont be flippant about Indian symbols, icons: Shaktikanta Das to Amazon",""
"2017-01-15","Amazon Prime Now Even Has Its Own Credit Card",""
"2017-01-15","Now, Shaktikanta Das asks Amazon to respect Indian symbols and icons",""
"2017-01-15","Amazon listing for £14 Gandhi flip flop prompts outrage in India",""
"2017-01-15","Now, Twitterati tell Sushma Swaraj about Amazon selling Gandhi slippers",""
"2017-01-15","After Indian Flag, Amazon Now Flip",""
"2017-01-15","Economic Affairs Secy Shaktikanta Das warns Amazon against dismissive attitude towards Indian symbols",""
"2017-01-15","Tricolour doormat row: Respect Indian sentiment, Centre warns Amazon",""
"2017-01-15","Economic Affairs Secretary Shaktikanta Das warns Amazon not to be flippant about Indian symbols, icons",""
"2017-01-15","Amazon selling Gandhi printed flip",""
"2017-01-15","Amazon ’ s Gandhi flip",""
"2017-01-15","Indian flag doormat: Respect Indian sentiments: Government to Amazon after tricolour mat row",""
"2017-01-15","Amazon Shipped Over One Billion Items During The 2016 Holiday Season",""
"2017-01-15","Dont be flippant about Indian symbols, icons: Shaktikanta Das asks Amazon to behave",""
"2017-01-15","Dont be flippant about Indian symbols & icons: Das to Amazon",""
"2017-01-15","Now Amazon lists slippers with Mahatma Gandhi image",""
"2017-01-16","Amazon to Add 100, 000 Employees for Automated Market",""
"2017-01-16","Amazon seeks FCC permission to run undisclosed experiments in Washington State",""
"2017-01-16","Amazon Seeks Government Permission for Running Wireless Technology Tests",""
"2017-01-16","Amazon Officially Announces its Best",""
"2017-01-16","Amazon: dont be flippant about indian symbols, icons: shaktikanta das to amazon, Retail News, ET Retail",""
"2017-01-16","Amazon Is Making India Angry Again — With a Pair of Flip",""
"2017-01-16","Amazon shouldnt be flippant about Indian symbols and icons: Shaktikanta Das",""
"2017-01-16","Behave yourself Amazon, Shaktikanta Das lashes out at the e",""
"2017-01-16","Amazon Warned By Indian Govt.Over Hurting Indian Sentiments",""
"2017-01-16","After Indian flag doormats and undies, Amazon puts Gandhi slippers on sale – Daily Pakistan",""
"2017-01-16","Amazon Applies for FCC Approval to Run Tests for Drone Network: Tech",""
"2017-01-16","Amazon tricolour doormat: On Twitter, Shaktikanta Das warns company not to be flippant",""
"2017-01-16","Bangladesh Business News (BBN)",""
"2017-01-16","Amazon seeks permission to run wireless tests in Washington",""
"2017-01-16","Dont be flippant about Indian symbols, icons: Das to Amazon",""
"2017-01-16","Amazon.in to Create over 7500 Temporary Vacancies for Great Indian Sale – FitnHit.com",""
"2017-01-16","USA: Amazon is getting closer to crushing America ’ s biggest clothing stores",""
"2017-01-17","Indians Livid with Anger as Amazon Sells Flip Flops with Gan",""
"2017-01-17","Amazon urged to withdraw skateboards with Ganesha images Latest News",""
"2017-01-17","Amazon Prime Credit Card Now Gets You Five Percent Back On All Amazon Purchases",""
"2017-01-18","You Can Now Stream Endless Anime on Amazon Prime",""
"2017-01-18","Shows Amazon has canceled",""
"2017-01-18","What to Do When You Decide to Sell on Amazon",""
"2017-01-18","RIP: Here are the only 5 shows Amazon has canceled",""
"2017-01-18","Amazon Announces Ninth Fulfillment Center in Texas ; New Robotics Site Will Create 1, 000",""
"2017-01-18","Why Amazon Has Launched A New Credit Card For Prime Users",""
"2017-01-18","Amazon to Open New Fulfillment Center in Maryland",""
"2017-01-19","Amazon Go impact on payments, self",""
"2017-01-19","Amazon Alexa Order Options and Cancellation Window",""
"2017-01-19","Couple lose £3k to bogus Amazon Marketplace sellers",""
"2017-01-19","RIP: Here are the 5 shows Amazon has canceled",""
"2017-01-20","Amazon Is Offering £10 Off £50 Orders In The united kingdom Today",""
"2017-01-20","Amazon India Sale Offers: Xiaomi Redmi 3S Prime, Moto G4 Plus, iPhone 5S, and Other Deals",""
"2017-01-20","Amazon Go Is About Payments, Not Grocery",""
"2017-01-20","Amazon Great Indian Sale 2017 Offers: Deals You Cant Miss on iPad Pro, TVs, Laptops, and More",""
"2017-01-20","Amazon says thank you to united kingdom shoppers by offering £10 off orders over £50",""
"2017-01-20","Is It Too Late to Get in on This Millionaire",""
"2017-01-20","Amazon job offer hints at plans for VR shopping apps",""
"2017-01-20","The Amazon Great Indian Sale is now live ; expect discounts, Prime exclusive deals and cashback offers – Tech2",""
"2017-01-20","Earn 5% Cash Back With The New Amazon Prime Rewards Visa Signature Card",""
"2017-01-20","Amazon Dash Button Launches For Instant Digital Purchases",""
"2017-01-20","Amazon offers £10 off orders all day 20 January: Save £10 on Amazon",""
"2017-01-20","Better Buy: Amazon.com, Inc.vs.Facebook, Inc .",""
"2017-01-21","Virtual Amazon Dash Buttons Make Shopping Easier: One",""
"2017-01-21","Amazon Prime Dash Buttons go virtual",""
"2017-01-21","Amazon Great Indian Sale 2017 Deals: Redmi 3S Prime, Moto G4 Plus, iPhone 5S, DSLR Camera and Other Offers",""
"2017-01-21","Amazon Great Indian Sale 2017 Deals: Redmi 3S Prime, Moto G4 Plus, iPhone 5S, DSLR Camera and Other Offers – Military Technologies",""
"2017-01-22","This Is Amazon Plan to Squeeze Every Dollar Out of Its Video Content",""
"2017-01-22","Popular Japanese Anime On Amazon Prime: Anime Strike Channel Streaming Blue Exorcist",""
"2017-01-22","Amazon Grows Its Robot Army - - Is a Robot Air Force Next ?",""
"2017-01-22","Amazon Grows Its Robot Army",""
"2017-01-22","Amazon Alexa Setup: Settings to Enable and Disable",""
"2017-01-23","Pay By Amazon Wallet Can Now Be Used To Pay 3rd Party Transactions ; Digital India Vision Is Pushing Amazon India Boundaries ?",""
"2017-01-23","Amazon Announces First Fulfillment Center in Colorado, Creating 1, 000 Full",""
"2017-01-23","Amazon com: Announces First Fulfillment Center in Colorado, Creating 1, 000 Full",""
"2017-01-23","Amazon Adds Dash Button To Website, Mobile App",""
"2017-01-23","Amazon Appeals FTC Win In Battle Over In",""
"2017-01-23","Amazon to begin selling car parts directly to owners",""
"2017-01-23","Amazon takes on Netflix and Hotstar: signs 14 comedians and promises no censorship – Tech2",""
"2017-01-23","Amazon launches literary contest for self",""
"2017-01-24","Amazon Offers To Change E",""
"2017-01-24","Buy Box Experts Offers Tax Nexus Support For Sellers To Navigate Tax Liabilities",""
"2017-01-24","Oscar Nominations: Where to Watch 2017 Movies",""
"2017-01-24","Banco Bilbao Vizcaya Argentaria S A: BBVA Compass places Amazon Lockers in select Austin branches",""
"2017-01-24","Where to Watch All of This Year Oscar",""
"2017-01-24","BBVA Compass pilots Amazon Lockers at Austin branches",""
"2017-01-24","Amazon: The World First Quantum Business Model",""
"2017-01-24","Amazon com: EU Seeks Public Feedback on Amazon Commitments Over E",""
"2017-01-24","Amazon lets owners activate assistant by saying computer",""
"2017-01-24","It Looks Like Amazon Is Winning the Race to Wire the Smart Home",""
"2017-01-24","Amazon Gears Up To Launch Paid Search Platform",""
"2017-01-24","Amazon Is Disrupting a Surprising New Industry",""
"2017-01-24","Amazon offers to soften ebook contracts as EU warns of antitrust violations",""
"2017-01-24","No kidding ! Amazon Alexa no longer tells Trump jokes",""
"2017-01-24","Amazon will now send your kids tech and science toys for $20 a month",""
"2017-01-25","The Red Flag That Amazon Investors Should Worry About",""
"2017-01-25","Amazon.com, Inc.Earnings: Will Big Investments Weigh on Profitability ?",""
"2017-01-25","Amazon to begin charging sales tax in Missouri",""
"2017-01-25","Stay away from these chips at your Super Bowl party",""
"2017-01-25","Why Alexa Still Has a Long Way to Go",""
"2017-01-25","How and Why to Deregister Your Alexa Device",""
"2017-01-25","EU asks for feedback on Amazon proposals for publisher contracts",""
"2017-01-25","Amazon is now facilitating sea freight shipments",""
"2017-01-25","Amazon Expands Into Ocean Freight",""
"2017-01-26","Meet Amazon Student Prime Ambassadors",""
"2017-01-26","New report highlights the appeal of Amazon Business",""
"2017-01-26","Amazon hits back as delivery drivers claim they are legally employees",""
"2017-01-26","Amazon.com, Inc . (AMZN) Takes to the High Seas for Shipping",""
"2017-01-26","Amazon: Now Is The Time To Exit",""
"2017-01-26","10 Amazon shopping hacks to save you money",""
"2017-01-26","Amazon up to 250 Dash buttons after latest program additions",""
"2017-01-26","Garth Brooks to close Ghost Tunes",""
"2017-01-26","How Amazon Channels is building a la carte TV",""
"2017-01-26","Amazon Begins to Take On Ocean Shipments As Well",""
