"date","headline","label"
"2017-01-01","Cape Cod Five Cents Savings Bank Has $1, 726, 000 Stake in American Express Company (AXP)",""
"2017-01-02","Emerald Acquisition Ltd.Sells 723, 577 Shares of American Express Company (AXP)",""
"2017-01-02","American Express Company (AXP) Position Increased by California State Teachers Retirement System",""
"2017-01-02","Cross Platform and Mobile Advertising Market Development Trend Analysis with 2016",""
"2017-01-03","South Dakota Investment Council Continues to Hold Stake in American Express Company (AXP)",""
"2017-01-03","American Express Company (AXP) Ex",""
"2017-01-03","3 Warren Buffett Stocks to Buy at Cheaper Prices Than He Did",""
"2017-01-03","Among The Big Three, Why Is Visa King ?",""
"2017-01-04","Strs Ohio Raises Stake in American Express Company (AXP)",""
"2017-01-04","American Express Plans Live Audio Webcast of the Fourth Quarter 2016 Earnings Conference Call",""
"2017-01-04","Cards and Payments Industry Global Market Briefing 2017",""
"2017-01-04","Orion Stellar Nursery Captured In Stunning New ESO Image",""
"2017-01-04","Lane Kiffin leaving Alabama before next week title game",""
"2017-01-04","MARKET SNAPSHOT: Stock Market Ends Near Records, Powered By Auto Sales",""
"2017-01-04","USA national Coach Bruce Arena raids Galaxy staff for four assistant coaches",""
"2017-01-04","Cro Cop Announces Retirement",""
"2017-01-04","Branson Man Is One of Two People Killed Over New Year Holiday",""
"2017-01-04","Brock Lesnar Suspended by USADA Following UFC 200 Doping Case",""
"2017-01-04","Turkish PM Criticises united states for Supporting Syrian Kurds",""
"2017-01-05","U.S . loses bid to overturn AmEx antitrust decision",""
"2017-01-05","Stocks in Concern on New Development: The Blackstone Group L.P . (NYSE: BX), American Express Company (NYSE: AXP)",""
"2017-01-05","Ohio State student shot, killed in Columbu first homicide of the year",""
"2017-01-05","Oil Inventorie Spread: Is There More Upside in Oil Prices ?",""
"2017-01-05","Set procedures followed in appointment of Army Chief: Parrikar",""
"2017-01-05","Sheriff offers to send inmates to build Trump border wall",""
"2017-01-05","Will crackdown on cross",""
"2017-01-05","Faraday Future Release 2.39 Second Vehicle.Can It Challenge Tesla ?",""
"2017-01-05","Children signing away their rights online",""
"2017-01-05","Singapore Private Sector PMI Slows In December",""
"2017-01-05","Azealia Banks banned from Facebook after Brazil third world freak slur",""
"2017-01-05","Royal Dutch Shell Plc 16.5% Potential Upside Indicated by Barclays Capital",""
"2017-01-06","The Lourd Capital LLC Reached $1, 229, 000 position of American Express Co . (AXP)",""
"2017-01-07","Raab & Moskowitz Asset Management LLC Decreases Position in American Express Company (AXP)",""
"2017-01-08","Hermes Investment Management Ltd.Increases Stake in American Express Company (AXP) – sleekmoney",""
"2017-01-08","No explosives found at Washington State hospital, police give all clear sign",""
"2017-01-08","Najee Harris has landed in Alabama, according to report",""
"2017-01-08","Media Blames Truck For Palestinian Terror Attack In Israel",""
"2017-01-08","Show Us the Replacement !",""
"2017-01-09","Rating Summary: Is American Express (NYSE: AXP) Worth Your Time After BofA Merrill Upgrade ?",""
"2017-01-09","American Express Company (AXP) Shares Bought by Westpac Banking Corp",""
"2017-01-09","Citigroup Inc . (NYSE: C) - Stocks Shining Bright on Wall Street: American Express Company (NYSE: AXP)",""
"2017-01-09","Boris Johnson has flown to the U.S . to meet Trump team",""
"2017-01-09","Google Waymo CEO unveils self",""
"2017-01-09","Shots Reportedly Fired At Ft.Lauderdale Airport",""
"2017-01-09","Fort Lauderdale gunman meant to unleash rampage",""
"2017-01-09","Cuomo announces early voting, automatic and same",""
"2017-01-09","OH woman among those slain during Florida airport attack",""
"2017-01-09","Obama says he advised Trump to trust the U.S . intelligence community",""
"2017-01-09","Trump election: United States presidency is not a family business, says Obama",""
"2017-01-09","Priebus says he thinks Trump accept intelligence community findings",""
"2017-01-09","Active Broker ’ s Choice in Focus: U.S . Bancorp (NYSE: USB), HSBC Holdings plc (NYSE: HSBC)",""
"2017-01-09","3 Stocks You Can Buy Cheaper Than Warren Buffett Did",""
"2017-01-09","Mr.Market and a Valuation of the Dow For Value Investors",""
"2017-01-10","American Express Company (AXP) Raised to Hold at Vetr Inc .",""
"2017-01-10","American Express Company (AXP) Given Consensus Rating of Hold by Analysts",""
"2017-01-10","What do Analysts suggest for: American Express Company (NYSE: AXP)",""
"2017-01-10","Rating to Follow: American Express (NYSE: AXP) Was Upgraded by BofA Merrill",""
"2017-01-10","Rating Alert: Better Rating Was Given to American Express (NYSE: AXP) By a Broker.Lost Perform Rating",""
"2017-01-10","Thailand King Vajiralongkorn asks for constitution to be amended",""
"2017-01-10","American Express Stock: Is Financial Stock Laggard AXP Finally Getting Some Love ?",""
"2017-01-10","Reigning champ extends Dakar lead in Bolivian mud",""
"2017-01-10","Apple pulls New York Times app in China",""
"2017-01-10","Thai King Seeks Revision to Royal Powers Articles in New Constitution",""
"2017-01-10","Nasdaq hits record, S & P and Dow close in as banks gain",""
"2017-01-10","For Social Media Crime, Who Ultimately Responsible And Why ?",""
"2017-01-10","Theresa May warned of financial services exodus unless she provides Brexit certainty",""
"2017-01-10","Behardien to skipper new",""
"2017-01-10","Iran confirms Saudi invitation to resume pilgrimage",""
"2017-01-10","Trump Praises Fiat Chrysler And Ford For Investing In America",""
"2017-01-10","MARKET SNAPSHOT: Dow Takes Another Run At 20, 000 As Nasdaq Aims For 3rd Straight Record",""
"2017-01-10","MARKET SNAPSHOT: Nasdaq Trades In Record Territory As Stocks Edge Higher",""
"2017-01-10","His Majesty advises charter draft amended on provisions about King power",""
"2017-01-10","MARKET SNAPSHOT: Stocks Struggle For Direction Ahead Of Trump News Conference",""
"2017-01-10","Global Smart Cards In Healthcare Market Research Report 2017 by QYResearch 2017",""
"2017-01-10","MARKET SNAPSHOT: Nasdaq Aims For 3rd Straight Record, But Dow Slips In Race To 20, 000",""
"2017-01-10","Turkey Supports Turkish Lira After It Depreciates To Record Low Level",""
"2017-01-10","Smart Cards Industrial and Market studies (Contact, Contactless, Dual",""
"2017-01-10","IRS Looking for People to Help Others Prepare Their Taxes",""
"2017-01-10","Japan Takeda to acquire United States cancer drugmaker for over $5bn",""
"2017-01-11","The Warranty Group, Inc.Appoints Alejandra Calatayud as Executive Vice President, Latin America",""
"2017-01-11","The Warranty Group, Inc.Appoints Alejandra Calatayud as Executive Vice President, Latin America – SAT Press Releases",""
"2017-01-11","Global Smart Cards In Healthcare Market By Revenue, Share, Demand & Forecast Till 2021",""
"2017-01-11","The New York Times Company",""
"2017-01-11","California man charged with attempted murder of United States diplomat in Mexico",""
"2017-01-11","Trump rally makes stock options great again for some CEOs",""
"2017-01-12","American Express Company (AXP) Shares Sold by FineMark National Bank & Trust",""
"2017-01-12","New Market Report: Cards Global Market Briefing 2017 2017",""
"2017-01-12","The Warranty Group, Inc.Appoints Alejandra Calatayud as Executive Vice President, Latin America – Military Technologies",""
"2017-01-12","American Express (NYSE: AXP) - Stocks Rallying on Profitability Valuation: First Horizon National (NYSE: FHN)",""
"2017-01-12","NRF Brings Innovative Leaders to Retail BIG Show 2017",""
"2017-01-12","NRF Brings Innovative Leaders To Retail BIG Show 2017",""
"2017-01-12","Seth Eggessa, Ugandan",""
"2017-01-13","American Express Company (AXP) Shares Sold by Birinyi Associates Inc .",""
"2017-01-13","American Express Company (AXP) Stake Cut by Whittier Trust Co.of Nevada Inc .",""
"2017-01-13","American Express Company ’ s (AXP) Buy Rating Reaffirmed at Oppenheimer Holdings, Inc .",""
"2017-01-13","New Study: Cards And Payments Global Market Briefing 2017 2017",""
"2017-01-13","American Express Co (AXP)",""
"2017-01-14","Russia Plans To Decriminalise Domestic Violence",""
"2017-01-14","Clemson Wins National Championship",""
"2017-01-14","South Dakota corn and soybean crops set records in 2016",""
"2017-01-14","Dow 30 Stock Roundup: American Express Buys InAuth, Visa Inks Deal with Wal",""
"2017-01-14","MARKET SNAPSHOT: Stocks Need Earnings To Be Flawless To Keep Trump Rally Going",""
"2017-01-14","LJ Country Day QB drops Arizona, signs with Oregon",""
"2017-01-14","New Mexico Leaders Outraged Over EPA Response To Claims",""
"2017-01-14","Manchester United star says he has conquered England",""
"2017-01-14","Hot Performer of the day: Century Aluminum Co . (NASDAQ: CENX)",""
"2017-01-14","Avs acquire Girard from Preds for McLeod",""
"2017-01-14","Iowa State events will honor Martin Luther King Jr.throughout January",""
"2017-01-14","Marissa Mayer Leaving Yahoo After Verizon Takes Over, Company Says",""
"2017-01-14","Nintendo Switch Presentation Reveals Release Date, Price, and First Games",""
"2017-01-16","Safe Haven Investment Portfolio Stocks: Regions Financial (NYSE: RF), American Express (NYSE: AXP)",""
"2017-01-16","MARKET SNAPSHOT: Stocks May Need A Flawless Earnings Season To Keep Trump Rally Going",""
"2017-01-16","Arbitration Agreements Front and Center: United States Supreme Court Set to Resolve Ongoing Row over Legality of Class Action Waivers",""
"2017-01-17","Nicholas Hoffman & Company LLC.Sells 94 Shares of American Express Company (AXP)",""
"2017-01-17","Antonio Brown streams Mike Tomlin calling Patriots asshole to Facebook Live",""
"2017-01-17","Ethics commissioner investigates vacation of Trudeau family",""
"2017-01-17","American Express (NYSE: AXP) Stock Rating Upgraded to Overweight by JPMorgan from Neutral – Octafinance",""
"2017-01-18","American Express Company (AXP) Shares Sold by Outfitter Advisors LTD .",""
"2017-01-18","Narwhal Capital Management Has $1, 589, 000 Position in American Express Company (AXP)",""
"2017-01-18","People Choice Livestream: How to watch the awards show",""
