"date","headline","label"
"2017-01-01","Mason City man arrested after allegedly kicking in a door",""
"2017-01-01","Woman, dog and 18 cats escape house fire",""
"2017-01-02","California Public Employees Retirement System Sells 6, 300 Shares of Bunge Limited (BG)",""
"2017-01-03","Cresco woman in Winneshiek County crash",""
"2017-01-03","Rochester man pleads not guilty to burglary and domestic assault",""
"2017-01-03","First flu in Cerro Gordo County",""
"2017-01-03","Austin man pleads guilty in drug robbery",""
"2017-01-03","FXG, BG, FLO, SPB: ETF Outflow Alert",""
"2017-01-03","EU mergers and takeovers (Jan 3)",""
"2017-01-04","House fire in rural Freeborn County",""
"2017-01-04","Not guilty plea in auto / bicycle collision",""
"2017-01-04","Not guilty plea in Clear Lake burglary",""
"2017-01-04","Accused clubber pleads not guilty",""
"2017-01-04","Top Ranked Growth Stocks to Buy for January 4th",""
"2017-01-04","Hancock County woman pleads to meth charge",""
"2017-01-04","Fire at Clear Lake care facility",""
"2017-01-04","Not guilty plea in chase and fight",""
"2017-01-04","Still scope for optimism in grain markets 04 January 2017 Premium",""
"2017-01-04","Clare scout earns Eagle rank",""
"2017-01-04","Poor Infrastructure Plagues Brazil Agriculture",""
"2017-01-04","Mired in Mud, Brazil Unpaved Roads Delay Farming Promise",""
"2017-01-05","Charged with manslaughter, pleads not guilty to stalking",""
"2017-01-05","From Henry to Genesis …",""
"2017-01-05","Jail time for cigarette assault",""
"2017-01-05","Guilty plea to criminal sexual conduct",""
"2017-01-05","Man pleads guilty to touching a young girl",""
"2017-01-05","No federal prison for former Nora Springs postmaster",""
"2017-01-05","Food Processing Cos.Dodge Modified Corn Export Suit",""
"2017-01-05","Final sentence in Austin liquor store robbery",""
"2017-01-05","Drunk driving a lawnmower sending Dover man to jail",""
"2017-01-05","Two arrested for forgery in Mason City",""
"2017-01-05","Donation pick up ends for Rochester Salvation Army",""
"2017-01-05","Peak alerts in freezing conditions",""
"2017-01-05","Prison and fines for Hancock County police chase",""
"2017-01-05","Health resolutions 2017: A no pain no gain affair",""
"2017-01-05","GRAIN HIGHLIGHTS: Top Stories of the Day",""
"2017-01-05","Not guilty plea in Mower County standoff",""
"2017-01-06","Peak alert in southern Minnesota",""
"2017-01-06","Train derailment in Ellendale caused by rail defect",""
"2017-01-06","Federal approval for Air Choice One in Mason City",""
"2017-01-06","Awrey Bakeries Announces New President & CEO",""
"2017-01-06","Achoo ! Flu Cases Spiking In More States",""
"2017-01-07","Power outage in Osage",""
"2017-01-07","Amber Alert issued for two Iowa boys",""
"2017-01-08","Bunge Limited (BG) Receives $76.29 Consensus Target Price from Brokerages",""
"2017-01-08","Bird numbers stay steady, but crow population up",""
"2017-01-09","Bunge plans to improve soybean processing footprint in the Eastern Corn Belt",""
"2017-01-09","Bunge to build new soybean plant in Indiana or Ohio",""
"2017-01-09","House fire in Rochester",""
"2017-01-09","Man charged with beating a woman in Rochester",""
"2017-01-09","Powerball prize unclaimed in Austin",""
"2017-01-09","Rollover on Highway 63 in Olmsted County",""
"2017-01-09","Woman stabbed in the neck in Rochester",""
"2017-01-09","Home Sweet Home Ministries celebrates 100 years",""
"2017-01-09","Klemme man arrested for pickup truck theft near Rockford",""
"2017-01-09","Sheffield man gets consecutive sentences",""
"2017-01-09","Another case of CO poisoning in Rochester",""
"2017-01-09","North Iowa nurse faces drug theft charges",""
"2017-01-09","Radio Controlled Aircraft Hobby",""
"2017-01-09","Brazil unpaved roads delay farming promise",""
"2017-01-10","Commonwealth Bank of Australia Raises Stake in Bunge Limited (BG)",""
"2017-01-10","Bunge to improve soybean processing footprint in Eastern Corn Belt",""
"2017-01-10","Bunge to build new soybean processing plant in US",""
"2017-01-10","Bunge North America to build new plant",""
"2017-01-10","Bunge to add plant in Indiana or Ohio",""
