"date","headline","label"
"2017-01-02","Blackstone in race for $250m stake in K Raheja",""
"2017-01-03","Blackstone to Acquire Tradesmen International from Wellspring Capital Management",""
"2017-01-03","Blackstone Byron Wien unveils his big surprises for 2017",""
"2017-01-03","Blackstone Funds To Acquire Tradesmen International",""
"2017-01-03","blackstone in race for $250 million stake in k raheja, Real Estate News, ET RealEstate",""
"2017-01-03","Byron Wien 10 Surprises For 2017",""
"2017-01-04","Blackstone Reportedly In Advanced Talks To Buy Music",""
"2017-01-04","Blackstone To Acquire Music Rights Organization SESAC",""
"2017-01-04","Blackstone Real Estate Income Trust Breaks Escrow with Net Proceeds of $279 Million",""
"2017-01-04","Blackstone Near Deal to Buy Music",""
"2017-01-04","SESAC Acquired by Private Equity",""
"2017-01-04","SESAC to be sold for undisclosed sum",""
"2017-01-04","Leading Music Rights Organization SESAC to be Acquired by Blackstone",""
"2017-01-04","SESAC Sold To Blackstone, A Private Equity Firm Known For Leveraged Buyouts, Credit Default Swaps",""
"2017-01-04","Blackstone to Acquire Music Rights Organization SESAC",""
"2017-01-04","Leading Music Rights Organization SESAC to Be Acquired by Blackstone",""
"2017-01-04","SESAC to Be Acquired By Private Equity Firm Blackstone",""
"2017-01-04","Blackstone to buy Music",""
"2017-01-04","Full interview with Byron Wien on Trump, stocks and inflation",""
"2017-01-05","SESAC Acquired by Investment Giant The Blackstone Group",""
"2017-01-05","Blackstone Latest Move Has the Look of a Hit",""
"2017-01-05","Music Rights Organization SESAC to be Acquired by Blackstone",""
"2017-01-05","Cheverly boy gives back to homeless veterans, families during holidays",""
"2017-01-06","Blackstone Announces Fourth Quarter and Full Year 2016 Investor Call",""
"2017-01-06","Blackstone Announces Fourth Quarter and Full Year 2016 Media Call",""
"2017-01-06","Blackstone: Announces Fourth Quarter and Full Year 2016 Media Call",""
"2017-01-06","Alleged drunk driver rolls car",""
"2017-01-06","Asia Supermarket that replaced Vons in Fresno closes",""
"2017-01-06","Woman claims she was not driving drunk, evidence proves otherwis",""
"2017-01-06","Suwanee Rachael Blackstone soars with breast cancer screening method",""
"2017-01-06","Jim Cramer Gives His Opinion On Mobileye And Blackstone",""
"2017-01-06","Energy Transfer Equity Investors Shrugged Off the Dakota Access Pipeline Decision in December",""
"2017-01-07","Blackstone $9.6 Billion Bet On The U.S . Housing Recovery Files To Go Public",""
"2017-01-07","Was Blackstone SESAC Acquisition a $1 Billion Deal ?",""
"2017-01-08","Blackstone Pulls Out of Dell Bid on Falling PC Sales",""
"2017-01-09","Blackstone ends talks for $5 billion Energy Transfer stake: Bloomberg",""
"2017-01-09","Blackstone ends talks for $5 billion Energy Transfer stake",""
"2017-01-09","Blackstone ends talks for US$5 billion Energy Transfer stake: Bloomberg",""
"2017-01-09","Research Report for Investors: The Blackstone Group L.P . (NYSE: BX)",""
"2017-01-09","Blackstone ends talks for $5 bln Energy Transfer stake",""
"2017-01-09","Blackstone Ends Talks to Buy $5 Billion Stake in Energy Transfer Assets",""
"2017-01-09","Oppenheimer Believes BX Won ’ t Stop Here",""
"2017-01-09","Blackstone Group Real Estate",""
"2017-01-09","$1 billion Team Health note issue planned",""
"2017-01-09","Blackstone no longer interested in stake in Dalla Energy Transfer Partners",""
"2017-01-09","Sonalika maker looks to take tractors global",""
