"date","headline","label"
"2017-01-01","Chubb Tries to Run Down Herschel",""
"2017-01-01","UGA defeats TCU in Liberty Bowl, Kirby Smart gets first bowl victory",""
"2017-01-01","AutoZone Liberty Bowl Georgia vs.TCU Predictions 12 / 30 / 16",""
"2017-01-01","Saying goodbye to 2016 — finally",""
"2017-01-02","Chubb Rolls Out New Business Owner Policy for Small Business",""
"2017-01-02","League to hear about education issues",""
"2017-01-02","Man killed in Chester is Delaware County first murder of 2017",""
"2017-01-03","Chubb unveils expanded suite of cyber services",""
"2017-01-03","ESIS Sr Claims Representative",""
"2017-01-03","Georgia receives commitment from 4",""
"2017-01-03","The FIG Ideas U.S . Financials Portfolio",""
"2017-01-04","Chubb Names Lambourne Head of Multinational Claims, Overseas General Insurance",""
"2017-01-04","NC State Chubb returning instead of entering NFL draft",""
"2017-01-04","NC State ’ s Chubb returning instead of entering NFL draft",""
"2017-01-04","Chubb to return for senior season",""
"2017-01-04","Navigators Appoints Asia Leadership Team",""
"2017-01-04","Flint parts ways with city attorney Stacy Erwin Oakes",""
"2017-01-04","Flint chief legal officer no longer employed with the city",""
"2017-01-04","Tuesday notes: Free agency & turning pro",""
"2017-01-04","Letters sent setting out new rules on what can go in Devon bins",""
"2017-01-05","Chubb Life Bagged Six Awards at the Benchmark Wealth Management Awards 2016",""
"2017-01-05","Georgia Bulldogs: Will Nick Chubb Bounce Back to Form Next Season ?",""
"2017-01-05","Moms who regret having children need support too",""
"2017-01-05","Flint City Attorney Is Out",""
"2017-01-05","Navigators hires former Chubb execs for Asian team",""
"2017-01-05","Executives On The Move at Navigators, Great American and Starr Companies",""
"2017-01-05","Business News: Chubb, Lemonade, NORCAL, Solera Holdings",""
"2017-01-05","New Jersey Based Hamilton united states Hires Garceau as Chief Operating Officer",""
"2017-01-05","HSC results 2016: The schools that topped STEM courses",""
"2017-01-05","Former Essendon coach James Hird hospitalised: reports",""
"2017-01-05","Hird recovering from suspected overdose",""
"2017-01-05","Hird recovering from overdose: report",""
"2017-01-05","Investor Takeaways from The Russian Hacking Scandal — CSCO, CB — Investing Daily",""
"2017-01-06","XL Catlin Adds Chubb McGowan, DLA Piper Laws to M & A Insurance Team",""
"2017-01-06","While making history, Smith has appreciation for Wolfpack past",""
"2017-01-06","Spacewalking astronauts upgrade station with new batteries",""
"2017-01-06","Kelso backs OFarrell",""
"2017-01-06","Developer Garrett Kelleher and the $90m Liberian civil war lawsuit",""
"2017-01-06","Playtime cots and children beds linked to sudden death of a newborn baby",""
"2017-01-06","Lady shares bedroom pictures with boyfriend on Instagram (photos) ▷ NAIJ.COM",""
"2017-01-06","Magic City Real Estate: Medical office heats up",""
"2017-01-06","Popular Alabaster restaurant to return in original spot",""
"2017-01-07","Hoover apartment fire under investigation",""
"2017-01-07","HBCU Talladega College To Perform At Trump Inauguration",""
"2017-01-07","Birmingham set to complete Pound 2m signing of Granada midfielder ReneKrhin",""
"2017-01-07","A long way from home: Incredible NASA image reveals the Earth and moon",""
"2017-01-07","Chinese woman Zhang Nancy Zetian is new face of baby formula company Bubs Australia",""
"2017-01-07","FIRST ALERT WEATHER DAY UPDATE: Precipitation has ended, road conditions remain dangerous until mid",""
"2017-01-07","Some flights out of Birmingham are being canceled",""
"2017-01-07","EMA requesting drivers stay off roads in several AL counties",""
"2017-01-07","2 arrested in Butler Mill restaurant fire",""
"2017-01-07","Boaz woman arrested, charged with chemical endangerment of a child",""
"2017-01-07","Cullman PD sees man driving on wrong side of road, arrests him on drug charges",""
"2017-01-07","JeffCo Sheriff deputies investigate shooting that injured 26",""
"2017-01-07","Study: US Could Be Net Energy Exporter",""
"2017-01-07","Anthology thriller Dark / Web adds cast",""
"2017-01-07","Chamber recognizes top businesses of 2016",""
"2017-01-08","Georgia looking to seize recent momentum moving into 2017 season",""
"2017-01-09","The danger of college campus safe spaces",""
