"date","headline","label"
"2017-01-01","ConocoPhillips (COP) Shares Sold by Sanders Morris Harris Inc .",""
"2017-01-01","ConocoPhillips (NYSE: COP) target price increased to $50.41, issued a ratings update today by Vetr Inc .",""
"2017-01-01","CONOCOPHILLIPS: $1.3 billion in proceeds recorded to help stabilize bottom line",""
"2017-01-01","President Obama $2.7 Trillion Lease Ban Has Big Oil Fuming",""
"2017-01-02","CLSA downgraded ConocoPhillips (NYSE: COP) from Outperform to Underperform in a report released today .",""
"2017-01-02","ConocoPhillips (NYSE: COP) target price raised to $50.41, issued a report today by Vetr Inc .",""
"2017-01-03","Sheaff Brock Investment Advisors LLC Sells 63, 821 Shares of ConocoPhillips (COP)",""
"2017-01-03","SG Americas Securities LLC Sells 536, 475 Shares of ConocoPhillips (COP)",""
"2017-01-03","Municipal Employees Retirement System of Michigan Raises Position in ConocoPhillips (COP)",""
"2017-01-03","Is It Worth Holding ConocoPhillips (COP) in Your Portfolio ?",""
"2017-01-04","Sentinel Trust Co Lba buys $912, 346 stake in ConocoPhillips (COP) – Founders Daily",""
"2017-01-04","Elk Petroleum to Buy Freeport Gas Field, Plant Stake",""
"2017-01-04","5 S & P Companies That Lost Hundreds of Millions in Q3",""
"2017-01-04","AGDC assumes leadership over Alaska LNG project",""
"2017-01-04","Oil business may firm up as Trump tackles tax reforms",""
"2017-01-05","Boston Partners Acquires Shares of 1, 016, 420 ConocoPhillips (COP) – sleekmoney",""
"2017-01-05","Seaward Management Limited Partnership Sells 4, 100 Shares of ConocoPhillips (COP)",""
"2017-01-05","ConocoPhillips (COP) Stock Rating Reaffirmed by RBC Capital Markets",""
"2017-01-05","Energy Stocks Continue to Perform as Oil Prices Rise Latest Reports on Chevron and ConocoPhillips",""
"2017-01-05","Two missing Brunswick County teens could be headed to SC",""
"2017-01-05","Trump To Tap Former GOP Sen.Dan Coats For DNI",""
"2017-01-05","Turkey: Explosion near courthouse in Izmir",""
"2017-01-05","Some schools remain open despite the winter weather",""
"2017-01-05","Venezuela Oil Company Sued Over Latest Citgo Deal",""
"2017-01-05","Venezuela ? s Oil Company Sued Over Latest Citgo Deal",""
"2017-01-05","Tesla Stock Down After Missing Delivery Forecast",""
"2017-01-06","ConocoPhillips ’ (COP) Buy Rating Reiterated at RBC Capital Markets",""
"2017-01-06","How Crude Oil Prices Moved ConocoPhillips Stock in 2016",""
"2017-01-06","Conoco Phillips (COP) presents at Goldman Sachs Global Energy Conference",""
"2017-01-06","iShares Morningstar Large",""
"2017-01-06","Bartlesville Radio » News » Bruins Take Game 1 in ConocoPhillips Arvest",""
"2017-01-07","Paragon Capital Management LLC Has $6, 421, 000 Stake in ConocoPhillips (COP)",""
"2017-01-07","People s United Financial Inc.Sells 13, 571 Shares of ConocoPhillips (COP)",""
"2017-01-07","What ConocoPhillips Worldwide Operations Production Mix ?",""
"2017-01-07","Bartlesville Radio » News » Bruins in Finals of ConocoPhillips Arvest",""
"2017-01-08","ConocoPhillips (COP) Shares Sold by MU Investments Co.Ltd .",""
"2017-01-08","Energy giant appeal against £3m fine dismissed – Military Technologies",""
"2017-01-08","3 Oil Stocks to Buy in January",""
"2017-01-09","State of Tennessee Treasury Department Sells 148, 837 Shares of ConocoPhillips (COP)",""
"2017-01-09","ConocoPhillips (COP) Stake Decreased by Reilly Financial Advisors LLC",""
"2017-01-09","Del.Judge Urged To Reverse Course For Conoco Fraud Row",""
"2017-01-09","Australia Allows East Timor To End Greater Sunrise Field Revenue Treaty",""
"2017-01-09","Australia bows to Timor Leste to kill controversial gas field treaty, Australia / NZ News & Top Stories",""
"2017-01-09","TD Ameritrade clients were net buyers of stocks in December",""
"2017-01-09","Bartlesville Radio » News » Bruins 2nd in ConocoPhillips Arvest",""
"2017-01-09","Big oil in strong position as Trump tackles tax reform – New Orleans CityBusiness",""
"2017-01-09","Oz lets E.Timor kill gas field treaty",""
"2017-01-10","ConocoPhillips Set To Soar In The Eagle Ford",""
"2017-01-10","Australia bows to East Timor to kill controversial gas field treaty",""
"2017-01-10","Energy Calendar for Oil and Gas Traders: January 9",""
"2017-01-10","Donald Trump And His Cabinet Of Criminals",""
"2017-01-10","Bartlesville Radio » News » Frontier Conference Play again for BHS",""
"2017-01-10","Oil and gas processing plants may have to report toxic releases",""
"2017-01-10","Oil and Gas Exploration and Production Global Market Key Developments, Outlook, Analysis & Forecast to 2022",""
"2017-01-10","ConocoPhillips: EPA proposes rule on reporting natural gas plant toxins",""
"2017-01-10","Ceyhan Port delivers 320M tons of oil to world market",""
"2017-01-11","The Trust Co.of Vermont Downgraded Stake in ConocoPhillips (COP)",""
"2017-01-11","Analyst Recommendations Stocks Buzz: ConocoPhillips (NYSE: COP) & The Western Union Company (NYSE: WU) – News Is Money",""
"2017-01-11","Latin American Herald Tribune",""
"2017-01-11","Wednesday Sector Leaders: Energy, Utilities",""
"2017-01-11","Watch Live: Rex Tillerson Secretary Of State Confirmation Hearing",""
"2017-01-12","Societe Generale Ups ConocoPhillips (NYSE: COP) Rating to Buy from Hold – Octafinance",""
"2017-01-12","ConocoPhillips: to Hold Fourth",""
"2017-01-12","A Look At ConocoPhillip Operating Strategy For 2017",""
"2017-01-12","ConocoPhillips to Hold Fourth",""
"2017-01-12","The Zacks Analyst Blog Highlights: Bank of America, Facebook, ConocoPhillips, Apple and Dow Chemical",""
"2017-01-12","The BlackRock Fund Advisors Increases Stake in ConocoPhillips (COP)",""
"2017-01-12","Analyst Reports for Facebook, Bank of America & ConocoPhillips",""
"2017-01-12","South Dakota Investment Council Raises Position in ConocoPhillips (COP)",""
"2017-01-12","ConocoPhillips Targets Venezuelan Oil Co.Over $1.5B Deal",""
"2017-01-12","Will Phillips 66 Raise Its Dividend in 2017 ?",""
"2017-01-12","Crude Oil Prices: Important Triggers for a Recovery",""
"2017-01-12","The Journal 01 / 10 / 2017",""
"2017-01-12","Notable ETF Outflow Detected",""
"2017-01-13","Oil discovery could provide thousands of jobs, ConocoPhillips says",""
"2017-01-13","ConocoPhillips Feud With Venezuela Spreads to Russia – Courthouse News Service",""
"2017-01-13","ConocoPhillips announces big oil discovery in NPR",""
"2017-01-13","ConocoPhillips found what could be 300 million barrels of oil in Alaska",""
"2017-01-13","ConocoPhillips announces Alaska discovery with daily production potential of 100, 000 barrels",""
"2017-01-13","ConocoPhillips makes new oil discovery in Alaska North Slope",""
"2017-01-13","CNOOC: Puts Penglai 19",""
"2017-01-13","CNOOC online at Penglai 19",""
"2017-01-13","CNOOC starts up Penglai 19",""
"2017-01-13","Kenai LNG exports still uncertain for 17",""
"2017-01-13","Outside law firm makes more than $900, 000 in Phillips 66 settlement",""
"2017-01-14","ConocoPhillips (COP) Position Decreased by Alpha Omega Wealth Management LLC",""
"2017-01-14","ConocoPhillips unveils major Alaska oil strike",""
"2017-01-14","ConocoPhillips Finds New Alaskan Oil",""
"2017-01-14","ConocoPhillip big new find on the North Slope could help replenish pipeline",""
"2017-01-14","ConocoPhillip Big Find On The North Slope Could Help Replenish Pipeline",""
"2017-01-14","As BLM moves to protect the National Petroleum Reserve, Conoco pushes back",""
"2017-01-14","Helping to fill the pipeline: New NPR",""
"2017-01-15","UK: ConocoPhillips announces Willow discovery in National Petroleum Reserve",""
"2017-01-15","ConocoPhillips: Big New Oil Discovery In Alaska Could Produce 100, 000 Barrels Per Day",""
"2017-01-15","Critiquing a flawed oil analysis",""
"2017-01-15","CNOOC: Commences Production at Penglai 19",""
"2017-01-15","For Good or Bad, Juneau Still Represents You: The Mudflats",""
"2017-01-15","Saints be praised ! Another Legislature !",""
"2017-01-16","ConocoPhillips announces Willow discovery in National Petroleum Reserve",""
"2017-01-16","ConocoPhillips announces oil discovery",""
"2017-01-16","ConocoPhillips reports major discovery in Alaska",""
"2017-01-16","ConocoPhillips: Big Oil Discovery Another Reason To Take A Position In The Company",""
"2017-01-16","Declining Production in Alaska: Peak Oil Discussion",""
"2017-01-16","Why Anadarko Petroleum Sold The Eagle",""
"2017-01-16","International players likely sellers as Canadian oil crash survivors hunt for bargains and big mergers",""
"2017-01-17","M.Kraus Co Cuts Position in ConocoPhillips (COP) – Founders Daily",""
"2017-01-17","ConocoPhillips discovers oil in National Petroleum Reserve, Alaska",""
"2017-01-17","ConocoPhillips Reports Major Discovery in Alaska",""
"2017-01-17","ConocoPhillips Reports Promising Oil Discovery in Alaska",""
"2017-01-17","Details on ConocoPhillip Plans To Improve Its Shareholder Returns",""
"2017-01-17","Dont be too much bullish on ConocoPhillips (COP)",""
"2017-01-17","Project finance lawyer moves to Hong Kong",""
"2017-01-17","Crude Oil and Natural Gas Traders: January 16",""
"2017-01-17","IAMGOLD Corporation (NYSE: IAG) - Stock Revamps on Eco Changes: ConocoPhillips (NYSE: COP)",""
"2017-01-17","SAExploration Announces Appointment of Independent Director to Board and Audit Committee and Regains Full Compliance With Nasdaq Market Listing Standards Nasdaq: SAEX",""
"2017-01-17","SAExploration Announces Appointment of Independent Director to Board and Audit Committee and Regains Full Compliance With Nasdaq Market Listing Standards",""
"2017-01-17","Norway Awards 56 Oil & Gas Licences",""
"2017-01-17","Norway awards 56 production licences in the APA 2016 licensing round",""
"2017-01-17","Norway Awards 56 Oil, Gas Licenses In Mature Areas",""
"2017-01-17","Why Has Denbury Resources Been Underperforming Crude Oil ?",""
"2017-01-18","ConocoPhillips Is Weaker Than Wall Street Thinks ; Dump the Stock Now",""
"2017-01-18","ConocoPhillip Willow Discovery Could Enhance Its Future Value",""
"2017-01-18","Shell starts oil production from Malikai deep",""
"2017-01-18","PT Transportasi Gas Indonesia",""
"2017-01-18","Norway awards 56 offshore oil and gas exploration licenses",""
"2017-01-18","Norway awards 56 oil and gas licences",""
"2017-01-18","These big oil stocks are expected by analysts to rise up to 41% in 2017",""
"2017-01-19","Financial Architects Inc Reduces Stake in ConocoPhillips (COP)",""
"2017-01-19","Stanley Laman Group Ltd.Has $625, 000 Position in ConocoPhillips (COP)",""
"2017-01-19","Huge Discovery Changes Alaska Into A Potential Growth Asset For ConocoPhillips",""
"2017-01-19","Woodside CEO sees no need for M & A, plenty of growth in pipeline",""
"2017-01-20","ConocoPhillips Alaska makes new onshore oil discovery",""
"2017-01-20","ConocoPhillips says it made big oil find on North Slope",""
"2017-01-20","ConocoPhillips Has To Get There First",""
"2017-01-20","ConocoPhillips In 2017: The Eagle Ford Shale Makes A Big Comeback",""
"2017-01-20","State gasline corporation quietly opens office in Tokyo",""
"2017-01-20","FERC investigates Kinder Morgan",""
"2017-01-20","Repsol adds interest in Armstrong leases",""
"2017-01-20","Recovery in Crude Oil Prices: What Are the Key Drivers ?",""
"2017-01-21","ConocoPhillips (COP) Position Decreased by Whittier Trust Co.of Nevada Inc .",""
"2017-01-21","Oil Companies Just Had Their Worst Year Since 1940",""
"2017-01-21","Exxon Mobil: Qatar Petroleum merging offshore gas groups",""
"2017-01-22","ConocoPhillips (COP) Shares Bought by Concorde Asset Management LLC",""
"2017-01-23","ConocoPhillips Dividend History: Can the Energy Giant Bounce Back ?",""
"2017-01-23","ConocoPhillips announces major Alaskan discovery",""
