"date","headline","label"
"2017-01-01","The 5 Best Oil Stocks of 2016",""
"2017-01-02","Natural Gas Storage Dives Under 5",""
"2017-01-02","The Archivist: 1911 Monday holiday",""
"2017-01-03","American International Group Inc .: Has $10, 227, 000 Position in Devon Energy Corporation (DVN)",""
"2017-01-03","Devon Energy Corporation (DVN) Shares Sold by Neville Rodie & Shaw Inc .",""
"2017-01-03","Devon Energy Corporation (DVN) Rating Increased to Buy at Zacks Investment Research – sleekmoney",""
"2017-01-03","Commit To Buy Devon Energy Corp.At $20, Earn 5.3% Using Options",""
"2017-01-03","Lyric Theatre raises more than $20, 000 for Regional Food Bank of Oklahoma",""
"2017-01-04","Lyric Theatre Patrons Donate Thousands to Feed Hungry Oklahomans",""
"2017-01-05","Devon Energy Corporation (DVN) Buy Rating Reaffirmed at RBC Capital Markets",""
"2017-01-05","Thursday Sector Leaders: Energy, Utilities",""
"2017-01-05","BREAKING: Oil prices pare gains as US crude stockpiles fell by 7.1 million barrels, fuel stocks rise – CNBC « Contacto Latino News",""
"2017-01-05","AFCON 2017: Cameroon insists on Matip, others",""
"2017-01-05","Notable Thursday Option Activity: MNK, HUM, DVN",""
"2017-01-05","Falcon Manager Pleads Guilty to 1MDB Charges",""
"2017-01-05","Merrill Lynch Out With Top Large Cap Oil and Gas Stocks for 2017",""
"2017-01-05","ConocoPhillips and Other Merrill Lynch Top Energy Stock Picks for 2017 (NYSE: COP)",""
"2017-01-05","Merrill Lynch 5 Top Large Cap Oil and Gas Stocks for 2017",""
"2017-01-06","Devon Energy Corporation (DVN) Raised to Buy at Zacks Investment Research",""
"2017-01-06","Chevron: Ready for the New Normal ?",""
"2017-01-06","Why US Crude Oil Production Rose Last Week",""
"2017-01-06","Callon Petroleum Makes Its First Delaware Basin Acquisition",""
"2017-01-07","What ConocoPhillips Worldwide Operations Production Mix ?",""
"2017-01-08","Southeast Texas men killed, 1 missing on duck hunting trip",""
"2017-01-08","Dhaka cafe attack organizer killed in shootout with police",""
"2017-01-09","Martin Whitman Invests in Homebuilder in 4th Quarter",""
"2017-01-09","Stocks close mostly lower as oil slips",""
"2017-01-09","Oil Backtracking Drives Energy Sector Share Losses",""
"2017-01-10","US cancels final 2 oil and gas leases in Badger",""
"2017-01-10","Conservation Groups Celebrate Cancellation of the Last Oil and Gas Leases in the Badger",""
"2017-01-10","Revenue Estimates Analysis: Chesapeake Energy Corporation (NYSE: CHK)",""
"2017-01-10","Oil and Gas Exploration and Production Global Market Key Developments, Outlook, Analysis & Forecast to 2022",""
"2017-01-10","Interior Department Cancels Remaining Oil and Gas Leases in Badger",""
"2017-01-10","Federal judge approves class action status for royalty lawsuit against Devon Energy",""
"2017-01-10","Trump EPA pick forced to close his PACs — but the conflicts dont end there",""
"2017-01-11","Canada Pike (Devon Energy Corporation) Project Panorama Oil and Gas Upstream Analysis Report",""
"2017-01-11","Devon Energy to Report Fourth",""
"2017-01-11","Devon Seen Lagging Anadarko, EOG",""
"2017-01-11","Then & Now: Sheffield Ends Run at Pioneer with a Bang, Leaves Company Well",""
"2017-01-11","Why Encana Expects to Exceed Original 2017 Production Guidance",""
"2017-01-11","US cancels final 2 energy leases in area sacred to tribes",""
"2017-01-11","U.S . cancels final 2 oil and gas leases in Montana",""
"2017-01-11","News from The Associated Press",""
"2017-01-11","Last Oil And Gas Leases Canceled In Badger",""
"2017-01-11","Interior Department Cancels Remaining Oil and Gas Leases in Montana Badger",""
"2017-01-11","BLM Cancels Final Two Disputed Leases in Northwest Montana",""
"2017-01-11","US cancels final energy leases in area sacred to tribes",""
"2017-01-11","Thirty years later, Blackfoot tribes see environmental win on sacred grounds",""
"2017-01-12","Devon Energy Corp Rebounded 41.3% in 2016.Is There Any Room to Run in 2017 ?",""
"2017-01-12","Hess to Up Investment in Shale Oil, Will Take Hefty Charge",""
"2017-01-12","Interior cancels remaining oil and gas leases in Montana Badger",""
"2017-01-12","Pruitt Helped Block Garland Confirmation to Supreme Court, Then Fundraised From Polluters That Benefited",""
"2017-01-12","A Resurgent Idea From the Energy Patch",""
"2017-01-12","Pruitt Helped Block Garland Confirmation to Supreme Court, Then Fundraised From Polluters That Benefited – Politics",""
"2017-01-13","Devon Energy Corporation (DVN) Position Held by Rockefeller Financial Services Inc . – sleekmoney",""
"2017-01-13","Oil & Gas: Independent, Major Integrated, Exploration & Production",""
"2017-01-13","Anadarko exits the Eagle Ford Shale in a deal with Sanchez",""
"2017-01-13","Pruitt Helped Block Garland Confirmation to Supreme Court, then Fundraised from Polluters that Benefited",""
"2017-01-15","MT Wilderness Association",""
"2017-01-15","Montana Wilderness Association",""
"2017-01-16","Active Permian shale area rife with potential",""
"2017-01-16","LEE GROUP ADVERTISING",""
"2017-01-17","Devon Energy Corporation (DVN) Lowered to Hold at Zacks Investment Research",""
"2017-01-17","Apache Corporation Soared 43% in 2016, but 2017 Looks Tough",""
"2017-01-17","The Zacks Analyst Blog Highlights: Cimarex Energy, Southwestern Energy, Gulfport Energy, Devon Energy and Abraxas Petroleum",""
"2017-01-17","Why Has Denbury Resources Been Underperforming Crude Oil ?",""
"2017-01-17","Is Marathon Oil about to Start a New Downtrend ?",""
"2017-01-17","Scott Pruitt: Trump EPA Pick Denies Science, Climate Change",""
"2017-01-18","In 2011, Scott Pruitt received a letter from Devon Energy, put his government letterhead on it, and sent it to the EPA — Quartz",""
"2017-01-18","Scott Pruitt Troublesome Ties to the Oil and Gas Industry",""
"2017-01-18","Lawmakers Grill Scott Pruitt, Trump Pick to Head EPA",""
"2017-01-18","Exxon Mobil gets downgrade from UBS",""
"2017-01-18","Trump pick for EPA admits acting on behalf of oil and gas interests as state attorney general",""
"2017-01-18","EPA nominee Pruitt: I dont believe climate change is a hoax",""
"2017-01-18","Hot Stocks Retreats on New Development: Kinross Gold Corporation (NYSE: KGC), Devon Energy Corporation (NYSE: DVN)",""
"2017-01-18","Trump Pick for the EPA, Scott Pruitt, Will Decimate the Agency: : Politics: : Features: : Scott Pruitt",""
"2017-01-18","Scott Pruitt record reveals a long history of industry favoritism",""
"2017-01-18","Senate Dems to Grill Trump EPA Pick over Energy Donations",""
"2017-01-18","Senate Dems to Grill Trump EPA Pick Over Energy Donations",""
"2017-01-18","Senate Dems to Grill Trump EPA Pick over Energy Donations – WSBT Radio",""
"2017-01-18","LIVE: Trump EPA pick tells senate climate change subject to debate",""
"2017-01-18","Ad Attacks Trump EPA Pick For Encouraging Scientific Debate",""
"2017-01-18","EPA Pick Scott Pruitt Refuses to Recuse Himself from Lawsuits He Is Bringing Against EPA",""
"2017-01-18","Group Raises Concerns Over Pruitt Ties To Industry",""
"2017-01-18","EPA Nominee Scott Pruitt Gets Grilled on Fossil Fuel Ties at Confirmation Hearing",""
"2017-01-18","Sen.Jeff Merkley Grills an Oil",""
"2017-01-18","EPA Nominee To Face Tough Questions From Dems On Climate, Energy Industry",""
"2017-01-18","Trump EPA nominee unsure if big oil gave him hundreds of thousands of dollars",""
"2017-01-18","Trump EPA Pick Backed $500 Million Coal Upgrade Over Wind, Gas",""
"2017-01-18","Trump Picks Oklahoma Attorney General Scott Pruitt To Lead EPA",""
"2017-01-18","Breaking with Trump, EPA nominee says climate change is real",""
"2017-01-18","EPA pick Scott Pruitt repeats doubts about climate science and attacks on the agency he is exepcted to head",""
"2017-01-18","Trump pick for EPA excites Lancaster County farmers, but not Chesapeake Bay supporters",""
"2017-01-18","Trump Pick for EPA Testifies That Climate Change Is No Hoax",""
"2017-01-19","Philadelphia Trust Co.Lowers Position in Devon Energy Corp . (DVN)",""
"2017-01-19","Devon Energy Loves The Delaware Basin",""
"2017-01-19","Devon Energy: Monterrey receives $10K science award",""
"2017-01-19","EPA pick Pruitt accused of seeking dark money",""
"2017-01-19","Is There Any Growth Left for Anadarko Petroleum Corporation Stock in 2017 ?",""
"2017-01-19","Senate Dems Grill Trump EPA Pick Over Energy Donations",""
"2017-01-19","Analysts Estimate Buzz in Focus: Gold Fields Limited (NYSE: GFI), Devon Energy Corporation (NYSE: DVN)",""
"2017-01-19","EPA Nominee Pruitt Hearing Shows Him Poised to Be Every Polluter Ally",""
"2017-01-19","The 4 biggest problems with Trump choice to head the EPA",""
"2017-01-19","Why CA Has a Lot at Stake in EPA Selection / Public News Service",""
"2017-01-19","Devon Energy: No Debt, Potential Dividend Hike",""
"2017-01-19","Pruitt In Hot Seat On Capitol Hill During Confirmation Hearing",""
"2017-01-19","Senators grill Pruitt on earthquakes, oil ties",""
"2017-01-19","Whitehouse: What is Scott Pruitt Hiding ?",""
"2017-01-19","EPA pick Scott Pruitt repeats doubts about climate science and attacks on the agency he is expected to head",""
"2017-01-19","Trump pick to lead EPA has spotty state environmental record",""
"2017-01-19","In letter, 9 attorneys general urge rejection of EPA nominee",""
"2017-01-19","Trump EPA nominee reverses self on climate change being a hoax",""
"2017-01-20","Oxbow Advisors LLC Continues to Hold Stake in Devon Energy Corp . (DVN)",""
"2017-01-20","Jefferies Group Comments on Devon Energy Corp .’ s Q1 2017 Earnings (DVN) – sleekmoney",""
"2017-01-20","Analysis: Scott Pruitt misleading testimony from this week EPA confirmation hearing",""
"2017-01-20","Attorney General Scott Pruitt on Oklahoma high asthma rates",""
"2017-01-20","The pipeline fight: Protesters rally against protesters",""
"2017-01-20","Analyzing Murphy Oil 4Q16 Revenue Estimates",""
"2017-01-20","EPA Nominee Scott Pruitt Grilled on Fossil Fuel Ties at Confirmation Hearing",""
"2017-01-20","EPA nominee Scott Pruitt gets grilled on fossil fuel ties at confirmation hearing",""
"2017-01-20","Uranium stocks are booming, thanks to Trump",""
"2017-01-21","Leisure Capital Management Increases Stake in Devon Energy Corp . (DVN)",""
"2017-01-21","trending State briefs",""
"2017-01-21","First American Bank Buys JPMorgan Chase & Co, Bank of America Corporation, Devon Energy ...",""
"2017-01-23","Large Inflow of Money Witnessed in Devon Energy Corporation – Founders Daily",""
"2017-01-24","Devon Energy Corp . (DVN) Position Boosted by Nordea Investment Management AB",""
"2017-01-24","How Devon Energy Will Benefit from Higher Crude Oil Prices",""
"2017-01-24","How Crude Oil Prices Affected ConocoPhillips Earnings Growth",""
"2017-01-24","EnLink Midstream expands in central Oklahoma",""
"2017-01-24","EnLink Midstream LLC: expands in central Oklahoma",""
"2017-01-25","Four Picks in Energy Exploration",""
"2017-01-25","Shale Gas Global Market, By Product & Data Validation, 2016 Analysis and Forecast 2022",""
"2017-01-25","ConocoPhillips Among Merrill Lynch Top Large",""
"2017-01-25","5 Merrill Lynch Top Large",""
"2017-01-26","Oklahoma oil prices and drilling report for Wednesday",""
"2017-01-26","A Look at Consol Energy 4Q16 Revenue Expectations",""
"2017-01-26","Key Permian Basin Deals in 2016 and 2017",""
"2017-01-26","Energistics elects Robin Goswami to its Board of Directors",""
"2017-01-27","The Manufacturers Life Insurance Company Purchases Shares of 1, 241, 041 Devon Energy Corporation (DVN) – sleekmoney",""
"2017-01-27","Devon Energy surprises Luther High School with large donation",""
"2017-01-27","Trump EPA pick stonewalls senators questioning his industry ties",""
"2017-01-27","Analyzing ConocoPhillips 4Q16 Revenue Expectations",""
"2017-01-28","Nokia Corporation (ADR) (NYSE: NOK) Shares Climbs 2.38% Thursday Premarket Trade",""
"2017-01-28","Stratford Consulting, LLC Buys Procter & Gamble Co, Devon Energy Corp, PowerShares Dividend ...",""
"2017-01-28","Oklahoma Gardening School set for March 11 at Devon Energy Auditorium, downtown Oklahoma City",""
"2017-01-29","Stratford Consulting adds Devon Energy Corp (DVN) by $682, 072 – Trade Calls",""
