"date","headline","label"
"2017-01-01","Stocks: Blackhill Capital Inc.Holds Stake in Enbridge Energy Partners, L.P . (EEP)",""
"2017-01-02","1 Top Dividend Stock For 2017",""
"2017-01-04","Enbridge Energy Management LLC (EEQ) Stock Rating Upgraded by Zacks Investment Research – sleekmoney",""
"2017-01-04","New Analysis Highlights Alarming Anti",""
"2017-01-04","Amid Tension, Mayor Weighs In on Council Support for Standing Rock",""
"2017-01-04","If You Dont Buy This Dividend Superstar, Youll Be Kicking Yourself Later",""
"2017-01-05","Enbridge Inc (ENB) Upgraded by Zacks Investment Research to Buy",""
"2017-01-05","Enbridge Income Fund Holdings Inc.Announces 10% Dividend Increase to Monthly Dividend",""
"2017-01-05","Enbridge Announces 10 Percent Quarterly Dividend Increase",""
"2017-01-05","Analysis Shows Dangerou Pipeline Mega",""
"2017-01-05","Enbridge increases dividend by 10%",""
"2017-01-05","Tribal members learn more about another pipeline project - - this one in northern Minnesota",""
"2017-01-06","TSX listed corporate dividends and distributions declared Jan.6",""
"2017-01-06","Enbridge Inc (ENB) Stake Boosted by Meag Munich Ergo Kapitalanlagegesellschaft MBH",""
"2017-01-06","The CGOV Asset Management Buys Shares of 843, 691 Enbridge Inc . (ENB)",""
"2017-01-06","Sumitomo Mitsui Trust Holdings Inc.Boosts Position in Enbridge Inc (ENB)",""
"2017-01-06","Enbridge Announces 10 Percent Quarterly Dividend Increase – Military Technologies",""
"2017-01-06","Enbridge: Bad River Band takes action to kick Enbridge pipeline off reservation",""
"2017-01-06","Bad River Denies Enbridge Line 5 Grant Easement",""
"2017-01-06","Wisconsin tribe wants Enbridge pipeline removed from its reservation",""
"2017-01-06","Enbridge: Wisconsin tribe wants pipeline moved from its reservation",""
"2017-01-06","Why Shares of Midcoast Energy Partners and DCP Midstream Partners Gained Ground in December",""
"2017-01-07","Enbridge: Citing fear of spills, Wisconsin tribe turns on pipeline",""
"2017-01-07","Citing fear of spills, Wisconsin tribe turns on pipeline",""
"2017-01-07","Wisconsin tribe moves to eject Enbridge Line 5 from reservation",""
"2017-01-07","Bad River Band wants Enbridge pipeline off reservation",""
"2017-01-07","Enbridge: No Spills conference focuses on pipeline, water safety",""
"2017-01-07","Bad River Band Calls for Removal of Pipeline",""
"2017-01-07","No Spills conference focuses on pipeline, water safety",""
"2017-01-08","Enbridge Inc (ENB) Stake Held by Canada Pension Plan Investment Board",""
"2017-01-10","Bad River Band Calls for Enbridge to Remove Wisconsin Pipeline",""
"2017-01-10","Enbridge: Remove pipeline, Wisconsin tribe tells company",""
"2017-01-10","Refiners shun new Canadian crude blend offer from Enbridge line",""
