"date","headline","label"
"2017-01-03","Halliburton Company (HAL) Shares Sold by Chemical Bank",""
"2017-01-03","Mirae Asset Global Investments Co.Ltd.Increases Position in Halliburton Company (HAL)",""
"2017-01-03","Analysts showing optimistic trends for: Halliburton Company (NYSE: HAL)",""
"2017-01-04","Halliburton Company (HAL) Stake Raised by Mitsubishi UFJ Kokusai Asset Management Co.Ltd .",""
"2017-01-04","King Luther Capital Management Corp Has $10, 548, 000 Position in Halliburton Company (HAL)",""
"2017-01-04","Foreign Ministry outraged by Marine Le Pen statement on Crimea",""
"2017-01-04","Tesla starts battery cell production at gigafactory",""
"2017-01-04","Federer defeated by Zverev in Hopman Cup",""
"2017-01-04","Orion Stellar Nursery Captured In Stunning New ESO Image",""
"2017-01-04","As Average Price Reaches $2.49 This Year, Drivers Will See Highest Gas Prices Since 2014",""
"2017-01-04","USA national Coach Bruce Arena raids Galaxy staff for four assistant coaches",""
"2017-01-04","What Makes Flotek Industries (FTK) a Strong Sell ?",""
"2017-01-04","Women March on Washington organizers promise 200000 to protest Trump",""
"2017-01-04","California lawmakers hire Holder for fights with Trump, New York Times reports",""
"2017-01-05","Halliburton Company (HAL) Rating Lowered to Hold at Vetr Inc .",""
"2017-01-05","Why the Earnings Streak Will Continue for Halliburton (HAL)",""
"2017-01-05","Directional Drilling Services Market worth 10.30 Billion USD by 2021",""
"2017-01-06","Halliburton Company (HAL) Shares Bought by Principal Financial Group Inc . – sleekmoney",""
"2017-01-07","Halliburton Company (HAL) Receives $52.87 Consensus Target Price from Brokerages",""
"2017-01-07","It destination Morocco for Tiger Zinda Hai",""
"2017-01-07","Pastor Adeboye writes Redeemed Church pastors, explains new RCCG structure",""
"2017-01-07","Iraq says deal reached with Turkey for withdrawal of troops",""
"2017-01-07","At Least Five Dead In Shooting At Florida Airport, Gunman In Custody",""
"2017-01-07","2016 deadliest year for Mediterranean migrants: IOM",""
"2017-01-07","Bitcoin extends losses, slides another 12% on China warning",""
"2017-01-07","Multiple People Killed In Shooting at Ft.Lauderdale Airport",""
"2017-01-07","Mass Murderer Charles Manson Back In Prison",""
"2017-01-07","Pakistan Raheel Sharif made chief of 39",""
"2017-01-07","Arsenal leave it late to overcome Preston in frustrating FA Cup encounter",""
"2017-01-07","Conan Clueless Gamer Is Becoming a Series",""
"2017-01-07","US oil and gas lobby calls for industry",""
"2017-01-07","Two questioned after shooting of LDWF agent in north Louisiana",""
"2017-01-08","Capital One Financial Corporation Comments on Halliburton Company ’ s Q3 2017 Earnings (HAL)",""
"2017-01-09","Halliburton Company ’ s (HAL) Buy Rating Reaffirmed at RBC Capital Markets",""
"2017-01-09","Halliburton Reaches Analyst Target Price",""
"2017-01-09","Don ’ t Miss: Halliburton Company (NYSE: HAL), Stein Mart, Inc . (NASDAQ: SMRT), Hormel Foods Corporation (NYSE: HRL), Citizens Financial Group, Inc . (NYSE: CFG)",""
"2017-01-09","Halliburton Company (NYSE: HAL) - Analysts Detailing with Profitability Ratio Analysis: Amyris, Inc . (NASDAQ: AMRS)",""
"2017-01-09","India and Portugal sign defence co",""
"2017-01-09","The Corporate Investigations List (January 2017)",""
"2017-01-09","5 Best Oil Stocks To Buy Right Now",""
"2017-01-10","Halliburton Company (HAL) Rating Reiterated by RBC Capital Markets",""
