"date","headline","label"
"2017-01-01","Intuit Inc . (INTU) To Go Ex",""
"2017-01-01","Rick Sanchez: Is that guacamole on Ann Coulter face ?",""
"2017-01-02","Strs Ohio Has $61, 101, 000 Position in Intuit Inc . (INTU)",""
"2017-01-02","Intuit Quickbooks Premier 2016",""
"2017-01-02","TurboTax Super Bowl 2017 Ad Announced",""
"2017-01-02","Playing Critic: Test your puzzle prowess with Subject 13",""
"2017-01-02","How your company unwritten rules can break its culture",""
"2017-01-02","Cross Platform and Mobile Advertising Market Development Trend Analysis with 2016",""
"2017-01-03","How XERO FPO NZX could be profitable in 2017",""
"2017-01-03","TurboTax Will Bring DJ Khaled and Other Big Names to 2017 Super Bowl",""
"2017-01-03","Joanne Poyourow – Resilience",""
"2017-01-03","Taylor Chorney should never ever play over Nate Schmidt ‹ Russian Machine Never Breaks",""
"2017-01-03","brandchannel: Brand News: A New Day for Nike, FCA and Google Concept Car and More",""
"2017-01-04","Pensionfund Dsm Netherlands Lowers stake in Intuit (INTU) – Founders Daily",""
"2017-01-04","WATCH: DJ Khaled Stars In Turbo Tax Commercial",""
"2017-01-04","New celebrity spots tell people to relax, there TurboTax",""
"2017-01-04","Member Exclusive: Escape from Evil",""
"2017-01-04","Creepy Kids Haunt Kathy Bate House in New Campaign From Turbo Tax",""
"2017-01-04","Social Native Redefines How Brands Create Content With the Power of Many",""
"2017-01-05","Intuit Stock Trades Ex",""
"2017-01-05","Intuit Inc . (INTU) Ex",""
"2017-01-05","Sutherland Global Services Career Fair",""
"2017-01-05","Namely Nets $50M to Boost HR Technology, Services",""
"2017-01-05","Intuit (INTU) Stock: As Tax Season Ramps Up, Watch TurboTax Market Share Push",""
"2017-01-05","The Bookworm Sez: Will it really make us stronger ? Book aims to find out",""
"2017-01-05","THE BOOKWORM SEZ: What Doesnt Kill Us explores survival skills",""
"2017-01-05","New Mandatory IRS Tax Refund Delay Change is Important News for Taxpayers",""
"2017-01-05","What digital apps are best for business start",""
"2017-01-05","IoT Enabled Enterprise Resource Planning Market Analysis, Share, Trends and Forecast by 2022 – Market Research Report 2017",""
"2017-01-06","Intuit (INTU) Downgraded to Strong Sell: Should You Dump ?",""
"2017-01-06","Quickbooks Help Quickbooks Technical Help 1855",""
"2017-01-06","Intuit QuickBooks Pro 2017 w / Payroll for PC for $200",""
"2017-01-06","Xero losses narrow as subscribers head for 1 million",""
"2017-01-06","11 jobs that pay at least $100K at top U.S . employers",""
"2017-01-06","Tech CEOs, say you will not build a Muslim registry",""
"2017-01-07","Top 10 jobs that pay over $145, 000 and are hiring, AsiaOne World News",""
"2017-01-07","After Briefing, Trump Promises to Prioritize Cybersecurity",""
"2017-01-07","Top 10 jobs that pay over $145, 000 and are hiring, AsiaOne Business News",""
"2017-01-08","Bookworm: What Doesnt Kill U wont leave you cold",""
"2017-01-08","Book is a great read for sofa slugs and super athletes",""
"2017-01-08","Terri Schlichenmeyer: Carney writes on pushing things to their limits",""
"2017-01-08","Book wont leave you out in the cold",""
"2017-01-08","IDG Connect  Why this startup is looking forward to competing with Microsoft",""
"2017-01-08","Lessons from Orwell: Big Brother isnt the problem.Conformity is the problem",""
"2017-01-09","FULl HELP intuit payroll support @ 1",""
"2017-01-09","creta 0002 intuit payroll support @ 1",""
"2017-01-09","Box: Application Software Stocks Under Scanner - - LifeLock, Intuit, Zendesk, and Box",""
