"date","headline","label"
"2017-01-03","KKR appoint Balaji as bowling coach",""
"2017-01-03","KKR & Co.L . P . (KKR) PT Set at $18.00 by Credit Suisse Group",""
"2017-01-03","IPL: Kolkata Knight Riders appoint Laxmipathy Balaji as bowling coach: Cricket, News",""
"2017-01-03","Balaji returns to KKR as bowling coach",""
"2017-01-03","Laxmipathy Balaji returns to KKR as bowling coach",""
"2017-01-03","Depomed Inc (DEPO) Stock Soars on Takeover Talk",""
"2017-01-03","KKR to Buy SM Energy ? s South Texas Assets for $800 Million",""
"2017-01-03","Why Depomed Inc.Stock Spiked Today",""
"2017-01-03","KKR L P: & Co . () Gains on Designs on Depomed",""
"2017-01-03","SM Energy to sell some Eagle Ford assets for $800 million",""
"2017-01-03","Laxmipathy Balaji Returns To Kkr As Bowling Coach Latest News",""
"2017-01-03","SM Energy Selling Non",""
"2017-01-03","Balaji appointed Kolkata Knight Riders bowling coach",""
"2017-01-04","Balaji replaces Akram as KKR bowling coach",""
"2017-01-04","IPL 2017: Kolkata Knight Riders name Laxmipathy Balaji as their bowling coach",""
"2017-01-04","IPL 2017: New KKR bowling coach L Balaji believes Shah Rukh Khan team can be champions again",""
"2017-01-04","Alternatives to See Improved Realizations and Deployments in 2017",""
"2017-01-04","The 3 Best Private Equity Stocks to Buy for Big",""
"2017-01-04","Lakshmipathy Balaji Returns To Kkr As Bowling Coach Latest News",""
"2017-01-04","KKR to Buy SM Energy South Texas Assets for $800 Million",""
"2017-01-04","What to Expect of Alternative Asset Manager 2017 Performances",""
"2017-01-04","Singh brothers in talks with KKR for Fortis sale",""
"2017-01-04","Worth Watching Stocks: Synergy Resources Corporation (NYSEMKT: SYRG), KKR & Co.L . P . (NYSE: KKR)",""
"2017-01-04","Stock Futures Quietly Higher ; Chevron, Shell Climb, Tesla Takes A Dip",""
"2017-01-04","Blackstone and KKR Raise Funds amid Volatility and Prospects",""
"2017-01-05","Slayback Pharma Announces $60 Million in New Financing by KKR",""
"2017-01-05","How has KKR & Co.L . P .: (NYSE: KKR) performed recently ? – The Daily Leicester",""
"2017-01-05","Cerêve Raises $38 Million to Fuel Launch of Insomnia Device in New Financing Led by KKR",""
"2017-01-05","Will KKR impending deal with Religare, Fortis promoters spark competition scrutiny ?",""
"2017-01-05","KKR: KKR in talks for Rs 3k",""
"2017-01-05","KKR in talks for Rs 3k",""
"2017-01-05","KKR in talks for Rs 3000",""
"2017-01-05","Cerêve Raises $38 Million to Fuel Launch of Insomnia Device",""
"2017-01-05","Cerêve Closes $38M Series B Financing",""
"2017-01-05","Cerêve lands $38m Series B for insomnia device – MassDevice",""
"2017-01-05","China Mengniu Dairy: to Raise Stake in China Modern Dairy to 39.9% Vs 25.4% Currently",""
"2017-01-06","The Honeywell International Inc.Cuts Position in KKR & Co.L . P . (KKR)",""
"2017-01-06","Concerns Diverting Active Stocks Direction: KKR & Co (NYSE: KKR), Sears Holdings (NASDAQ: SHLD)",""
"2017-01-06","Mergers: Commission clears acquisition of Calsonic Kansei by KKR",""
"2017-01-06","KKR inks $60M deal with New Jersey pharma startup",""
"2017-01-06","KKR Injects $60M In Slayback Pharma",""
"2017-01-06","Technical Trading: Focus on Shares of Kohlberg Kravis Roberts & Co . (KKR)",""
"2017-01-06","IPL 2017: Colin Munro hits 54",""
"2017-01-06","KKR L P: Fortis Healthcare has a healthy closing on D",""
"2017-01-07","KKR Has Upside of 25% or More",""
"2017-01-07","Large Cap Asset Management: KKR & Co.L . P . (NYSE: KKR)",""
"2017-01-07","Is KKR & Co.L . P . (NYSE: KKR), a large market cap stock a smart buy ? – The Daily Leicester",""
"2017-01-07","Investor ’ s Watch List: KKR & Co.L . P . (NYSE: KKR)",""
"2017-01-07","KKR has 25% or more upside",""
"2017-01-09","KKR raises Rs 1, 100 crore for India",""
"2017-01-09","Bain Capital joins KKR, TPG in race for Fortis Healthcare stake",""
"2017-01-09","Got Milk ? China Thirst Could Prove a Cash Cow for Investors",""
"2017-01-09","KKR raises $160 mn under new India credit fund",""
"2017-01-09","Barron Picks And Pans: AMGN, BKS, EXPE And More",""
"2017-01-09","Why 2017 to 2018 Could Be Boom Time for Private Equity",""
"2017-01-09","Mengniu deal to increase China Modern Dairy stake seen as rescue by some, synergy by others",""
"2017-01-09","Tui: in talks with Swiss rival to sell Travelopia",""
"2017-01-09","Sona Group promoters pick up Mahindra stake in JV for Rs 120 crore",""
"2017-01-10","How KKR Beat Citi to Win Loan Deal for Perelman Humvee Maker",""
"2017-01-10","Deals Buzz: Ajay Piramal eyes raising stake in Shriram Capital",""
"2017-01-10","Ducommun Welcomes New CEO, A UTC Alum",""
"2017-01-10","Nandan Nilekani nearly doubles stake in Cafe Coffee Day parent",""
"2017-01-11","KKR Releases 2017 Global Macro Outlook",""
"2017-01-11","Former Africa heads at Carlyle and KKR to set up regional investment firm",""
"2017-01-11","KKR: Trump, Brexit signal paradigm shift for investing",""
"2017-01-11","KKR Says Trump and Brexit are New Investing Paradigm",""
"2017-01-11","Norway becomes first country to turn off FM radio",""
"2017-01-12","KKR: Correlation between stocks and bonds is over,",""
"2017-01-12","KKR and Co.eyes private credit growth in US, Asia, Europe",""
"2017-01-12","Private equity firm circles Geon",""
"2017-01-12","Former Africa heads at Carlyle and KKR to set up investment firm",""
"2017-01-12","CHOICE slams Alec Baldwin for spruiking expensive loans",""
"2017-01-13","KKR to buy Hitachi Power tool unit in $1.3 billion deal",""
"2017-01-13","KKR Announces Tender Offer For Hitachi",""
"2017-01-13","KKR to buy Hitachi power tools unit for $1.3 billion",""
"2017-01-13","KKR to Buy Hitachi Power Tools Unit for $1.3 Billion",""
"2017-01-13","KKR To Buy Hitachi ’ s Power Tools Subsidiary For $1.3 Billion",""
"2017-01-13","Hitachi power: KKR to buy Hitachi power tools unit for $1.3 billion",""
"2017-01-13","KKR to buy Hitachi power tools unit for $1.3 bln",""
"2017-01-13","KKR Announces Tender Offer to Acquire Hitachi KokiHitachi and Hitachi Urban Investment Agree to Tender Their Holdings of Hitachi Koki Shares",""
"2017-01-13","KKR L P: Announces Tender Offer to Acquire Hitachi Koki Hitachi and Hitachi Urban Investment Agree to Tender Their Holdings of Hitachi Koki Shares",""
"2017-01-13","KKR Announces Tender Offer to Acquire Hitachi Koki Hitachi and Hitachi Urban Investment Agree to Tender Their Holdings of Hitachi Koki Shares",""
"2017-01-13","KKR & Co Received its Third Buy in a Row",""
"2017-01-13","KKR To Buy Hitchai Power Tools Unit For $1.3 Billion",""
"2017-01-13","KKR To Buy Hitachi Power Tools Unit For $1.3 Billion",""
"2017-01-13","KKR bullish on private credit growth in US, Asia, Europe",""
"2017-01-13","KKR Announces Tender Offer to Acquire Hitachi Koki Hitachi and Hitachi Urban Investment Agree to Tender Their Holdings of Hitachi Koki Shares – Jewish Business News",""
"2017-01-13","Concerns Wondering Stocks At New Rating: The Charles Schwab Corporation (NYSE: SCHW), KKR & Co.L . P . (NYSE: KKR)",""
"2017-01-13","Heed KKR Macro Assessment of the World",""
"2017-01-13","KKR powers ahead with Japan dealmaking – Breakingviews",""
"2017-01-14","KKR to Buy Hitachi Power Tool Unit in $1.3 Billion Deal",""
"2017-01-14","Former Africa Heads At Carlyle And KKR Plan New Investment Firm",""
"2017-01-14","Incredibly difficult interview questions asked by top private equity firms",""
"2017-01-14","David Haifeng Liu resigned as CITIC Envirotech non",""
"2017-01-15","PEF investment in Korea may rise following launch of KKR, TPGs Asia funds worth $11.9 bn",""
"2017-01-15","Avendus aiming at loan book of Rs 5, 000 crore in 5 years: CEO Ranu Vohra",""
"2017-01-16","KKR Acquires Hitachi Power Tools Business (KKR)",""
"2017-01-16","KKR to buy Hitachi power tools unit for $1.3b",""
"2017-01-16","Former Africa heads at Carlyle and KKR to set up private equity firm Arkana Partners",""
"2017-01-16","PE / VC investments in auto components hits all",""
"2017-01-16","Katich to coach in Caribbean Twenty20",""
"2017-01-17","KKR pumps Rs 315 crore in Runwal Mumbai residential project",""
"2017-01-17","KKR Returns To Japan For Another $1 Billion+ Buy",""
"2017-01-17","KKR returns to Japan for another $1B+ buy",""
"2017-01-17","Glen Chapple appointed Lancashire new coach Latest News",""
"2017-01-17","Analysts Buzzer on Considerable Stocks Figures: Annaly Capital Management (NYSE: NLY), KKR & Co . (NYSE: KKR)",""
"2017-01-17","Katick is new Trinbago Knight Riders coach",""
"2017-01-17","Katich replaces Helmot as Head Coach of TKR",""
