"date","headline","label"
"2017-01-03","Marathon Petroleum explores spin",""
"2017-01-03","Pressured by a big investor, Marathon Petroleum announces moving some assets",""
"2017-01-03","Marathon Petroleum Corp . (MPC) Has Jumped To A New High For The Year",""
"2017-01-03","Marathon Petroleum to Accelerate Asset Drop",""
"2017-01-03","Marathon Petroleum: to Accelerate Asset Dropdown",""
"2017-01-03","Marathon to Conduct Review of Speedway",""
"2017-01-03","Agree To Purchase Marathon Petroleum Corp.At $32.50, Earn 6.6% Using Options",""
"2017-01-03","Marathon Petroleum updates plans, will review Speedway business",""
"2017-01-03","Marathon Petroleum explores Speedway spin amid Elliott pressure",""
"2017-01-03","MARATHON PETROLEUM CORP: Regulation FD Disclosure, Financial Statements and Exhibits (form 8",""
"2017-01-03","S & P 500 Movers: RIG",""
"2017-01-03","MPLX LP: MARATHON PETROLEUM CORPORATION PROVIDES UPDATE ON STRATEGIC ACTIONS TO ENHANCE SHAREHOLDER VALUE",""
"2017-01-03","Marathon Petroleum Corporation: MARATHON PETROLEUM CORPORATION PROVIDES UPDATE ON STRATEGIC ACTIONS TO ENHANCE SHAREHOLDER VALUE",""
"2017-01-03","Leading stocks in today market: Marathon Oil Corporation (NYSE: MRO)",""
"2017-01-03","Marathon Petroleum Exploring Speedway Spinoff",""
"2017-01-03","Markets Right Now: US stocks open the year with solid gains",""
"2017-01-03","Markets Right Now: US Stocks Open the Year With Solid Gains",""
"2017-01-03","Youngstown news, Markets Right Now: US stocks open the year with solid gains",""
"2017-01-03","Markets Right Now: US stocks open the year with solid gains › Medicine Hat News",""
"2017-01-03","Wall St.pares some gains as oil prices drop",""
"2017-01-03","Marathon review of Enon",""
"2017-01-03","Wall St.opens 2017 with big gains as banks surge",""
"2017-01-03","News from The Associated Press",""
"2017-01-03","Wall St.pares some gains as oil rally loses steam",""
"2017-01-03","Wall St.set for big gains on first trading day of 2017",""
"2017-01-03","Wall Street extends rally, but some investors wary",""
"2017-01-03","Wall Street extends rally in sharp New Year rise",""
"2017-01-04","Marathon Petroleum Corporation (MPC) Shares Sold by Henderson Group PLC",""
"2017-01-04","Marathon Petroleum Corp . (MPC) Set A New High After Asset Dropdown Accelerated",""
"2017-01-04","Activist investor prompts Marathon to consider spinning off Speedway",""
"2017-01-04","Marathon Petroleum Offers Updates on Strategic Initiatives",""
"2017-01-04","Stocks Turn Active on Retreated Views: Xerox Corporation (NYSE: XRX), Marathon Petroleum (NYSE: MPC)",""
"2017-01-04","Why Fitbit, Iridium Communications, and Marathon Petroleum Jumped Today",""
"2017-01-04","MPLX to Get Rid of Incentive Distribution Rights",""
"2017-01-04","The Courier » Marathon considers separating Speedway to help boost stock prices",""
"2017-01-04","Hedgie Paul Singer scores first win of 2017",""
"2017-01-04","The Courier » Marathon Petroleum to consider separating Speedway subsidiary",""
"2017-01-04","Wednesday ETF Movers: XBI, XLE",""
"2017-01-04","Marathon forms panel to examine spinoff idea",""
"2017-01-04","Speedway Spinoff Moves Closer to Reality",""
"2017-01-05","Analysts See Compelling Value in: Marathon Oil Corporation (NYSE: MRO)",""
"2017-01-05","Why You Should Not Ignore MPLX Stock",""
"2017-01-06","The Buzzing Stock – Marathon Petroleum Corporation (NYSE: MPC) – Transcript Daily",""
"2017-01-06","Marathon Petroleum Announce That It Would Accede Elliott Demands",""
"2017-01-06","Casual Light Products Transport Driver",""
"2017-01-07","Procurement Processor",""
"2017-01-07","Deadly Plane Crash in Arkansas Took Off in McKinney",""
"2017-01-08","Marathon Petroleum Corporation (MPC) Stake Cut by Texas Permanent School Fund",""
"2017-01-09","Credit Suisse Group Raises Marathon Petroleum Corporation (MPC) Price Target to $63.00",""
"2017-01-10","Oil & Gas Stock Roundup: William Dividend Hike, SM Energy Asset Sale and More",""
"2017-01-11","Marathon Petroleum Corporation (MPC) Stake Lowered by Mitsubishi UFJ Kokusai Asset Management Co.Ltd .",""
"2017-01-11","The Marathon Petroleum Corp . (MPC) Shares Sold by the South Dakota Investment Council",""
"2017-01-11","Marathon Petroleum Corporation: Marathon Petroleum Corporation to announce 2016 fourth",""
"2017-01-11","Yearly EPS Target Of Marathon Petroleum Corporation (NYSE: MPC) At $2.15",""
"2017-01-11","Marathon Petroleum Corporation to announce 2016 fourth",""
"2017-01-11","MPLX LP: MPLX LP to announce 2016 fourth",""
"2017-01-11","GlobeNewswire: Marathon Petroleum Corporation to announce 2016 fourth",""
"2017-01-11","MPLX LP: John Fox, Co",""
"2017-01-11","The Zacks Analyst Blog Highlights: Williams, SM Energy, Marathon Petroleum, Encana and Schlumberger",""
"2017-01-11","(01 / 11 / 2017) Gilby Plaines Ltd.Acquires Additional Shares of NSGold Corporation 2017",""
"2017-01-11","MPLX LP: to announce 2016 fourth",""
"2017-01-11","GlobeNewswire: MPLX LP to announce 2016 fourth",""
"2017-01-11","MPLX LP to announce 2016 fourth",""
"2017-01-11","How Valero Return on Equity Stacks Up to Its Peers",""
"2017-01-11","Western Refining: Oil & Gas Stocks Under Scanner - - Marathon Petroleum, Valero Energy, HollyFrontier, and Western Refining",""
"2017-01-11","Oil & Gas Stocks Under Scanner - - Marathon Petroleum, Valero Energy, HollyFrontier, and Western Refining",""
"2017-01-12","Adage Capital Partners GP L.L . C.Has $48, 757, 000 Stake in Marathon Petroleum Corporation (MPC)",""
"2017-01-12","Marathon Petroleum Corporation: Marathon Petroleum Corp.appoints Dave Sauber as vice president of Human Resources and Labor Relations",""
"2017-01-12","Marathon Petroleum Corporation (MPC) Receives Average Recommendation of Buy from Brokerages",""
"2017-01-12","Marathon Petroleum Corp.appoints Dave Sauber as vice president of Human Resources and Labor Relations",""
"2017-01-12","GlobeNewswire: Marathon Petroleum Corp.appoints Dave Sauber as vice president of Human Resources and Labor Relations",""
"2017-01-12","Stocks in Mix Momentum",""
"2017-01-12","Marathon Dances to Corp Raider ’ s Tune, Former CEO Dissents",""
"2017-01-12","Former MarkWest CEO Chastises Marathon Petroleum Plans For Midstream Business",""
"2017-01-12","Textron Inc . (NYSE: TXT) began on",""
"2017-01-12","Japan Heparin Sodium Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Thermal Fuse Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Zirconium Silicate Industry Market Research Report 2017 2017",""
"2017-01-12","Japan High PressureLaminate Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Knife Sharpener Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Metformin Hydrochloride Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Xylitol Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Budesonide Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Zinc Dust Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Data Loggers Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Bale Net Wrap Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Helical Gear Reducers Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Heat Recovery Steam Generator (HRSG) Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Laboratory Information Management System (LIMS) Market Report 2017 2017",""
"2017-01-12","Global And China Butadiene Industry 2017 Market Research Report 2017",""
"2017-01-12","Japan Wood Based Panel Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Western Blot Imager Industry Market Research Report 2017 2017",""
"2017-01-12","Trimethylgallium (TMG) Industry 2017 Global And China Market Research Report 2017",""
"2017-01-12","Japan Liquid Silicone Rubber (LSR) Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Water Soluble Fertilizers Industry Market Research Report 2017 2017",""
"2017-01-12","Japan Water Saving Shower Heads Industry Market Research Report 2017 2017",""
"2017-01-13","The Courier » Marathon names human resources, labor official",""
"2017-01-13","Review Times » Marathon names new human resources, labor official",""
"2017-01-13","Friday Sector Laggards: Energy, Utilities",""
