"date","headline","label"
"2017-01-01","Stocks: Calvert Investment Management Inc.cuts position of Oneok Inc . (OKE)",""
"2017-01-01","Stocks: Segall Bryant & Hamill LLC cuts position of Oneok Partners LP (OKS)",""
"2017-01-01","Stocks: Oneok Partners LP (OKS) Cut to Hold at the Stifel Nicolaus",""
"2017-01-01","Mean Price Target Of ONEOK Partners, L.P . (NYSE: OKS) At $43.63",""
"2017-01-01","Energy companies and banks led stocks rally in 2016",""
"2017-01-01","Energy companies and banks led rally on S & P 500 in 2016",""
"2017-01-01","Stocks close out 2016 with double",""
"2017-01-02","Lucrative Stocks in today market: ONEOK Partners, L.P ., (NYSE: OKS) – News Journal",""
"2017-01-02","MLPs: December Gains Cap MLP Rebound Year",""
"2017-01-03","ONEOK Likely to Correct Back to Key Support",""
"2017-01-03","Clear Revenue Visibility and Appealing Valuation",""
"2017-01-04","Cramer: ONEOK Looks A",""
"2017-01-04","New Commercial Development Planned Next To Tulsa ONEOK Field",""
"2017-01-04","Cramer biggest winner and loser of the S & P for 2017",""
"2017-01-04","Tortoise Power and Energy Infrastructure Fund, Inc.Provides Unaudited Balance Sheet Information and Asset Coverage Ratio Update as of Dec.31, 2016",""
"2017-01-04","Tortoise MLP Fund, Inc.Provides Unaudited Balance Sheet Information and Asset Coverage Ratio Update as of Dec.31, 2016",""
"2017-01-04","Tortoise Pipeline & Energy Fund, Inc.Provides Unaudited Balance Sheet Information and Asset Coverage Ratio Update as of Dec.31, 2016",""
"2017-01-04","Tortoise Energy Infrastructure Corp.Provides Unaudited Balance Sheet Information and Asset Coverage Ratio Update as of Dec.31, 2016",""
"2017-01-04","World Patent Ratings Expects US Energy Companies To Outperform In 2017",""
"2017-01-05","Reg Filings: Advisors Asset Management INC Has Decreased Its Oneok INC New (OKE) Holding as Share Value Rose",""
"2017-01-05","ONE Gas to Participate in Evercore ISI Utility CEO Conference",""
"2017-01-05","The 10 Best Dividend Stocks of 2016",""
"2017-01-05","Mexico natural gas imports to double by 2030: Ministry",""
"2017-01-05","Ross: Tulsa Development Authority to hear mixed",""
"2017-01-05","Oklahoma stocks helped in 2016 by continued bull market",""
"2017-01-05","Why You Should Not Ignore MPLX Stock",""
"2017-01-05","Kayne Anderson Energy Development Company Provides Unaudited Balance Sheet Information and Announces its Net Asset Value and Asset Coverage Ratios at December 31, 2016",""
"2017-01-05","Kayne Anderson Midstream / Energy Fund Provides Unaudited Balance Sheet Information and Announces Its Net Asset Value and Asset Coverage Ratios at December 31, 2016",""
"2017-01-05","Kayne Anderson MLP Investment Company Provides Unaudited Balance Sheet Information and Announces its Net Asset Value and Asset Coverage Ratios at December 31, 2016",""
"2017-01-06","RBC Capital Releases a Hold Rating on ONEOK Partners – Markets",""
