"date","headline","label"
"2017-01-01","Occidental Petroleum Corporation (OXY) Stake Lowered by Bourgeon Capital Management LLC",""
"2017-01-01","Insiders Keep Buying as Market Wraps on 2016: Tronic, Six Flags, Virtu Financial, Cesca Therapeutics and More",""
"2017-01-02","Occidental Petroleum Corporation (OXY) Stake Cut by Rehmann Capital Advisory Group",""
"2017-01-02","Occidental Petroleum Corporation (OXY) Stake Boosted by King Luther Capital Management Corp",""
"2017-01-02","Stack Financial Management Inc Purchases 1, 420 Shares of Occidental Petroleum Corporation (OXY)",""
"2017-01-02","Stocks Buzz: McDonald ’ s Corporation (MCD), Occidental Petroleum Corporation (OXY), Ascena Retail Group, Inc . (ASNA) – istreetwire",""
"2017-01-02","California Gov.Brown taps 2 new utility regulators",""
"2017-01-02","Green Governor Jerry Brown Appoints Oil Industry Loyalist to Public Utilities Commission",""
"2017-01-03","NewFocus Financial Group LLC Decreases Position in Occidental Petroleum Corporation (OXY)",""
"2017-01-03","Stephen I.Chazen Sells 4, 000 Shares of Occidental Petroleum Corporation (OXY) Stock",""
"2017-01-03","Valicenti Advisory Services Inc.Has $2, 354, 000 Position in Occidental Petroleum Corporation (OXY)",""
"2017-01-03","Which Upstream Stocks Have the Highest Implied Volatilities ?",""
"2017-01-03","Finance Colombia Ecopetrol La Ciras Infantas Oil Field Reaches 40, 000 Barrels Per Day",""
"2017-01-04","Occidental Petroleum Corporation (OXY) Shares Sold by Great West Life Assurance Co.Can",""
"2017-01-04","Occidental Petroleum: Expansion to boost Al Hosn sour gas plant capacity",""
"2017-01-04","The Year Ahead: Ethylene, PDH Capital Projects to Proliferate",""
"2017-01-04","Top Oil & Gas Analyst Upgrades and Downgrades: Baker Hughes, Chevron, Nabors, Occidental, Shell and Many More",""
"2017-01-04","AFCON 2017: Egypt welcome foreign based stars to camp",""
"2017-01-04","2016: The year biggest Hydrocarbons Technology stories",""
"2017-01-04","RCMP investigating after four bodies found in home in northeastern Nova Scotia",""
"2017-01-04","Federer defeated by Zverev in Hopman Cup",""
"2017-01-04","The FSI Group LLC Buys Shares of 200000 American Capital Ltd . (ACAS)",""
"2017-01-04","Analysts Upgrade / Downgrade Activity of Taiwan Semiconductor Manufacturing Company Limited (NYSE: TSM)",""
"2017-01-04","House GOP Drops Bid to Weaken Ethics Office After Outcry",""
"2017-01-04","PERSONAL FINANCES: Robust energy economy yields windfall for dozens of freshmen - - Wednesday, January 4, 2017",""
"2017-01-05","Bokf Na Has $7, 255, 000 Stake in Occidental Petroleum Corporation (OXY)",""
"2017-01-05","Is there Upside to Occidental Petroleum Corporation (NYSE: OXY) ? – Recall News",""
"2017-01-05","Rep.Steve Cohen: Trump and Fidel Castro Are Similar",""
"2017-01-05","Wall Street Top Analysts Upgrades, Downgrades & Initiations",""
"2017-01-05","How Dollar, Inventories, and OPEC Are Affecting Crude Oil Prices",""
"2017-01-05","Watch: Dem congressman compares Trump to third world dictator – TheBlaze",""
"2017-01-05","Felled by Trump visit, Mexico ex finmin named foreign minister",""
"2017-01-05","Australia nearly sure to tour Bangladesh in 2017",""
"2017-01-05","Kinder Morgan: A Dividend Double Is Squarely On The Table",""
"2017-01-05","Commonsense & Wonder: Sorry, Congressman after 8 years of Obama we know all about third world dictators.Executive Orders, you fool .",""
"2017-01-06","Texas Permanent School Fund Has $17155000 Stake in Occidental Petroleum Corporation (OXY)",""
"2017-01-06","Chevron: Ready for the New Normal ?",""
"2017-01-06","Production Technician",""
"2017-01-06","How Crude Oil Prices Moved ConocoPhillips Stock in 2016",""
"2017-01-06","Callon Petroleum Makes Its First Delaware Basin Acquisition",""
"2017-01-06","Johnson Controls International plc (JCI)",""
"2017-01-06","Chris Robshaw: Harlequin England flanker could miss Six Nations with shoulder injury",""
"2017-01-06","Tom Hardy, Channing Tatum may star in Triple Frontier",""
"2017-01-06","Arkansas judge allegedly exchanged light sentences for sex, pills, money",""
"2017-01-06","Enormous iceberg poised to break away from Antarctica",""
"2017-01-06","CNN apologizes to Assange after commentator calls him pedophile",""
"2017-01-06","Benjamin Netanyahu backs calls for pardoning Israeli soldier convicted of manslaughter",""
"2017-01-06","Chlorine Market Forecast Report on",""
"2017-01-06","James McAvoy Confirmed In New Mutants As Professor X",""
"2017-01-06","Celebrity Big Brother 2017 fees ! How much are the celebrities paid ?",""
"2017-01-06","Pennsylvania to reconsider online casino regulation",""
"2017-01-06","UCLA Bruins host California Bears in PAC",""
"2017-01-07","Why China is watching Taiwan leader foreign tour",""
"2017-01-07","Historically Black College to perform at Trump inauguration",""
