"date","headline","label"
"2017-01-01","Van Jones: The Clinton days are over",""
"2017-01-01","Van Jones: ‘ The Clinton days are over ’",""
"2017-01-02","Win Tickets To The Progressive Insurance Chicago Boat, RV & Strictly Sail Show « Country Music News, Artists, Interviews – US99",""
"2017-01-02","To curb dropouts, Maha govt orders re",""
"2017-01-02","Articles: Defining American Conservatism",""
"2017-01-02","Vermont Progressive Party Post",""
"2017-01-02","Sarnia Sting fall to London Knights",""
"2017-01-02","Days of Moderate Democratic Party Are Over, Analyst Declares",""
"2017-01-03","Ag Producer Confidence Index reveals hope",""
"2017-01-03","Ontario political parties relied heavily on corporate, union donations last year",""
"2017-01-03","Provincial political parties relied heavily on corporate, union donations in 2016",""
"2017-01-03","Blog: Trump and the crisis of American Conservatism",""
"2017-01-03","Ontario political parties relied heavily on corporate, union donations in 2016",""
"2017-01-03","Southeast AgNET » Archive Ag Producer Confidence Index Reveals Hope",""
"2017-01-03","Fedeli acclaimed for 2018 provincial election",""
"2017-01-03","Ontario parties face new fundraising reality",""
"2017-01-04","Trinidad Express Newspapers: News",""
"2017-01-04","McCarthyism: Then and Now",""
"2017-01-04","Americans Identifying As Liberals On The Rise",""
"2017-01-04","Tavion Marquez Willie, b.k . a.Tae Tae – Obituary",""
"2017-01-05","2017 New Year Revival",""
"2017-01-05","Raising property taxes is neither progressive, nor regressive: Keenan",""
"2017-01-05","Former congressman making surprise run for Virginia governor",""
"2017-01-05","Sarnia Sting fall to Flint Firebirds",""
"2017-01-05","AOGA take on oil tax policy skips vital information",""
"2017-01-06","PDP ARRIVES AT PNM MEETING",""
"2017-01-06","Between The Lines Radio Newsmagazine",""
"2017-01-06","MC business among participants in Progressive boat show",""
"2017-01-06","Trump Aims To Cut The Neocon Deep State Off At The Knees",""
"2017-01-06","Trump Aims to Cut the Neocon Deep State Off at the Knees",""
"2017-01-07","Russell Simmons endorses Hillary Clinton for president",""
"2017-01-07","Cut the Neocon Deep State Off at the Knees",""
"2017-01-08","Commit to the change you promised",""
"2017-01-09","The Progressive Underground Show 197: Legends We Lost Edition",""
"2017-01-09","Win Tickets To The New York Boat Show « WCBS",""
"2017-01-09","New York Governor Andrew Cuomo stakes out progressive agenda – Military Technologies",""
"2017-01-09","PDP LAUNCHES CAMPAIGN IN ROXBOROUGH",""
"2017-01-09","Amend constitution: PPP to Akufo",""
"2017-01-09","Language is a means to connect people: MP",""
"2017-01-10","The Progressive Palace, Tuesday, 1 / 10 / 17, 2: 00",""
"2017-01-10","hiSTORY: The Progressive Presidency That Should Have Never Been – Glenn Beck",""
