"date","headline","label"
"2017-01-02","Should You Add Rayonier (RYN) to Your Portfolio Right Now ?",""
"2017-01-03","Skandinaviska Enskilda Banken AB publ Buys 2, 800 Shares of ProLogis, Inc . (PLD)",""
"2017-01-03","Prologis leases 74, 850 sq ft to Swan Commercial Services at Basildon",""
"2017-01-03","Prologis to Announce Fourth Quarter 2016 Results January 24",""
"2017-01-03","Chesapeake Real Estate Group buys 101 acres in Harford County",""
"2017-01-03","Cold Snap: Developers Pour Money Into Cold Storage in China",""
"2017-01-03","Monmouth Buys Fort Myers Building, Asset Tally Reaches 100",""
"2017-01-03","Occupy Birmingham, Schema",""
"2017-01-03","Horsey: President Sanders ? Bernie would have beaten Trump",""
"2017-01-03","Chesapeake Real Estate Group Acquires 101 Acres Of Industrial Land in Edgewood",""
"2017-01-03","Health expert Brian Wansink gives weight loss tips for the New Year",""
"2017-01-03","Imperial College London research finds diet drinks make no difference to weight gain",""
"2017-01-03","Big Run Wolf Ranch In Lockport Needs Your Help",""
"2017-01-03","Baker Donelson completes merger with Maryland firm",""
"2017-01-03","With Trump win, America sees a brighter future",""
"2017-01-03","Toshiba Medical signs lease at Johns Hopkins research park",""
"2017-01-03","Cincinnati holds steady as a top town for bed bugs",""
"2017-01-03","Baker Donelson finalizes deal to make it one of nation largest firms",""
"2017-01-03","Chesapeake Real Estate Group acquires land in Harford County",""
"2017-01-03","Pelicans sign Motiejunas to prorated one",""
"2017-01-03","Wisconsin LB Watt decides to enter NFL draft",""
"2017-01-03","Why DFA Real Estate Securities I Fund (DFREX) Worth Another Look ?",""
"2017-01-03","Texas Tech QB Mahomes declares for draft",""
"2017-01-03","CBRE: Warehouse demand not expected to slow down in Central Pa .",""
"2017-01-03","Turkish authorities come closer to capturing nightclub attacker",""
"2017-01-04","FIBRA Prologis to Host Fourth Quarter 2016 Earnings Conference Call January 27",""
"2017-01-04","hola arkansas Fibra Prologis To Host Fourth Quarter 2016 Earnings Conference Call January 27",""
"2017-01-04","Compromise By Prologis To Keep Big Run Wolf Ranch Afloat",""
"2017-01-04","Were in danger of backsliding on swipe fees",""
"2017-01-04","Britain food and drinks exports are defying Brexit doom",""
"2017-01-04","Stalling of Cabinet appointments inevitable",""
"2017-01-04","Maryland teen Sean Crizer dies after shooting his 16",""
"2017-01-04","Bartender reveals the time he saw a man slip a date rape drug in a female customer drink",""
"2017-01-04","Welsh owner of Prosecco Van is forced to call her bubbly wine Frizzante 1754 by EU",""
"2017-01-04","U.S . House should preserve, strengthen independent watchdog",""
"2017-01-04","Bartender reveals the time he saw a man slip a date rape drug in a female drink",""
"2017-01-04","T.Rowe Price CFO to retire this year",""
"2017-01-04","Source: O, Montero agree to Minors deal",""
"2017-01-04","A media noose for Jeff Sessions",""
"2017-01-04","The problem with fact",""
"2017-01-04","DAP acquires Touch N Foam and Touch N Seal brands",""
"2017-01-04","Baltimore ranks No.1 in the U.S . for bedbugs",""
"2017-01-04","Baltimore ranks No.1 in the U.S . for bed bugs",""
"2017-01-04","Don Fry: 2017 will bring change for Baltimore business",""
"2017-01-04","Florida CB Wilson, OT Sharpe to enter NFL draft",""
"2017-01-04","Readers Write: U football case, stadium protest, Minneapolis City Council, rising from poverty",""
"2017-01-04","Everyday annoyances: It cold, and this gas pump is so inquisitive …",""
"2017-01-04","Three more Washington players declare for NFL Draft",""
"2017-01-04","Miamis Yearby decides to enter NFL Draft",""
"2017-01-04","Hanks, Kidman Honored as 2017 Awards Season Starts in Palm Springs",""
"2017-01-04","Serial Killer Charles Manson Transferred from Prison to Hospital",""
"2017-01-04","NBA roundup: Thomas scoring and passing carries Celtics",""
"2017-01-04","Finland plans employment boost: Guarantees universal basic income to 2, 000 citizens",""
"2017-01-04","Ohio State CB Conley declares for NFL draft",""
"2017-01-04","Somerset West fires ravage 40% of historic wine estate",""
"2017-01-04","Paul Ryan bags support of 239 Republicans, reelected House speaker",""
"2017-01-04","North Dakota Governor: Flood Risk Threatens Pipeline Protest Camp",""
"2017-01-04","Paytm enables cashless payments at leading entertainment destinations across India",""
"2017-01-04","NFL notebook: QB Osweiler to start in Texans playoff game",""
"2017-01-04","Exxon Mobil and Trump secretary",""
"2017-01-04","California gets ready to protect foreigners from Trump",""
"2017-01-04","New fraud law underpins public confidence in transactions",""
"2017-01-04","Ford to spend $700 million to expand Michigan plant, cancels plans to open Mexico plant",""
"2017-01-04","Raging controversy: Store displays poster that reads, Obama and other Muslims not welcome here",""
"2017-01-04","Trump tweet accusing China of inaction on North Korean missiles angers Beijing",""
"2017-01-04","House GOP scraps plan to gut independent ethics committee after Donald Trump tweets his displeasure",""
"2017-01-04","Obama, Trump Administrations Duel Over Healthcare Program",""
"2017-01-04","LA County lost construction jobs in 2016, but the Inland Empire is booming",""
"2017-01-04","Former U.S . presidential candidate breaks with tradition, attacks Obama while overseas",""
"2017-01-04","Global markets mostly positive",""
"2017-01-05","Texas Permanent School Fund Lowers Position in ProLogis, Inc . (PLD)",""
"2017-01-05","Modular housing provider signs up for 74, 850 sq ft at Basildon",""
"2017-01-05","DDR 2016 Transactions Totaled $1.1B, 27 Assets Sold in Q4",""
"2017-01-06","Prologis Completes 18 Build",""
"2017-01-06","Consumer spending the driver as logistics real estate market bucks growth trends",""
"2017-01-06","Developer alters proposed Lockport industrial park",""
"2017-01-06","East Palo Alto may drag Menlo Park into court over plan",""
"2017-01-06","Knocking on a Singapore Landlord Door",""
"2017-01-06","GLP in talks on possible buyout, Business News & Top Stories",""
"2017-01-06","GLP shares surge as company confirms talks on possible sale",""
"2017-01-06","Today Top Supply Chain and Logistics News From WSJ",""
"2017-01-06","This 9% Yield Real Estate CEF Is Attractive",""
"2017-01-07","LEASES: TrueFacet takes space in Garment District, tech firm renews in Carlstadt",""
"2017-01-07","Lockport resident group opposes industrial park",""
"2017-01-07","Festive fun raises £5k for Coventry Zoe Place Baby Hospice",""
"2017-01-09","Prologs Paper Notes Rapid Growth in Industrial Real Estate",""
"2017-01-09","All Articles Tagged Industrial _ Real _ Estate from Supply Chain Management Review",""
"2017-01-09","Michigan Ross Takes a New Route with MSCM Program",""
"2017-01-09","CBRE Outlook: Industrial Market Momentum Expected To Continue In 2017",""
"2017-01-09","A Most Remarkable Chinese Woman",""
"2017-01-10","Prologis acquires M0 Central Business Park near capital",""
"2017-01-10","Prologis (PLD) Reports Robust Build",""
"2017-01-10","Logistics 100 focus: Q & A with Andrew Griffiths, managing director & regional head united kingdom, Prologis",""
"2017-01-10","RWO, SPG, PSA, PLD: Large Inflows Detected at ETF",""
"2017-01-10","GLP confirms preliminary talks on possible sale of the company, Get Latest Property Commercial",""
"2017-01-10","How to Manage the Outsourced Manufacturing Supply Chain",""
"2017-01-10","U.S . DoT Designates Northeastern University and Rutgers University as Beyond Traffic Centers",""
"2017-01-11","Huge warehouse near Northampton could create 1, 300 jobs",""
"2017-01-11","Emotional Meeting In Lockport Regarding Industrial Park Adjacent To Big Run Wolf Ranch",""
"2017-01-11","Industrial Park proposal takes step forward as Lockport residents voice dismay",""
"2017-01-11","Why Global Logistic Properties May Be Taken Private",""
"2017-01-11","Wincanton to manage new Screwfix DC",""
"2017-01-11","Wincanton: and Screwfix anticipate continued growth with new",""
"2017-01-11","Wincanton and Screwfix anticipate continued growth with new",""
"2017-01-12","Analyst Reports for Facebook, Bank of America & ConocoPhillips",""
"2017-01-12","Gramercy (GPT) Transactions Nearly $3B in 2016",""
"2017-01-12","from Supply Chain Management Review",""
"2017-01-13","Prologis Announces Consolidation Of Its Europe Logistics Venture",""
"2017-01-13","Prologis (PLD) Plans to Consolidates Two European Funds",""
"2017-01-13","Prologis Consolidates Two European Funds and Strengthens Relationship with Allianz in a Transaction",""
"2017-01-13","Buy American Tower Under $100",""
"2017-01-13","3 Vanguard Funds That Are Taking on Water",""
"2017-01-14","Transaction Action: NE San Antonio heats up with Prologis, Panda Express deals",""
"2017-01-15","ProLogis, Inc.Forecasted to Earn FY2016 Earnings of $2.57 Per Share (PLD)",""
"2017-01-15","Singapore Rare Buyout Bird",""
"2017-01-15","Successful Better Buildings Challenge Expands to 4.2 Billion Square Feet",""
"2017-01-15","Local View: Bipartisan action on climate ? Yes, it possible",""
"2017-01-16","Prologis Merges Two Funds, Boosts Relation With Allianz",""
"2017-01-16","4 ways PACE can help you land commercial projects",""
"2017-01-17","Kinstellar advises Prologis on acquisition of M0 Central Business Park",""
"2017-01-17","Nippon Prologis REIT: SUMMARY OF FINANCIAL RESULTS (REIT) For the Eighth Fiscal Period Ended Nov.30, 2016",""
"2017-01-17","Intro Guide to the Fidelity Real Estate Investment Portfolio Fund (FRESX)",""
"2017-01-17","Licking County TID focuses on Jug Street, Ohio 310",""
"2017-01-18","How much it may Go down in next one Year Period ? While Prologis, Inc .’ s (PLD) stock price is now Worth at $52.53",""
"2017-01-18","New industrial real estate supply up 32, 500 sqm in Q4",""
"2017-01-18","On the greenhouse gas trail, one engineer aims beyond carbon neutral",""
"2017-01-19","The 4, 668 Shares in ProLogis, Inc . (PLD) Acquired by Acadian Asset Management LLC",""
"2017-01-19","Prologis Inc . (PLD) Position Held by RMR Advisors LLC",""
"2017-01-19","Commonwealth Bank of Australia Sells 1, 100 Shares of ProLogis, Inc . (PLD)",""
"2017-01-19","Prologis, Inc . (NYSE: PLD) Insider Transactions Are in the Air – ReviewForTune",""
"2017-01-19","New plans for Coventry former Peugeot site at Ryton",""
"2017-01-19","NCI and Crossing Jordan Star Miguel Ferrer Dies",""
"2017-01-19","Leonard Fourth Straight 30",""
"2017-01-20","Next Weeks Broker Price Targets For ProLogis, Inc . (NYSE: PLD)",""
"2017-01-20","The ProLogis, Inc . (PLD) Downgraded by Zacks Investment Research",""
"2017-01-20","Prologis Inc . (PLD) Shares Sold by State of Wisconsin Investment Board",""
"2017-01-20","Shares of ProLogis, Inc . (NYSE: PLD) Sees Large Outflow of Money – Founders Daily",""
"2017-01-20","De Villiers to skip England Tests as well",""
"2017-01-21","11 REIT Plays for Income and Inflation Protection",""
"2017-01-21","Q4 Earnings Growth the Highest in 8 Quarters",""
"2017-01-23","Prologis (PLD) Q4 Earnings: What in Store this Season ?",""
"2017-01-23","Amazon to Open 1 Million",""
"2017-01-23","Fitch Upgrades Prologi IDR to BBB+ ; Outlook Stable",""
"2017-01-23","March 17th Options Now Available For Prologis",""
"2017-01-23","People on the Move: Jan.22",""
"2017-01-24","PROLOGIS, INC .: Results of Operations and Financial Condition, Financial Statements and Exhibits (form 8",""
"2017-01-24","Prologis (PLD) Q4 FFO In",""
"2017-01-24","Prologis Q4 16 Earnings Conference Call At 12: 00 PM ET",""
"2017-01-24","Prologis: Profit Helped by Lower Expenses",""
"2017-01-24","Prologis reports 4Q results",""
"2017-01-24","Prologis (PLD) Reports In",""
"2017-01-24","Barclays Believes PLD Won ’ t Stop Here",""
"2017-01-24","Prologi (PLD) Q4 FFO In line, Down Y / Y ; Revenues Beat",""
"2017-01-24","Brazil Cyrela eyes asset swap with Canadian public pension fund",""
"2017-01-24","Warehouse Space Shortage Eases, New Construction Catches Up With Demand",""
"2017-01-24","Prologis Reports Fourth Quarter and Full",""
"2017-01-24","Brazil Cyrela eyes real estate asset swap with CPPIB: Reuters",""
"2017-01-24","Westmont on pole for £190m Westminster hotel",""
"2017-01-24","Kavanagh leaves AXA IM for Patrizia",""
"2017-01-24","Returns on senior lending rise to 3.4% in Q4",""
"2017-01-24","New hire for Colliers EMEA corporate solutions team",""
"2017-01-24","Prologis Europe announces strongest year for leasing",""
"2017-01-24","Amaris puts £45m Chelsea Hilton on market",""
"2017-01-24","New Amazon fulfillment center in Colorado to create 1, 000 jobs",""
"2017-01-24","New Amazon fulfillment center in Aurora to create 1000 jobs",""
"2017-01-24","Amazon to create 1, 000 jobs with new fulfillment center in Colorado, US",""
"2017-01-24","Amazon opening first fulfillment center in Colorado, hiring 1, 000 in Aurora",""
"2017-01-24","The Best Earnings Charts on the Street",""
"2017-01-24","Inside Futures: Relevant trading",""
"2017-01-25","Prologis Inc . (PLD) Position Raised by Johnson Investment Counsel Inc . – sleekmoney",""
"2017-01-25","Prologis Announces Tax Treatment of 2016 Distributions",""
"2017-01-25","Prologis: Announces Tax Treatment of 2016 Distributions",""
"2017-01-25","Prologis Europe sees 96.7% occupancy in Q4",""
"2017-01-25","Spicy Analyst Coverage: Prologis, Inc . (NYSE: PLD), MDC Partners Inc . (NASDAQ: MDCA), Barclays PLC (ADR) (NYSE: BCS), Eversource Energy (NYSE: ES)",""
"2017-01-25","Q & A: Iceni Projects on how American PRS can cross the pond",""
"2017-01-25","Allsop opens 2017 with £60m catalogue",""
"2017-01-25","People Moves: Bruton Knowles, Kimmre, Pro Vision and more",""
"2017-01-25","Supply of Warehouse Space Catching Up with Demand",""
"2017-01-25","LifeCare, Inc.Receives WorldatWork 2017 Seal of Distinction",""
"2017-01-25","Prologi (PLD) CEO Hamid Moghadam on Q4 2016 Results",""
"2017-01-25","Loeb Partners Corp Buys CoreCivic Inc, Schlumberger Ltd, General Electric Co, Sells E.I . ...",""
"2017-01-25","2: 00PM Water Cooler 1 / 25 / 2017",""
"2017-01-25","The Myths Of The Stag",""
"2017-01-26","LMR Partners LLP Takes Position in ProLogis, Inc . (PLD)",""
"2017-01-26","NBIM Prologis Partnership Sold Three Bay Area Properties",""
"2017-01-26","NORWAY SOVEREIGN WEALTH FUND SAYS THE PARTNERSHIP BETWEEN NORGES BANK REAL ESTATE MANAGEMENT AND PROLOGIS INC.HAS SOLD THREE LOGISTICS PROPERTIES IN THE SAN FRANCISCO BAY AREA",""
