"date","headline","label"
"2017-01-01","Boston Advisors LLC Has $1, 328, 000 Stake in Phillips 66 (PSX)",""
"2017-01-01","Stock Looking To Reverse 2nd Half Losses in 2017: Phillips 66 Partners LP (NYSE: PSXP) – Recall News",""
"2017-01-01","U.S . Refiners Open Export Spigot to Meet Latin American Need",""
"2017-01-02","Chevron abandons $10 billion Ukraine fracking deal: Peak Oil Discussion",""
"2017-01-03","Landen Lucas named Big 12 Player of the Week",""
"2017-01-04","Texas Permanent School Fund Sells 14, 897 Shares of Phillips 66 (PSX)",""
"2017-01-04","Donald Trump Victory to Give Added Impetus to Phillips 66",""
"2017-01-04","DCP Midstream Partners to Combine with Phillips 66",""
"2017-01-04","Denver natural gas company makes huge deal",""
"2017-01-04","DCP Midstream Partners deal to create $11 billion natural",""
"2017-01-04","5 Warren Buffett Stocks to Buy in January",""
"2017-01-04","Phillips 66 & Spectra Energy Reorganize DCP Midstream JV Just As NGL Price Recovery Appears Imminent",""
"2017-01-04","Phillips 66 And Spectra Energy Reorganize DCP Midstream JV Just As NGL Price Recovery Appears Imminent",""
"2017-01-04","DCP Midstream and Midstream Partners Combine, Plan NGL Pipe, Processing Expansion",""
"2017-01-04","DCP Midstream And DCP Midstream Partners Merge",""
"2017-01-04","DCP Midstream Partners to buy assets of Philips",""
"2017-01-04","The Year Ahead: Ethylene, PDH Capital Projects to Proliferate",""
"2017-01-04","Loud explosions, powerful fire reported in Grandview",""
"2017-01-04","When NFL Players Are Like Joe Blow and Vice Versa",""
"2017-01-04","Large fire following multiple explosions inside Grandview busine",""
"2017-01-05","Daily News Energy Headlines from January 4, 2017",""
"2017-01-05","DCP Midstream Partners, LP: Blog Coverage DCP Midstream to Merge with Phillips 66 and Spectra Energy JV to Create Largest Natural Gas Liquids Producer and Gas Processor in the US",""
"2017-01-05","Blog Coverage DCP Midstream to Merge with Phillips 66 and Spectra Energy JV to Create Largest Natural Gas Liquids Producer and Gas Processor in the US",""
"2017-01-05","DCP Midstream Partners to merge DCP Midstream assets to form $11bn company",""
"2017-01-05","DCP Midstream Partners to acquire DCP Midstream, LLC",""
"2017-01-05","DCP Midstream to Become Biggest U.S . NGL Company",""
"2017-01-05","Man arrested on robbery complaint",""
