"date","headline","label"
"2017-01-01","Top Gainers of the Day: Royal Bank of Canada (NYSE: RY) from Money Center Banks",""
"2017-01-01","Stocks: North American Energy Partners Inc . (NOA) Now Covered by the Canaccord Genuity",""
"2017-01-02","Stocks: Franco Nevada Corp (FNV) Price Target Raised to C$98.00 at the Royal Bank Of Canada",""
"2017-01-03","Royal Bank Of Canada (RY) is Great West Life Assurance Co.Can ’ s Largest Position",""
"2017-01-03","Money Center Banks: Royal Bank of Canada (NYSE: RY) Position of the day",""
"2017-01-04","Royal Bank of Canada (NYSE: RY) from Money Center Banks – Todays Top Gains",""
"2017-01-04","Stocks: Tetra Technologies Inc . (TTI) Given New $7.00 Price Target at the Royal Bank Of Canada",""
"2017-01-04","Royal Dutch Shell Plc (RDSB) Upgraded by Royal Bank Of Canada to Outperform",""
"2017-01-04","Royal Bank Of Canada issued a report on AES Corp (NYSE: AES), dropping its stock price target to $12.00 today",""
"2017-01-04","National Bank of Canada is Citigroup ’ s top",""
"2017-01-05","Royal Bank Of Canada (RY) Stock Rating Upgraded by Zacks Investment Research",""
"2017-01-05","National Bank tops Canadian debt advisory in 2016",""
"2017-01-05","TSX rises on resource gains, nearing all",""
"2017-01-05","Amsurg Corp . (EVHC) Price Target Increased to $87.00 by Analysts at Royal Bank Of Canada",""
"2017-01-05","Mastercard Incorporated (MA) Upgraded to Top Pick by Royal Bank Of Canada",""
"2017-01-06","Royal Bank Of Canada (NYSE: RY) Valuation According To Analysts",""
"2017-01-06","SAP SE (SAP) Price Target Cut to $91.00 by Analysts at Royal Bank Of Canada",""
"2017-01-06","Royal Bank Of Canada Upgrades Royal Dutch Shell Plc (RDSB) to Outperform",""
"2017-01-06","Canada Records Trade Surplus in November",""
"2017-01-06","Royal Bank Of Canada Lowers Clearwater Paper Corporation (CLW) to Underperform",""
"2017-01-06","Canada Records Trade Surplus In November",""
"2017-01-07","Advisor Partners LLC invests in Royal Bank Of Canada (RY) Shares",""
"2017-01-07","National Bank Of Canada (NTIOF) Analyst Coverage",""
"2017-01-07","The Short Interest in Royal Bank Of Canada (RY) Drops By 16.2%",""
"2017-01-07","Analysts showing optimistic trends for: Royal Bank of Canada (NYSE: RY)",""
"2017-01-07","Analyst Overview: Royal Bank of Canada (NYSE: RY)",""
"2017-01-07","National Bank of Canada (NA) Receives Consensus Rating of Hold from Brokerages",""
"2017-01-08","Analysts Set Royal Bank Of Canada (RY) Target Price at $86.00",""
"2017-01-08","Shell Midstream Partners LP (SHLX) PT Decreased to $41.00 at the Royal Bank Of Canada",""
"2017-01-09","Royal Bank Of Canada (RY) Rating Increased to Hold at Zacks Investment Research",""
"2017-01-09","Royal Bank of Canada (NYSE: RY) has been upgraded to Hold in a statement by Zacks Investment Research earlier today .",""
"2017-01-09","Home Capital Group Inc (HCG) Downgraded to Underperform at Royal Bank Of Canada",""
"2017-01-09","Groupon ’ s (GRPN) sector perform Rating Reaffirmed at Royal Bank Of Canada",""
"2017-01-09","Royal Bank Of Canada recorded Sensata Technologies Holding N.V . (NYSE: ST), upping its target price to $46.00 today",""
