"date","headline","label"
"2017-01-01","Schlumberger wins deep water Gulf of Mexico contracts",""
"2017-01-01","Schlumberger N.V . (SLB) Shares Bought by Daiwa Securities Group Inc .",""
"2017-01-02","Mcrae Capital Management Inc.Buys 179 Shares of Schlumberger N.V . (SLB)",""
"2017-01-02","ENI among 29 firms in Iran oil tenders (2)",""
"2017-01-02","Iran Publishes List of Bidders for Oil and Gas Projects – The Fayette Advertiser & The Democrat",""
"2017-01-02","Total: ENI among 29 firms in Iran oil tenders (2)",""
"2017-01-02","Iran Publishes List of Bidders for Oil and Gas Projects",""
"2017-01-02","Iran publishes list of bidders for oil and gas projects",""
"2017-01-02","29 companies qualify to bid for Iran oil and gas projects",""
"2017-01-03","QCI Asset Management Inc.NY Increases Position in Schlumberger N.V . (SLB)",""
"2017-01-03","Hyperdynamics Completes Additional Milestone in Preparations for Drilling Deepwater Well Offshore Guinea with Signing of Master Service Agreement with Schlumberger",""
"2017-01-03","Guinea: Hyperdynamics signs MSA with Schlumberger for deepwater well offshore Guinea",""
"2017-01-03","Schlumberger inks Hyperdynamics Guinea drilling work",""
"2017-01-03","HYPERDYNAMICS CORP: Other Events, Financial Statements and Exhibits (form 8",""
"2017-01-03","Hyperdynamics Completes Additional Milestone in Preparations for Drilling Deepwater Well Offshore Guinea with Signing of Master Service Agreement with Schlumberger, Provides Update on Additional Preparations",""
"2017-01-03","Hyperdynamics to drill offshore in the Republic of Guinea for Schlumberger",""
"2017-01-03","Hyperdynamics: Completes Additional Milestone in Preparations for Drilling Deepwater Well Offshore Guinea with Signing of Master Service Agreement with Schlumberger, Provides Update on Additional Preparations",""
"2017-01-03","Sarcos Robotics Holds Second Close of $15.625m Series A Funding",""
"2017-01-03","Sarcos Robotics Announces Second Closing of $15.625 Million Series A Financing",""
"2017-01-03","Iran Publishes List of Bidders for Oil and Gas Projects – Copiah County Courier",""
"2017-01-04","Trust Co.of Vermont Acquires 2, 002 Shares of Schlumberger N.V . (SLB)",""
"2017-01-04","What Analysts Expect from Schlumberger 4Q16 Earnings",""
"2017-01-04","Will Schlumberger Continue To Be An Industry Leader In 2017 ?",""
"2017-01-04","Fuel for Thought: Trump, Schlumberger and Iran",""
"2017-01-04","Schlumberger angajează Client Contracts Analyst",""
"2017-01-04","Hyperdynamics Completes Additional Milestone in Preparations for Drilling Deepwater Well Offshore Guinea with Signing of Master Service Agreement with Schlumberger, Provides Update on Additional Preparations – SAT Press Releases",""
"2017-01-04","Hyperdynamics Completes Additional Milestone in Preparations for Drilling Deepwater Well Offshore Guinea with Signing of Master Service Agreement with Schlumberger, Provides Update on Additional Prepa – Military Technologies",""
"2017-01-04","Hyperdynamics Completes Additional Milestone in Preparations for Drilling Deepwater Well Offshore Guinea with Signing of Master Service Agreement with Schlumberger, Provides Update on Additional Preparations – Military Technologies",""
"2017-01-04","ONGC inks pacts with Schlumberger, Halliburton",""
"2017-01-04","Utah robotics startup Sarcos gets $15 million from Microsoft, GE",""
"2017-01-04","Sarcos Robotics Ups Series A To $15.6M",""
"2017-01-05","Schlumberger: Acquires Peak Well Systems",""
"2017-01-05","The Abner Herrman & Brock LLC Increases Position in Schlumberger NV (SLB)",""
"2017-01-05","Benin Management CORP Has $11, 459, 000 Position in Schlumberger N.V . (SLB)",""
"2017-01-05","Schlumberger Expands With Peak Well Systems Acquisition",""
"2017-01-05","Schlumberger puts another notch in acquisition belt",""
"2017-01-05","Schlumberger Acquires Peak Well Systems (Scandinavian Oil",""
"2017-01-05","Will International Markets Stymie Schlumberger In Q4 ?",""
"2017-01-05","Schlumberger Acquires Peak Well Systems",""
"2017-01-05","Schlumberger continues acquisition trends",""
"2017-01-05","BassamFellows eyes Philip Johnson building",""
"2017-01-05","Emerson Machinery Protection System Earns SIL 2 Rating, Reducing Safety Risks In Hazardous Applications (Scandinavian Oil",""
"2017-01-06","Schlumberger acquires Peak Well Systems",""
"2017-01-06","Hyperdynamics signs MSA with Schlumberger for offshore drilling service is Guinea",""
"2017-01-06","Schlumberger Boosts Portfolio with Peak Well Systems Buyout",""
"2017-01-06","VP, SLB Venture Fund of Schlumberger N (NYSE: SLB), Kizilbash Imran, sells 77, 611 shares worth, 709, 471",""
"2017-01-06","Schlumberger snaps up PWS for an undisclosed sum",""
"2017-01-06","Hyperdynamics swaps drillship for Fatala",""
"2017-01-06","Voters to rule on Schlumberger leases",""
"2017-01-06","Marcellus & Utica Shale Story Links: Thu, Jan 5, 2017",""
"2017-01-06","Five Unique Cuff Links Available at Boston",""
"2017-01-07","Cambiar Investors LLC Has $251, 682, 000 Position in Schlumberger N.V . (SLB)",""
"2017-01-07","Sigma Planning Corp Has $485, 000 Stake in Schlumberger N.V . (SLB)",""
"2017-01-08","First Personal Financial Services Sells 390 Shares of Schlumberger N.V . (SLB)",""
"2017-01-08","Investor ’ s Watch List: Pandora Media, Inc . (P), Schlumberger Limited (SLB), Tahoe Resources Inc . (TAHO) – istreetwire",""
"2017-01-09","Summit Partners sells Peak Well Systems to Schlumberger",""
"2017-01-09","Schlumberger N.V . (SLB) Shares Bought by WealthTrust Arizona LLC",""
"2017-01-09","Schlumberger Adds Peak Well Systems to Its Portfolio",""
"2017-01-09","Schlumberger N.V . (SLB) Position Maintained by Compton Capital Management Inc.RI",""
"2017-01-09","Analyst ’ s Price Targets: Schlumberger Limited (NYSE: SLB), Astea International Inc . (NASDAQ: ATEA), Rockwell Collins, Inc . (NYSE: COL), Amazon.com, Inc . (NASDAQ: AMZN)",""
"2017-01-09","Seismic survey company refutes blame for whale death",""
"2017-01-09","Celebrities Shine in Platinum Jewelry at the 74th Annual Golden Globe Awards",""
"2017-01-09","U.S . Oil Companies To Unleash Spending But Costs Will Rise Too",""
"2017-01-10","Why Halliburton Company Stock Is Better Than Schlumberger Limited (HAL, SLB)",""
