"date","headline","label"
"2017-01-02","Baker Hughes & Others Close Transaction to Form BJ Services",""
"2017-01-02","Eni (E) Inks New Concession Agreements for Twin Blocks",""
"2017-01-02","Southern Company Inks Deal for Wind Development Project",""
"2017-01-03","Is It Worth Holding ConocoPhillips (COP) in Your Portfolio ?",""
"2017-01-03","Oil & Gas Stocks Under Review",""
"2017-01-04","SM Energy to Sell Non",""
"2017-01-04","National Bank of Canada is Citigroup ’ s top",""
"2017-01-04","Should You Keep Rowan Companies (RDC) in Your Portfolio ?",""
"2017-01-05","Statoil 2017 Exploration Drilling Plans Inspire Optimism",""
"2017-01-05","Suncor Energy Attracting Positive Attention (SU)",""
"2017-01-05","Encana Expects to Surpass 2017 Production Projections",""
"2017-01-05","UPEI School of Business recognized nationally",""
"2017-01-05","5 Energy Stocks Set to Crush Their 52",""
"2017-01-05","Value of Canadian equity issues hits record high in 2016",""
"2017-01-05","Pep Guardiola tactics have drained Man City of confidence, says Slaven Bilic ahead of FA Cup tie",""
"2017-01-05","Menendez brother: Im the kid that did kill his parent",""
"2017-01-05","Queen researchers win award",""
"2017-01-05","Mom sentenced to 30 years in 5",""
"2017-01-06","Schlumberger Boosts Portfolio with Peak Well Systems Buyout",""
"2017-01-06","Top U.S . Intelligence Officials Defend Russia Hacking Claims Against Trump Doubts",""
"2017-01-06","These Patna residents have some hilarious reasons for not depositing old notes in bank.Read on",""
"2017-01-06","Moler Barber College Expands Its Barbering Education To New Hayward Location",""
"2017-01-06","Time to go for The Big Short with stocks ? Here when youll know",""
"2017-01-06","The Zacks Analyst Blog Highlights: Halliburton, Suncor Energy, Kosmos Energy, Abraxas Petroleum and Plains All American Pipeline",""
"2017-01-06","Prawn imports banned indefinitely",""
"2017-01-06","New energy vehicles gain momentum",""
"2017-01-06","AP Source: McMahon, Vitt among 5 Saints assistants leaving",""
"2017-01-06","Research on gun violence is severely underfunded compared with other causes of death",""
"2017-01-06","South Korean President Scandal Update: Impeachment Of Park Geun",""
"2017-01-06","Natural Resource Partners LP (NRP) Showing Bearish Technicals With Resistance At $36.53",""
"2017-01-06","Roni Size To Receive The Music Producers Guild 2017 Inspiration Award",""
"2017-01-06","Martin Guitar To Debut At Winter NAMM 2017 Two Exciting Signature Artist Editions",""
"2017-01-06","Eatons take to the snow after life on the track",""
"2017-01-06","Zeller out again for Hornets against Detroit",""
"2017-01-06","American Brewer Warrior Competition Comes To St.Paul Winter Carnival",""
"2017-01-06","Glenelg wrestling cruises to 44",""
"2017-01-06","Red River Resources options converted as shares rise on zinc exposure",""
"2017-01-06","City boss admits it grim",""
"2017-01-06","Lawmakers get positive economic news heading into 2017 session",""
"2017-01-06","Mysterious British island in middle of ocean only just celebrates Christmas TWO WEEKS after rest of world",""
"2017-01-06","Trade min Seko says Japan will keep contributing to US employment",""
"2017-01-06","Industrial tourism getting popular",""
"2017-01-06","Why I regret changing my name to fit in",""
"2017-01-06","Sears to sell Craftsman to Stanley Black & Decker",""
"2017-01-06","Explain yourself or resign, Labor tells Health Minister Sussan Ley",""
"2017-01-06","Stars arrive at Reynolds, Fisher houses for reported funeral",""
"2017-01-06","Russian Planes And NATO: Amid Global Tensions, Confusion Over Unidentified Aircraft Fuels Rumors Of Conflict",""
"2017-01-06","Resverlogix Announces Presentation at 9th Annual Biotech Showcase Conference in San Francisco, CA",""
"2017-01-06","Golf: Tiger Woods on his round with Donald Trump",""
"2017-01-06","4th suspect arrested in connection to Portage homicide",""
"2017-01-06","2016 brought more record temperatures.So what climate course will the US and Trump set in 2017 ?",""
"2017-01-06","Natural Hlth Trd Cmn (NHTC) Trading Near $26.09 Resistance Level",""
"2017-01-06","Columbia Center Macy store escapes closure list",""
"2017-01-06","Ethics watchdog wont clarify timing around $200, 000 Trudeau Foundation donation",""
"2017-01-06","The Latest: Judges to keep N Carolina election law blocked",""
"2017-01-06","The Latest: Obama speaks on Trump, intelligence community",""
"2017-01-06","Catholic hospital denied my hysterectomy",""
"2017-01-06","Mexican police officer killed amid gas price protests",""
"2017-01-06","Weslaco East Burget is The Monitor All",""
"2017-01-06","The Israel Project Applauds U.S . House Resolution Blasting Anti",""
"2017-01-06","Silverstone owners question British GP future",""
"2017-01-06","Checking In: Montreal new Boxotel has DIY studios",""
"2017-01-06","Seacrest speaks out on Mariah shocker",""
"2017-01-06","Congrats to matrics, but more still needs to be done",""
"2017-01-06","Newcomers, does the idea of clam digging make your palms clammy ? Try a guided outing",""
"2017-01-06","Zotac GeForce GTX 1080 Mini and new graphics card enclosure bring big power to tiny PCs",""
"2017-01-06","KZN Education MEC blames predecessors for provinces previous poor performances",""
"2017-01-06","Maersk, Alibaba team up to offer online booking",""
"2017-01-06","Princess Diana Relationship With Her Sons Revealed: Prince Harry Was A Troublemaker, William Was Affectionate",""
"2017-01-06","Walmart and Visa declare truce in half",""
"2017-01-06","Marijuana Legalization In Alaska Update: Sales At Dispensaries Bring First Full Month Of Tax Revenue",""
"2017-01-06","Alabama inmate captured after release on bogus order",""
"2017-01-06","Prosecutor: Keep venue for Cosby trial, jury from outside OK",""
"2017-01-06","Billy Joel to perform at Cleveland Indian ballpark",""
"2017-01-06","Razer unveils conceptual gaming projector, known as Project Ariana",""
"2017-01-06","Joshua retains heavyweight belt, sets up bout with Klitschko",""
