"date","headline","label"
"2017-01-01","Toronto Dominion Bank (The) (TD) to Issue Quarterly Dividend of $0.41 on January 31st",""
"2017-01-01","Discovery Communications, Inc . (DISCA) Receives $29.00 Average Target Price from Analysts",""
"2017-01-01","Teacher Retirement System of Texas Has $258, 000 Stake in FMC Technologies, Inc . (FTI)",""
"2017-01-01","Golub Capital BDC, Inc . (GBDC) Short Interest Down 38.3% in December",""
"2017-01-01","BlackRock Inc.Sells 3, 114 Shares of Toll Brothers Inc . (TOL)",""
"2017-01-02","Qorvo, Inc . (QRVO) Shares Sold by New York State Common Retirement Fund",""
"2017-01-02","Incyte Corporation (INCY) Shares Sold by Sectoral Asset Management Inc",""
"2017-01-02","Sectoral Asset Management Inc Decreases Stake in Teva Pharmaceutical Industries Limited (TEVA)",""
"2017-01-03","Toronto Dominion Bank Has $13, 904, 000 Position in Wells Fargo & Company (WFC)",""
"2017-01-03","TD Bank Names Chris Giamo Head of Regional Commercial Bank",""
"2017-01-03","Michael Kors Holdings Limited (KORS) Cut to Neutral at Piper Jaffray Companies",""
"2017-01-03","Signet Jewelers Limited (SIG) Shares Bought by BlackRock Advisors LLC",""
"2017-01-03","Dollar Advances to 14",""
"2017-01-03","TD Securities Completes Acquisition of Albert Fried & Company",""
"2017-01-04","Toronto Dominion Bank (The) (TD) Shares Sold by EdgePoint Investment Group Inc .",""
"2017-01-04","Shell Asset Management Co.Sells 182, 619 Shares of Toronto Dominion Bank (The) (TD)",""
"2017-01-04","Price Action Dont Lie: Toronto",""
"2017-01-04","Cash Dividend On The Way From Toronto Dominion Bank (TD)",""
"2017-01-04","Banco Santander Brasil SA (BSBR) Ex",""
"2017-01-04","Dividend 15 Split Corp II Completes Overnight Offering of $40, 075, 000",""
"2017-01-04","BlackRock Group LTD Raises Stake in Discovery Communications, Inc . (DISCA)",""
"2017-01-04","Brookfield Canada Office Properties (BOXC) Given Consensus Rating of Hold by Analysts",""
"2017-01-04","Morgan Stanley Has $309, 627, 000 Stake in Michael Kors Holdings Limited (KORS)",""
"2017-01-04","TD Ameritrade Holding Corporation (AMTD) Position Cut by California Public Employees Retirement System",""
"2017-01-04","People ’ s United Financial, Inc . (PBCT) Position Increased by BlackRock Institutional Trust Company N.A .",""
"2017-01-04","Michael Kors Holdings Limited (KORS) Shares Sold by BlackRock Fund Advisors",""
"2017-01-05","Shares Picking Up Steam: The Toronto",""
"2017-01-05","Toronto Dominion Bank (TD) Ex",""
"2017-01-05","National Bank tops Canadian debt advisory in 2016",""
"2017-01-05","Value of Canadian equity issues hits record high in 2016",""
"2017-01-05","Navient Corporation (NAVI) Debt Trading 0.5% Higher",""
"2017-01-05","Woman among six injured in DI Khan bombing",""
"2017-01-05","TSX rises on resource gains, nearing all",""
"2017-01-05","Teachers Advisors LLC Boosts Position in Leggett & Platt, Incorporated (LEG)",""
"2017-01-05","W Michael Barnes Sells 22, 500 Shares of T",""
"2017-01-05","State of Tennessee Treasury Department Has $4, 611, 000 Position in Signet Jewelers Limited (SIG) – sleekmoney",""
"2017-01-05","New York State Common Retirement Fund Decreases Position in TEGNA Inc . (TGNA)",""
"2017-01-05","Turkmenistan says it has halted gas supply to Iran over gas debt",""
"2017-01-05","Why 2017 may be a tough year for Canadian bank stocks",""
"2017-01-05","3 Great Dividend Stocks To Optimize Income, Going Ex",""
"2017-01-06","Rick Nold Joins TD Bank as Commercial Relationship Manager for Northern Vermont",""
"2017-01-06","TD Bank Names David Seaver Small Business Relationship Manager in Commercial Banking for Northern Vermont",""
"2017-01-06","Banco Bilbao Viscaya Argentaria S.A . (BBVA) Ex",""
"2017-01-06","Canadian job growth blows past forecasts as full",""
"2017-01-06","Concentra relaunches as Schedule I bank",""
"2017-01-06","Dividend Investors: Should You Own Enbridge Inc . (USA) or Toronto",""
"2017-01-06","Interest rates and market",""
"2017-01-06","Iceberg the size of Kangaroo Island set to break away",""
"2017-01-06","Real Estate Investors (LON: RLE) Broker Roundup",""
"2017-01-06","Flowserve Corporation (FLS) Shares Bought by BlackRock Advisors LLC",""
"2017-01-07","TD Securities completes acquisition of Albert Fried & Co .",""
"2017-01-07","Navient Corporation (NAVI) Stock Rating Lowered by Credit Suisse Group",""
"2017-01-07","Trade: FleetCor Technologies Inc . (FLT) PT Set at the $200.00 by the SunTrust Banks Inc .",""
"2017-01-07","Palo Alto Networks, Inc . (PANW) Receives New Coverage from Analysts at BMO Capital Markets",""
"2017-01-07","PBoC Lifts Yuan Reference Rate By Most Since 2005",""
"2017-01-07","Tesla Motors, Inc . (TSLA) Stock Rating Reaffirmed by Morgan Stanley",""
"2017-01-07","Rhumbline Advisers Increases Position in CIT Group Inc (DEL) (CIT)",""
"2017-01-07","Enterprise Products Partners L.P . (EPD) Shares Bought by Bokf Na",""
"2017-01-07","Avery Dennison Corporation (AVY) Shares Bought by united states Financial Portformulas Corp",""
"2017-01-08","Former Haiti coup leader arrested live on air",""
"2017-01-08","LinkedIn Corp . (LNKD) Decreased by the Vetr Inc.to Sell",""
"2017-01-08","SunTrust Banks Weighs in on Incyte Corp.FY2016 Earnings (INCY)",""
"2017-01-08","Henderson Group PLC Has $1, 314, 000 Stake in Twitter, Inc . (TWTR)",""
"2017-01-08","New York State Common Retirement Fund Sells 78, 600 Shares of H & R Block, Inc . (HRB)",""
"2017-01-09","The Toll Brothers Inc . (TOL) Coverage Initiated by the Analysts at the Barclays PLC",""
"2017-01-09","Teva Pharmaceutical Industries Limited (TEVA) Given a $42.00 Price Target by RBC Capital Markets Analysts",""
"2017-01-10","High Market Cap Stock of the Day – The Toronto",""
"2017-01-10","Canadian banks bullish on Trump pro",""
"2017-01-10","E * TRADE Financial Corporation (ETFC) Upgraded to Buy at Goldman Sachs Group, Inc . (The)",""
"2017-01-10","Canada banks wont see big mortgage losses when interest rates rise, says RBC CEO Dave McKay",""
"2017-01-10","Canadian banks anticipating stateside benefit with Trump pro",""
"2017-01-11","Toronto Dominion Bank (The) (TD) Position Held by Beck Mack & Oliver LLC",""
"2017-01-11","Brookfield Canada Office Properties (BOXC) Given Average Rating of Hold by Analysts",""
"2017-01-11","Navient Corporation (NAVI) Shares Bought by California State Teachers Retirement System",""
"2017-01-11","Signet Jewelers Limited (SIG) Upgraded by Zacks Investment Research to Buy",""
"2017-01-11","Fears of Canadian housing market correction prompt downgrade of CIBC, Genworth and Home Capital",""
"2017-01-11","CEOs of Canada big banks expect Trump will bolster U.S . operations",""
"2017-01-11","Compagnie Lombard Odier SCmA Sells 17, 700 Shares of BioMarin Pharmaceutical Inc . (BMRN)",""
"2017-01-12","B2Gold Corp (BTG) Short Interest Update",""
"2017-01-12","Mercer International Inc . (MERC) Lowered to Sector Perform at Royal Bank Of Canada",""
"2017-01-12","Equities Analysts Offer Predictions for Dun & Bradstreet Corporation (The) ’ s Q1 2017 Earnings (DNB)",""
"2017-01-12","NRG Energy, Inc . (NRG) Shares Sold by SECOR Capital Advisors LP",""
