"date","headline","label"
"2017-01-02","Polonyada kebapçıdan içki çalan gencin bıçaklanarak öldürülmesi yabancı karşıtı eylemlere yol açtı",""
"2017-01-03","İsrailli siyasetçilerin rüşvet ve yolsuzluk skandalları",""
"2017-01-04","Paris metrosunda ırkçılık yapan Chelsea taraftarlarına hapis cezası",""
"2017-01-04","Gerda Wegenerin kadınları bu sergide",""
"2017-01-04","Yargı kararı İsraillileri memnun etmedi",""
"2017-01-05","Avrupa 2017 ye birbirinden iddialı filmlerle girdi",""
"2017-01-08","Dört göçmen donarak can verdi",""
"2017-01-08","İngiltere Başbakanı Mayden Brexit açıklaması",""
"2017-01-08","Yaşamın Kıyısında tabuları yıkmaya geliyor",""
"2017-01-08","Soarezin ardından: Yeri doldurulamayacak birini kaybettik",""
"2017-01-09","The Doors 50.yılını hayranlarıyla kutladı",""
"2017-01-09","ABD: Kuzey Koreden gelecek olası füzeyi düşürmeye hazırız",""
"2017-01-10","Meksika ekonomik teşvik paketi açıkladı",""
"2017-01-11","Suriyede muhaliflerle rejim Barada Vadisine teknisyenlerin girmesi konusunda anlaştı",""
"2017-01-11","ABD Senatosu Trump ın aday gösterdiği Tillersona onay verecek mi ?",""
"2017-01-12","Avrupa yapımları sinemalarda",""
"2017-01-13","Gazzede gerilim yüksek ama elektrik yok",""
"2017-01-13","Garantör devletler Kıbrıs konferansından umutlu ayrıldı",""
"2017-01-14","Sırbistan dan yeni provokasyon",""
"2017-01-16","Brezilyada uyuşturucu çeteleri hapishanede çatıştı: En az 30 ölü",""
"2017-01-18","İngiltere nin Brexit stratejisine Brüksel den tepki",""
"2017-01-18","Samsungun başkan yardımcısı Lee Jae",""
"2017-01-19","M.Shyamalan ın yeni filmi Split Şubat ta vizyonda",""
"2017-01-19","İtalya da çığ altında kalanlara ulaşılmaya çalışılıyor",""
"2017-01-20","Obama ve Trump başkan olarak son kez aynı karede",""
"2017-01-21","İtalya da çığ felaketi: 8 kişi kurtarıldı",""
"2017-01-21","Trumptan ilk icraat: Sağlık sigortası rafa kalktı",""
"2017-01-22","Trump ın görevi devralmasıyla İsrail den Doğu Kudüs te 566 yeni konuta onay",""
"2017-01-25","Güney Kore Cumhurbaşkanı Park ın azledilmesine neden olan arkadaşı suçlamaları reddetti",""
"2017-01-26","Irak ordusunun bir sonraki hedefi Musulun batı yakası",""
"2017-01-27","Gambiya Devlet Başkanı Barrow: Nihayet evimdeyim",""
