date,headline,label
2017-01-01,Mason City man arrested after allegedly kicking in a door,-0.4578894376754761
2017-01-01,"Woman, dog and 18 cats escape house fire",-0.5457254648208618
2017-01-02,"California Public Employees Retirement System Sells 6, 300 Shares of Bunge Limited (BG)",-0.1633429080247879
2017-01-03,Cresco woman in Winneshiek County crash,-0.39424604177474976
2017-01-03,Rochester man pleads not guilty to burglary and domestic assault,-0.6912724375724792
2017-01-03,First flu in Cerro Gordo County,-0.3040744662284851
2017-01-03,Austin man pleads guilty in drug robbery,-0.6904497146606445
2017-01-03,"FXG, BG, FLO, SPB: ETF Outflow Alert",-0.05496218428015709
2017-01-03,EU mergers and takeovers (Jan 3),-0.05017460137605667
2017-01-04,House fire in rural Freeborn County,-0.2796534597873688
2017-01-04,Not guilty plea in auto / bicycle collision,-0.4872129559516907
2017-01-04,Not guilty plea in Clear Lake burglary,-0.5727437734603882
2017-01-04,Accused clubber pleads not guilty,-0.47138097882270813
2017-01-04,Top Ranked Growth Stocks to Buy for January 4th,0.4513132870197296
2017-01-04,Hancock County woman pleads to meth charge,-0.608615517616272
2017-01-04,Fire at Clear Lake care facility,-0.17892469465732574
2017-01-04,Not guilty plea in chase and fight,-0.4829709231853485
2017-01-04,Still scope for optimism in grain markets 04 January 2017 Premium,0.0988331139087677
2017-01-04,Clare scout earns Eagle rank,0.21245594322681427
2017-01-04,Poor Infrastructure Plagues Brazil Agriculture,-0.22410233318805695
2017-01-04,"Mired in Mud, Brazil Unpaved Roads Delay Farming Promise",-0.3822527825832367
2017-01-05,"Charged with manslaughter, pleads not guilty to stalking",-0.5967124104499817
2017-01-05,From Henry to Genesis …,-0.0012610643170773983
2017-01-05,Jail time for cigarette assault,-0.31512442231178284
2017-01-05,Guilty plea to criminal sexual conduct,-0.30896350741386414
2017-01-05,Man pleads guilty to touching a young girl,-0.5310735106468201
2017-01-05,No federal prison for former Nora Springs postmaster,-0.3447261452674866
2017-01-05,Food Processing Cos.Dodge Modified Corn Export Suit,0.0712474137544632
2017-01-05,Final sentence in Austin liquor store robbery,-0.4034169912338257
2017-01-05,Drunk driving a lawnmower sending Dover man to jail,-0.41141319274902344
2017-01-05,Two arrested for forgery in Mason City,-0.5196477770805359
2017-01-05,Donation pick up ends for Rochester Salvation Army,0.3097499907016754
2017-01-05,Peak alerts in freezing conditions,-0.2616325914859772
2017-01-05,Prison and fines for Hancock County police chase,-0.431723028421402
2017-01-05,Health resolutions 2017: A no pain no gain affair,-0.08880308270454407
2017-01-05,GRAIN HIGHLIGHTS: Top Stories of the Day,0.18992291390895844
2017-01-05,Not guilty plea in Mower County standoff,-0.3614848852157593
2017-01-06,Peak alert in southern Minnesota,0.10649251192808151
2017-01-06,Train derailment in Ellendale caused by rail defect,-0.46147170662879944
2017-01-06,Federal approval for Air Choice One in Mason City,0.11643101274967194
2017-01-06,Awrey Bakeries Announces New President & CEO,0.06423018127679825
2017-01-06,Achoo ! Flu Cases Spiking In More States,-0.343027263879776
2017-01-07,Power outage in Osage,-0.2019258588552475
2017-01-07,Amber Alert issued for two Iowa boys,0.02928229235112667
2017-01-08,Bunge Limited (BG) Receives $76.29 Consensus Target Price from Brokerages,0.14610227942466736
2017-01-08,"Bird numbers stay steady, but crow population up",0.32009437680244446
2017-01-09,Bunge plans to improve soybean processing footprint in the Eastern Corn Belt,0.19095472991466522
2017-01-09,Bunge to build new soybean plant in Indiana or Ohio,0.18974708020687103
2017-01-09,House fire in Rochester,-0.2551882863044739
2017-01-09,Man charged with beating a woman in Rochester,-0.3618384301662445
2017-01-09,Powerball prize unclaimed in Austin,0.3564627766609192
2017-01-09,Rollover on Highway 63 in Olmsted County,-0.01988556981086731
2017-01-09,Woman stabbed in the neck in Rochester,-0.7151545286178589
2017-01-09,Home Sweet Home Ministries celebrates 100 years,0.3582633137702942
2017-01-09,Klemme man arrested for pickup truck theft near Rockford,-0.7635834217071533
2017-01-09,Sheffield man gets consecutive sentences,-0.22383588552474976
2017-01-09,Another case of CO poisoning in Rochester,-0.488649845123291
2017-01-09,North Iowa nurse faces drug theft charges,-0.6157837510108948
2017-01-09,Radio Controlled Aircraft Hobby,0.02527172863483429
2017-01-09,Brazil unpaved roads delay farming promise,-0.08943519741296768
2017-01-10,Commonwealth Bank of Australia Raises Stake in Bunge Limited (BG),0.08101320266723633
2017-01-10,Bunge to improve soybean processing footprint in Eastern Corn Belt,0.23122066259384155
2017-01-10,Bunge to build new soybean processing plant in US,0.2474273294210434
2017-01-10,Bunge North America to build new plant,0.16866593062877655
2017-01-10,Bunge to add plant in Indiana or Ohio,0.035762421786785126
2017-01-10,Bad driving conditions Tuesday morning,-0.10830077528953552
2017-01-10,Mason City man accused of sexual assault,-0.5800085663795471
2017-01-10,Probation for spitting on a police officer,-0.6153918504714966
2017-01-10,Woman who stole from cancer charity gets probation,-0.6696397066116333
2017-01-10,Arrest after alleged hit,-0.5613641142845154
2017-01-10,Another drug charge for North Iowa nurse,-0.3352859318256378
2017-01-10,Not guilty plea in alleged child abduction,-0.6624698042869568
2017-01-10,Wright County man now facing federal child porn charges,-0.485371470451355
2017-01-10,Over three pounds of meth seized in Austin,-0.27602916955947876
2017-01-10,North Iowa man enters Alford plea to burglary charges,-0.6845324635505676
2017-01-10,Monday night rollover injures two people from Alden,-0.5907607674598694
2017-01-10,Plane lands in Rochester after reporting smoke onboard,-0.46329477429389954
2017-01-10,More infected deer found in Fillmore County,-0.17254218459129333
2017-01-10,"Cargill Profit Jumps on Strong Meat Demand, Big U.S . Crops",0.21757087111473083
2017-01-10,"Cargill profit jumps on strong meat demand, big U.S . crops",0.21757087111473083
2017-01-10,FROM THE HR: Pros and cons of changing employers frequently,-0.12499652057886124
2017-01-11,Marathon Asset Management LLP Takes Position in Bunge Limited (BG),0.15044113993644714
2017-01-11,Bunge Limited Schedules 2016 Fiscal Year,0.08079790323972702
2017-01-11,Van crashed into an Eyota home on Monday,-0.2766861915588379
2017-01-11,Explosion reported in Dodge Center,-0.30241745710372925
2017-01-11,Police officer to claim self,-0.13483165204524994
2017-01-11,President Shein of Zanzibar warns traders who hike prices,-0.3711715340614319
2017-01-11,Water leak closes the Steele County courthouse,-0.2717841863632202
2017-01-11,Warning over some southern Minnesota beef jerky,-0.4331018030643463
2017-01-11,Man loses appeal of Mason City drug conviction,-0.4746289551258087
2017-01-11,Georgia man charged in fatal Franklin County crash,-0.6515224575996399
2017-01-11,"Cocoa Liquor 2017 Global Market Share, Growth, Trends & Forecast to 2021",0.2057093232870102
2017-01-11,Wisconsin Ag Connection,-0.18935367465019226
2017-01-11,Tanzania: Why Political Scene in Tanzania Is Set to Change,-0.18479010462760925
2017-01-11,Andrews McMeel Universal unveils redesigned GoComics.com,0.1923324465751648
2017-01-11,"Cargill profit jumps on meat demand, big U.S . crops",0.16421788930892944
2017-01-12,Mason City man accused of lascivious acts,-0.5442849397659302
2017-01-12,Mower County man saved from the snow,-0.2641352415084839
2017-01-12,Rochester police officer cleared in fatal shooting,-0.7130304574966431
2017-01-12,Austin lottery winner claims prize just in time,0.32206034660339355
2017-01-12,Man gets probation after allegedly demanding deputies shoot him,-0.5302441716194153
2017-01-12,Charles City man pleads not guilty to robbery,-0.5330010056495667
2017-01-12,Public asked to help investigate fatal Sumner shootout,-0.41467544436454773
2017-01-12,"The Analyst Downgrade for the January, 9th (BATS, BG, CBM, CBPX, CLGX, CMCM, CWST, CYNO, CYS, DSX)",-0.1880999356508255
2017-01-12,Global Canola oil Market 2017,0.22951804101467133
2017-01-13,Not guilty plea in alleged jail assault,-0.6597812175750732
2017-01-13,Rochester man pleads not guilty to assault,-0.6515796184539795
2017-01-13,Rochester police looking for tobacco shop bandits,-0.2916073501110077
2017-01-13,Alleged victim nabs alleged thief,-0.641816258430481
2017-01-13,Drugs allegedly found in Rochester home,-0.5466551184654236
2017-01-13,Candy tray recall at Hy,-0.18024522066116333
2017-01-13,Rochester man pleads guilty to possessing child porn,-0.7561845779418945
2017-01-13,"Food shortage is for real, do not politicise it, opposition tells govt",-0.3166768252849579
2017-01-13,"Global Peanut Oil Market 2017 Share, Trend, Segmentation And Forecast To 2021",0.065000019967556
2017-01-13,Sex scandal rocks parliament: Raila Odinga aide claims wealthy finance boss has been sleeping with his wife,-0.7116265296936035
2017-01-14,Vehicle slides into the ditch,-0.5065356492996216
2017-01-14,Two Dodge Center explosion victims remain in the hospital,-0.47573456168174744
2017-01-14,Lukuvi says preps for Constituent Assembly completed,-0.001932054990902543
2017-01-16,Trucker protest continues in Brazil top grain state,-0.47478213906288147
2017-01-16,DR Congo v Morocco (Monday),-0.09260324388742447
2017-01-16,Edible Oils and Fats Market is Expected to Grow at a CAGR of 4% from 2016 to 2022,0.4194473922252655
2017-01-17,"Bayer: Will Keep Monsanto Jobs in U.S ., Trump Team Says",0.16295750439167023
2017-01-17,Rochester man pleads guilty to drug and weapon crimes,-0.7554531097412109
2017-01-17,Accused burglar back behind bars,-0.39758753776550293
2017-01-17,"Bayer: Will Keep Monsanto Jobs in U.S ., Trump Team Says - - Update",0.16681838035583496
2017-01-17,Deer poachers plead guilty,-0.5088917016983032
2017-01-17,Suspicious fire in Freeborn County,-0.38320866227149963
2017-01-17,Dow Chemical: DuPont Merger Probe Hinges on Innovation Concerns,-0.37384313344955444
2017-01-17,Mali v Egypt (Tuesday),-0.11602786183357239
2017-01-18,Mason City wants the streets cleared,-0.09747542440891266
