date,headline,label
2017-01-01,Filloon Oil Update: Evaluation Of Diamondback Delaware Acquisition Well Economics,0.15905286371707916
2017-01-03,"Opko Health, Inc . (NASDAQ: OPK) commenced data analysis in phase 3",0.14997485280036926
2017-01-03,"Oil Hits 18 Month High, Shell, EOG Jump As OPEC, NOPEC Start Production Cut",0.18938234448432922
2017-01-03,EOG Resources: Does Recent Strength Hold Promise ?,0.0892452672123909
2017-01-03,Are Oil Stocks About to Punk Anxious Investors ? SN CHK CRZO,-0.18855877220630646
2017-01-03,VelocityShares 3x Long Crude ETN (UWTI): U.S . Shale Production Could Rebound with Higher Oil Prices,-0.02085602842271328
2017-01-03,Linksys is the latest company to unveil a WiFi mesh system,0.13875745236873627
2017-01-03,Bradford Bulls go into liquidation,-0.03550530597567558
2017-01-03,US Shale Is Now Cash Flow Neutral,0.13152830302715302
2017-01-03,Oil and Gas Outlook 2017: OPEC vs.Trump,0.05156112462282181
2017-01-03,Druckenmiller Best Investments of 2016,0.30755963921546936
2017-01-04,"Morgan Stanley Has $316, 723, 000 Position in EOG Resources, Inc . (EOG)",0.04604322090744972
2017-01-04,EOG Resources Set to Shine in 2017 (EOG),0.3789178431034088
2017-01-04,5 S & P Companies That Lost Hundreds of Millions in Q3,-0.4490050971508026
2017-01-04,"XLE, SLB, EOG, PXD: Large Outflows Detected at ETF",0.25111544132232666
2017-01-04,"Shell Upgraded ; Tesla, Apple, Priceline, Expedia Are Buys",0.11489126086235046
2017-01-04,OPEC Always Cheats But Goldman Sees Relatively High Compliance Rate,0.1017027273774147
2017-01-04,"Tortoise Energy Independence Fund, Inc.Provides Unaudited Balance Sheet Information and Asset Coverage Ratio Update as of Dec.31, 2016",0.2236223816871643
2017-01-04,"Top Oil & Gas Analyst Upgrades and Downgrades: Baker Hughes, Chevron, Nabors, Occidental, Shell and Many More",-0.19162724912166595
2017-01-04,US Shale Is Now Cash Flow Neutral By Nick Cunningham,0.13198868930339813
2017-01-04,Druckenmiller Best Investments of —… - 6,0.2954557240009308
2017-01-05,Stock Rating Runner: Bank of America (Merrill Lynch) Says Its Time To Upgrade EOG Resources (NYSE: EOG),0.152999609708786
2017-01-05,"Mitsubishi UFJ Kokusai Asset Management Co.Ltd.Has $8, 317, 000 Stake in EOG Resources, Inc . (EOG)",0.04348863661289215
2017-01-05,Encana Corp.Is Already Ahead of Schedule,-0.024905769154429436
2017-01-05,Natural Gas Price Plunges on Low Storage Drawdown,-0.3605794608592987
2017-01-06,A Director at EOG Resources (NYSE: EOG) is Selling Shares – Markets,-0.1756824105978012
2017-01-06,Chevron: Ready for the New Normal ?,0.09329882264137268
2017-01-06,"Alaska Air Group, Inc . (NYSE: ALK) started flying between Los Angeles and Cuba",0.011641065590083599
2017-01-06,U.S . Oil Rig Count Hits Highest Level Since December 2015,0.09162085503339767
2017-01-06,Oil Up As Saudi Arabia Cuts,-0.11142301559448242
2017-01-08,"Hermes Investment Management Ltd.Takes Position in EOG Resources, Inc . (EOG)",0.12303562462329865
2017-01-08,"EOG Resources, Inc . (NYSE: EOG) – Top Stock from Basic Materials Sector – The Daily Leicester",0.38938331604003906
2017-01-09,Sirius XM Holdings Inc . (NASDAQ: SIRI) closed its fiscal 2016 with more than 31.3 million subscribers,0.05721597746014595
2017-01-09,"EOG Resources: Technical Roundup on Independent Oil & Gas Stocks - - Noble Energy, Laredo Petroleum, Murphy Oil, and EOG Resources",0.3715106248855591
2017-01-09,"Technical Roundup on Independent Oil & Gas Stocks - - Noble Energy, Laredo Petroleum, Murphy Oil, and EOG Resources",0.23726791143417358
2017-01-09,Technical Roundup on Independent Oil & Gas Stocks,0.13915559649467468
2017-01-09,High dive into the shallow end,-0.04073762148618698
2017-01-09,Traders See Bullish Options Activity Pioneer Natural Resources,0.22457478940486908
2017-01-09,"Ownership Change Worth Mentioning: As Pioneer Natural Resources Co . (PXD) Share Value Rose, Pax World Management LLC Has Decreased by $8.33 Million Its Position",0.1544485241174698
2017-01-10,EOG Resources Inc Gained 45% in 2016.Is There Room to Run in 2017 ?,0.34540945291519165
