date,headline,label
2017-01-01,Top Gainers of the Day: Royal Bank of Canada (NYSE: RY) from Money Center Banks,0.0372953861951828
2017-01-01,Stocks: North American Energy Partners Inc . (NOA) Now Covered by the Canaccord Genuity,-0.004402383230626583
2017-01-02,Stocks: Franco Nevada Corp (FNV) Price Target Raised to C$98.00 at the Royal Bank Of Canada,0.10072148591279984
2017-01-03,Royal Bank Of Canada (RY) is Great West Life Assurance Co.Can ’ s Largest Position,0.2454495131969452
2017-01-03,Money Center Banks: Royal Bank of Canada (NYSE: RY) Position of the day,0.09761247783899307
2017-01-04,Royal Bank of Canada (NYSE: RY) from Money Center Banks – Todays Top Gains,0.2896382808685303
2017-01-04,Stocks: Tetra Technologies Inc . (TTI) Given New $7.00 Price Target at the Royal Bank Of Canada,0.12928961217403412
2017-01-04,Royal Dutch Shell Plc (RDSB) Upgraded by Royal Bank Of Canada to Outperform,0.2947697043418884
2017-01-04,"Royal Bank Of Canada issued a report on AES Corp (NYSE: AES), dropping its stock price target to $12.00 today",0.0407206155359745
2017-01-04,National Bank of Canada is Citigroup ’ s top,0.21901901066303253
2017-01-05,Royal Bank Of Canada (RY) Stock Rating Upgraded by Zacks Investment Research,0.45838531851768494
2017-01-05,National Bank tops Canadian debt advisory in 2016,0.11493051797151566
2017-01-05,"TSX rises on resource gains, nearing all",0.3128823935985565
2017-01-05,Amsurg Corp . (EVHC) Price Target Increased to $87.00 by Analysts at Royal Bank Of Canada,0.3513168394565582
2017-01-05,Mastercard Incorporated (MA) Upgraded to Top Pick by Royal Bank Of Canada,0.3076764643192291
2017-01-06,Royal Bank Of Canada (NYSE: RY) Valuation According To Analysts,0.1559758484363556
2017-01-06,SAP SE (SAP) Price Target Cut to $91.00 by Analysts at Royal Bank Of Canada,-0.23518554866313934
2017-01-06,Royal Bank Of Canada Upgrades Royal Dutch Shell Plc (RDSB) to Outperform,0.26239287853240967
2017-01-06,Canada Records Trade Surplus in November,0.1713620126247406
2017-01-06,Royal Bank Of Canada Lowers Clearwater Paper Corporation (CLW) to Underperform,-0.10277247428894043
2017-01-06,Canada Records Trade Surplus In November,0.1713620126247406
2017-01-07,Advisor Partners LLC invests in Royal Bank Of Canada (RY) Shares,0.07220765948295593
2017-01-07,National Bank Of Canada (NTIOF) Analyst Coverage,0.0579519160091877
2017-01-07,The Short Interest in Royal Bank Of Canada (RY) Drops By 16.2%,0.08902852237224579
2017-01-07,Analysts showing optimistic trends for: Royal Bank of Canada (NYSE: RY),0.06960172951221466
2017-01-07,Analyst Overview: Royal Bank of Canada (NYSE: RY),-0.0010921950452029705
2017-01-07,National Bank of Canada (NA) Receives Consensus Rating of Hold from Brokerages,0.1599545180797577
2017-01-08,Analysts Set Royal Bank Of Canada (RY) Target Price at $86.00,0.18190602958202362
2017-01-08,Shell Midstream Partners LP (SHLX) PT Decreased to $41.00 at the Royal Bank Of Canada,0.011744695715606213
2017-01-09,Royal Bank Of Canada (RY) Rating Increased to Hold at Zacks Investment Research,0.4056066870689392
2017-01-09,Royal Bank of Canada (NYSE: RY) has been upgraded to Hold in a statement by Zacks Investment Research earlier today .,0.3084915280342102
2017-01-09,Home Capital Group Inc (HCG) Downgraded to Underperform at Royal Bank Of Canada,-0.28785189986228943
2017-01-09,Groupon ’ s (GRPN) sector perform Rating Reaffirmed at Royal Bank Of Canada,-0.03368700295686722
2017-01-09,"Royal Bank Of Canada recorded Sensata Technologies Holding N.V . (NYSE: ST), upping its target price to $46.00 today",0.20070438086986542
2017-01-09,BCE Inc . (BCE) Downgraded by Royal Bank Of Canada to Sector Perform,-0.29788392782211304
2017-01-09,Penn West Petroleum Ltd (PWT) Price Target Increased to C$2.75 by Analysts at Royal Bank Of Canada,0.2329474538564682
2017-01-09,Kelt Exploration Ltd (KEL) Price Target Increased to C$9.00 by Analysts at Royal Bank Of Canada,0.2270580232143402
2017-01-09,Acadian Timber Corp (ADN) Lowered to Sector Perform at Royal Bank Of Canada,-0.3613762855529785
2017-01-09,Royal Dutch Shell PLC (RDS.A) Upgraded at Royal Bank Of Canada,0.18164712190628052
2017-01-09,"Royal Bank Of Canada Lowers BCE, Inc . (BCE) to Sector Perform",-0.041181690990924835
2017-01-09,SAP SE (SAP) Given New $91.00 Price Target at Royal Bank Of Canada,0.24556495249271393
2017-01-09,TSX falls in broad retreat led by energy stocks,-0.058679480105638504
2017-01-10,Royal Bank Of Canada (RY) Receives $86.00 Consensus Target Price from Brokerages,0.1544002741575241
2017-01-10,Royal Bank Of Canada (RY) Shares Sold by Trillium Asset Management LLC,-0.009156548418104649
2017-01-10,Royal Bank of Canada: RBC sees benefits from Trump pro,0.11560743302106857
2017-01-10,Royal Bank Of Canada Increases Tembec Inc (TMB) Price Target to C$2.75,0.30966314673423767
2017-01-10,Shaw Communications Inc (SJR.B) Upgraded to Outperform by Royal Bank Of Canada,0.36979982256889343
2017-01-10,Royal Bank of Canada: Publication of Final Terms,0.0849173441529274
2017-01-10,Rogers Communications Inc . (RCI.B) Downgraded by Royal Bank Of Canada to Sector Perform,-0.258455753326416
2017-01-10,Royal Bank Of Canada Reaffirmed Sector Performer Rating for Centamin PLC (CEY),0.30528971552848816
2017-01-10,RBC anticipating stateside benefit with Trump pro,-0.02074618637561798
2017-01-10,Royal Bank Of Canada Upgrades Sensata Technologies Holding N.V . (ST) to Outperform,0.2694980204105377
2017-01-10,Home Capital Group Inc (HCG) Downgraded by Royal Bank Of Canada to Underperform,-0.3083246648311615
2017-01-10,Intact Financial Co . (IFC) Lowered to Sector Perform at Royal Bank Of Canada,-0.29247474670410156
2017-01-10,The AES Corporation (AES) Rating Lowered to Sector Perform at Royal Bank Of Canada – sleekmoney,-0.3068932592868805
2017-01-10,Tmx Group Limited (X) Upgraded to Sector Perform at Royal Bank Of Canada,0.2573813498020172
2017-01-10,RBC Sees Benefits From Trump Pro,0.1334238499403
2017-01-10,Canada RBC sees benefits from Trump pro,0.06577349454164505
2017-01-10,Royal Bank Of Canada Downgrades Clearwater Paper Corporation (CLW) to Underperform,-0.23672345280647278
2017-01-10,RBC sees benefits from Trump pro,0.1334238499403
2017-01-10,Royal Bank Of Canada Boosts Amsurg Corp . (EVHC) Price Target to $87.00,0.3558528423309326
2017-01-10,"Rogers Communication, Inc . (RCI) Downgraded by Royal Bank Of Canada to Sector Perform",-0.2198610007762909
2017-01-10,Mercer International Inc . (MERC) Rating Lowered to Sector Perform at Royal Bank Of Canada,-0.28134939074516296
2017-01-10,Canadian banks bullish on Trump pro,0.20523129403591156
2017-01-10,Canadian banks anticipating stateside benefit with Trump pro,-0.034310150891542435
2017-01-11,HUDSON BAY CO COM NPV (HBAYF) Downgraded to Sector Perform at Royal Bank Of Canada,-0.21903610229492188
2017-01-11,Crew Energy Inc . (CR) Stock Rating Lowered by Royal Bank Of Canada,-0.25288766622543335
2017-01-11,RBC chief confident of mortgage book resilience,0.2744552791118622
2017-01-12,"High Point Bank & Trust Co.Has $1, 595, 000 Stake in Royal Bank Of Canada (RY)",0.16451415419578552
2017-01-12,The Royal Bank Of Canada (RY) Shares Sold by the Trillium Asset Management LLC,-0.02110212855041027
2017-01-12,Royal Bank of Canada (RY) Receives Consensus Rating of Hold from Analysts,0.17272216081619263
2017-01-12,What do Analysts suggest for: Royal Bank of Canada (NYSE: RY),0.035251423716545105
2017-01-12,Royal Bank of Canada: Publication of Amended and Restated Final Terms,0.052081506699323654
2017-01-12,Royal Bank Of Canada Analysts Give Mercer International Inc (MRI.U) a C$13.00 Price Target,0.2492372989654541
2017-01-12,Royal Bank Of Canada Boosts Corus Entertainment Inc . (CJR.B) Price Target to C$13.00,0.3100787401199341
2017-01-12,Martinrea International ’ s (MRE) Outperform Rating Reaffirmed at Royal Bank Of Canada,0.21890093386173248
2017-01-12,Home Capital Group Inc (HCG) Cut to Underperform at Royal Bank Of Canada,-0.2607930898666382
2017-01-12,Royal Bank Of Canada Reiterates Outperform Rating for Supergroup PLC (SGP),0.2337779700756073
