date,headline,label
2017-01-01,Toronto Dominion Bank (The) (TD) to Issue Quarterly Dividend of $0.41 on January 31st,0.15850386023521423
2017-01-01,"Discovery Communications, Inc . (DISCA) Receives $29.00 Average Target Price from Analysts",0.1414383053779602
2017-01-01,"Teacher Retirement System of Texas Has $258, 000 Stake in FMC Technologies, Inc . (FTI)",0.06753215938806534
2017-01-01,"Golub Capital BDC, Inc . (GBDC) Short Interest Down 38.3% in December",0.00641995994374156
2017-01-01,"BlackRock Inc.Sells 3, 114 Shares of Toll Brothers Inc . (TOL)",-0.1451372653245926
2017-01-02,"Qorvo, Inc . (QRVO) Shares Sold by New York State Common Retirement Fund",-0.1925899088382721
2017-01-02,Incyte Corporation (INCY) Shares Sold by Sectoral Asset Management Inc,-0.14075875282287598
2017-01-02,Sectoral Asset Management Inc Decreases Stake in Teva Pharmaceutical Industries Limited (TEVA),-0.09850141406059265
2017-01-03,"Toronto Dominion Bank Has $13, 904, 000 Position in Wells Fargo & Company (WFC)",-0.10121923685073853
2017-01-03,TD Bank Names Chris Giamo Head of Regional Commercial Bank,0.057383522391319275
2017-01-03,Michael Kors Holdings Limited (KORS) Cut to Neutral at Piper Jaffray Companies,-0.20449061691761017
2017-01-03,Signet Jewelers Limited (SIG) Shares Bought by BlackRock Advisors LLC,0.054541390389204025
2017-01-03,Dollar Advances to 14,0.272708535194397
2017-01-03,TD Securities Completes Acquisition of Albert Fried & Company,0.14340552687644958
2017-01-04,Toronto Dominion Bank (The) (TD) Shares Sold by EdgePoint Investment Group Inc .,-0.25839123129844666
2017-01-04,"Shell Asset Management Co.Sells 182, 619 Shares of Toronto Dominion Bank (The) (TD)",-0.06746547669172287
2017-01-04,Price Action Dont Lie: Toronto,-0.121256023645401
2017-01-04,Cash Dividend On The Way From Toronto Dominion Bank (TD),0.2230154126882553
2017-01-04,Banco Santander Brasil SA (BSBR) Ex,0.05771525204181671
2017-01-04,"Dividend 15 Split Corp II Completes Overnight Offering of $40, 075, 000",0.13234834372997284
2017-01-04,"BlackRock Group LTD Raises Stake in Discovery Communications, Inc . (DISCA)",0.12743081152439117
2017-01-04,Brookfield Canada Office Properties (BOXC) Given Consensus Rating of Hold by Analysts,0.2515445947647095
2017-01-04,"Morgan Stanley Has $309, 627, 000 Stake in Michael Kors Holdings Limited (KORS)",0.011683160439133644
2017-01-04,TD Ameritrade Holding Corporation (AMTD) Position Cut by California Public Employees Retirement System,-0.1847553253173828
2017-01-04,"People ’ s United Financial, Inc . (PBCT) Position Increased by BlackRock Institutional Trust Company N.A .",0.1548159271478653
2017-01-04,Michael Kors Holdings Limited (KORS) Shares Sold by BlackRock Fund Advisors,-0.14875800907611847
2017-01-05,Shares Picking Up Steam: The Toronto,0.1242515817284584
2017-01-05,Toronto Dominion Bank (TD) Ex,-0.14884300529956818
2017-01-05,National Bank tops Canadian debt advisory in 2016,0.11493051797151566
2017-01-05,Value of Canadian equity issues hits record high in 2016,0.3038623034954071
2017-01-05,Navient Corporation (NAVI) Debt Trading 0.5% Higher,0.1405305564403534
2017-01-05,Woman among six injured in DI Khan bombing,-0.6968398690223694
2017-01-05,"TSX rises on resource gains, nearing all",0.3128823935985565
2017-01-05,"Teachers Advisors LLC Boosts Position in Leggett & Platt, Incorporated (LEG)",0.21636606752872467
2017-01-05,"W Michael Barnes Sells 22, 500 Shares of T",-0.20242942869663239
2017-01-05,"State of Tennessee Treasury Department Has $4, 611, 000 Position in Signet Jewelers Limited (SIG) – sleekmoney",-0.022155703976750374
2017-01-05,New York State Common Retirement Fund Decreases Position in TEGNA Inc . (TGNA),-0.1517346054315567
2017-01-05,Turkmenistan says it has halted gas supply to Iran over gas debt,-0.2914406359195709
2017-01-05,Why 2017 may be a tough year for Canadian bank stocks,0.0745178684592247
2017-01-05,"3 Great Dividend Stocks To Optimize Income, Going Ex",0.4183221161365509
2017-01-06,Rick Nold Joins TD Bank as Commercial Relationship Manager for Northern Vermont,0.2238171398639679
2017-01-06,TD Bank Names David Seaver Small Business Relationship Manager in Commercial Banking for Northern Vermont,0.15432998538017273
2017-01-06,Banco Bilbao Viscaya Argentaria S.A . (BBVA) Ex,0.2954763174057007
2017-01-06,Canadian job growth blows past forecasts as full,0.11937405914068222
2017-01-06,Concentra relaunches as Schedule I bank,0.049625325947999954
2017-01-06,Dividend Investors: Should You Own Enbridge Inc . (USA) or Toronto,-0.11659357696771622
2017-01-06,Interest rates and market,0.030456291511654854
2017-01-06,Iceberg the size of Kangaroo Island set to break away,-0.12258952856063843
2017-01-06,Real Estate Investors (LON: RLE) Broker Roundup,-0.14216892421245575
2017-01-06,Flowserve Corporation (FLS) Shares Bought by BlackRock Advisors LLC,0.1785220503807068
2017-01-07,TD Securities completes acquisition of Albert Fried & Co .,0.15282925963401794
2017-01-07,Navient Corporation (NAVI) Stock Rating Lowered by Credit Suisse Group,-0.28769615292549133
2017-01-07,Trade: FleetCor Technologies Inc . (FLT) PT Set at the $200.00 by the SunTrust Banks Inc .,0.25396209955215454
2017-01-07,"Palo Alto Networks, Inc . (PANW) Receives New Coverage from Analysts at BMO Capital Markets",0.1241297796368599
2017-01-07,PBoC Lifts Yuan Reference Rate By Most Since 2005,0.11851170659065247
2017-01-07,"Tesla Motors, Inc . (TSLA) Stock Rating Reaffirmed by Morgan Stanley",0.13365766406059265
2017-01-07,Rhumbline Advisers Increases Position in CIT Group Inc (DEL) (CIT),0.2054934948682785
2017-01-07,Enterprise Products Partners L.P . (EPD) Shares Bought by Bokf Na,0.1487428992986679
2017-01-07,Avery Dennison Corporation (AVY) Shares Bought by united states Financial Portformulas Corp,0.225382000207901
2017-01-08,Former Haiti coup leader arrested live on air,-0.15470008552074432
2017-01-08,LinkedIn Corp . (LNKD) Decreased by the Vetr Inc.to Sell,-0.1995156705379486
