lr,weight_decay,batch_size,dropout,hidden_dim,num_layers,val_loss,test_loss,mae
0.0005,0.0,16,0.3,64,2,0.052361,0.050499,0.1653770059347152
0.0005,0.0,16,0.3,128,1,0.048962,0.047763,0.1551239937543869
0.0005,0.0,16,0.3,128,2,0.052827,0.05182,0.1637070029973983
0.0005,0.0,16,0.3,256,1,0.049353,0.04683,0.1502159982919693
0.0005,0.0,16,0.3,256,2,0.051417,0.048987,0.1527190059423446
0.0005,0.0,16,0.5,64,1,0.048795,0.045824,0.1501290053129196
0.0005,0.0,16,0.5,64,2,0.051955,0.049505,0.1637559980154037
0.0005,0.0,16,0.5,128,1,0.049377,0.04872,0.1584170013666153
0.0005,0.0,16,0.5,128,2,,,
0.0005,0.0,16,0.5,256,1,,,
0.0005,0.0,16,0.5,256,2,0.051598,0.046272,0.1531769931316375
0.0005,0.0,32,0.3,64,1,0.052118,0.048157,0.158173993229866
0.0005,0.0,32,0.3,64,2,0.052425,0.051114,0.1590259969234466
0.0005,0.0,32,0.3,128,1,0.050823,0.04825,0.1581310033798217
0.0005,0.0,32,0.3,128,2,0.051548,0.0512,0.1612520068883896
0.0005,0.0,32,0.3,256,1,0.047962,0.046464,0.1560640037059784
0.0005,0.0,32,0.3,256,2,0.051622,0.047859,0.152548000216484
0.0005,0.0,32,0.5,64,1,0.049356,0.050887,0.158050000667572
0.0005,0.0,32,0.5,64,2,0.052519,0.049922,0.1641010046005249
0.0005,0.0,32,0.5,128,1,0.04932,0.047759,0.1583680063486099
0.0005,0.0,32,0.5,128,2,0.048837,0.047799,0.1549970060586929
0.0005,0.0,32,0.5,256,1,0.05025,0.050706,0.159862995147705
0.0005,0.0,32,0.5,256,2,0.054031,0.050499,0.1645810008049011
0.0005,0.0,64,0.3,64,1,0.052617,0.050947,0.165035992860794
0.0005,0.0,64,0.3,64,2,0.052039,0.05216,0.1652079969644546
0.0005,0.0,64,0.3,128,1,0.052728,0.050825,0.1647520065307617
0.0005,0.0,64,0.3,128,2,0.049844,0.051416,0.1603859961032867
0.0005,0.0,64,0.3,256,1,0.05123,0.049042,0.1569100022315979
0.0005,0.0,64,0.3,256,2,0.051594,0.049456,0.1555649936199188
0.0005,0.0,64,0.5,64,1,0.049274,0.051925,0.1637340039014816
0.0005,0.0,64,0.5,64,2,0.049743,0.051791,0.1583479940891266
0.0005,0.0,64,0.5,128,1,0.050611,0.047713,0.158610999584198
0.0005,0.0,64,0.5,128,2,0.053315,0.05063,0.1632370054721832
0.0005,0.0,64,0.5,256,1,0.050796,0.048915,0.1565340012311935
0.0005,0.0,64,0.5,256,2,0.051839,0.049537,0.1589410006999969
0.0005,0.0001,16,0.3,64,1,0.051451,0.048693,0.1641989946365356
0.0005,0.0001,16,0.3,64,2,0.05543,0.052484,0.1694349944591522
0.0005,0.0001,16,0.3,128,1,0.051721,0.05074,0.1655600070953369
0.0005,0.0001,16,0.3,128,2,0.05322,0.054503,0.1742379963397979
0.0005,0.0001,16,0.3,256,1,0.051616,0.050133,0.1652919948101043
0.0005,0.0001,16,0.3,256,2,0.0564,0.05246,0.1709090024232864
0.0005,0.0001,16,0.5,64,1,0.050455,0.049554,0.1632439941167831
0.0005,0.0001,16,0.5,64,2,0.054179,0.054027,0.1690019965171814
0.0005,0.0001,16,0.5,128,1,0.050671,0.049317,0.16244399547576904
0.0005,0.0001,16,0.5,128,2,0.053464,0.054885,0.17300400137901306
0.0005,0.0001,16,0.5,256,1,0.052207,0.050244,0.16286200284957886
0.0005,0.0001,16,0.5,256,2,0.052478,0.052276,0.16941000521183014
0.0005,0.0001,32,0.3,64,1,0.053968,0.053531,0.1702360063791275
0.0005,0.0001,32,0.3,64,2,0.055768,0.054082,0.17357699573040009
0.0001,0.0,32,0.5,128,2,0.050764,0.050988,0.16612200438976288
0.0001,1e-05,32,0.5,128,2,0.053356,0.049487,0.16399499773979187
0.0001,5e-05,32,0.5,128,2,0.054423,0.052351,0.1683409959077835
0.0001,0.0001,32,0.5,128,2,0.052247,0.05192,0.16882599890232086
0.0001,0.0005,32,0.5,128,2,0.059565,0.056862,0.18023499846458435
0.0001,0.001,32,0.5,128,2,0.063103,0.062021,0.19252899289131165
0.0001,0.005,32,0.5,128,2,0.065864,0.065177,0.19962899386882782
0.0003,0.0,32,0.5,128,2,0.051541,0.049847,0.15639199316501617
0.0003,1e-05,32,0.5,128,2,0.051375,0.050536,0.1640619933605194
0.0003,5e-05,32,0.5,128,2,0.054053,0.049867,0.16290299594402313
0.0003,0.0001,32,0.5,128,2,0.05272,0.05168,0.16706299781799316
0.0003,0.0005,32,0.5,128,2,0.058828,0.05643,0.17908599972724915
0.0003,0.001,32,0.5,128,2,0.062583,0.059799,0.1878799945116043
0.0003,0.005,32,0.5,128,2,0.068163,0.067526,0.20539399981498718
0.0005,1e-05,32,0.5,128,2,0.051756,0.052409,0.1627579927444458
0.0005,5e-05,32,0.5,128,2,0.051932,0.04986,0.16408200562000275
0.0005,0.0001,32,0.5,128,2,0.051213,0.050825,0.16572299599647522
0.0005,0.0005,32,0.5,128,2,0.060041,0.057739,0.18077600002288818
0.0005,0.001,32,0.5,128,2,0.062231,0.060864,0.18854999542236328
0.0005,0.005,32,0.5,128,2,0.065881,0.06573,0.19999399781227112
0.001,0.0,32,0.5,128,2,0.054899,0.053906,0.1740889996290207
0.001,1e-05,32,0.5,128,2,0.051647,0.050476,0.1665620058774948
0.001,5e-05,32,0.5,128,2,0.054016,0.051691,0.16346299648284912
0.001,0.0001,32,0.5,128,2,0.052394,0.051856,0.16572999954223633
0.001,0.0005,32,0.5,128,2,0.059139,0.057275,0.1807830035686493
0.001,0.001,32,0.5,128,2,0.061681,0.059884,0.18703299760818481
0.001,0.005,32,0.5,128,2,0.067867,0.068663,0.207738995552063
0.002,0.0,32,0.5,128,2,0.048595,0.046841,0.15203799307346344
0.002,1e-05,32,0.5,128,2,0.051795,0.046706,0.15490299463272095
0.002,5e-05,32,0.5,128,2,0.051024,0.051089,0.16213299334049225
0.002,0.0001,32,0.5,128,2,0.054545,0.055279,0.17323799431324005
0.002,0.0005,32,0.5,128,2,0.060589,0.056246,0.17619599401950836
0.002,0.001,32,0.5,128,2,0.062169,0.060202,0.1872979998588562
0.002,0.005,32,0.5,128,2,0.070258,0.068412,0.20560100674629211
0.003,0.0,32,0.5,128,2,0.046595,0.048987,0.15104299783706665
0.003,1e-05,32,0.5,128,2,0.050928,0.051996,0.1667270064353943
0.003,5e-05,32,0.5,128,2,0.053896,0.052031,0.16714799404144287
0.003,0.0001,32,0.5,128,2,0.053958,0.055023,0.17174899578094482
0.003,0.0005,32,0.5,128,2,0.05889,0.0583,0.18080900609493256
0.003,0.001,32,0.5,128,2,0.062703,0.062038,0.19355399906635284
0.003,0.005,32,0.5,128,2,0.070178,0.070001,0.20895500481128693
0.005,0.0,32,0.5,128,2,0.049171,0.049064,0.15626099705696106
0.005,1e-05,32,0.5,128,2,0.052212,0.050722,0.16200000047683716
0.005,5e-05,32,0.5,128,2,0.055811,0.05431,0.17458899319171906
0.005,0.0001,32,0.5,128,2,0.056204,0.0578,0.178616002202034
0.005,0.0005,32,0.5,128,2,0.061678,0.060797,0.18477100133895874
0.005,0.001,32,0.5,128,2,,,
0.005,0.005,32,0.5,128,2,,,
0.001,0.0001,32,0.1,128,1,,,
0.001,0.0001,32,0.1,192,1,,,
0.001,0.0001,32,0.1,32,2,,,
0.001,0.0001,32,0.1,64,2,,,
0.001,0.0001,32,0.1,96,2,,,
0.001,0.0001,32,0.1,384,2,,,
0.001,0.0001,32,0.1,256,3,,,
0.001,0.0001,32,0.1,512,3,,,
0.001,0.0001,32,0.2,32,1,,,
0.001,0.0001,32,0.2,64,1,,,
0.001,0.0001,32,0.2,96,1,,,
0.001,0.0001,32,0.2,384,1,,,
0.001,0.0001,32,0.2,256,2,,,
0.001,0.0001,32,0.2,512,2,,,
0.001,0.0001,32,0.2,128,3,,,
0.001,0.0001,32,0.2,192,3,,,
0.001,0.0001,32,0.3,256,1,,,
0.001,0.0001,32,0.3,512,1,,,
0.001,0.0001,32,0.3,128,2,,,
0.001,0.0001,32,0.3,192,2,,,
