lr,weight_decay,batch_size,dropout,hidden_dim,num_layers,val_loss,test_loss,mae
0.0005,0.0,16,0.3,64,2,0.034157,0.032916,0.1222660019993782
0.0005,0.0,16,0.3,128,1,0.033248,0.031154,0.12180399894714355
0.0005,0.0,16,0.3,128,2,0.032504,0.030192,0.1162479966878891
0.0005,0.0,16,0.3,256,1,0.031657,0.029942,0.12028200179338455
0.0005,0.0,16,0.3,256,2,0.030353,0.028783,0.1116190031170845
0.0005,0.0,16,0.5,64,1,0.032493,0.031555,0.12447399646043777
0.0005,0.0,16,0.5,64,2,,,
0.0005,0.0,16,0.5,128,1,,,
0.0005,0.0,16,0.5,128,2,,,
0.0005,0.0,16,0.5,256,1,,,
0.0005,0.0,16,0.5,256,2,,,
0.0005,0.0,32,0.3,64,1,,,
0.0005,0.0,32,0.3,64,2,,,
0.0005,0.0,32,0.3,128,1,,,
0.0005,0.0,32,0.3,128,2,,,
0.0005,0.0,32,0.3,256,1,,,
0.0005,0.0,32,0.3,256,2,,,
0.0005,0.0,32,0.5,64,1,,,
0.0005,0.0,32,0.5,64,2,,,
0.0005,0.0,32,0.5,128,1,,,
0.0005,0.0,32,0.5,128,2,,,
0.0005,0.0,32,0.5,256,1,,,
0.0005,0.0,32,0.5,256,2,,,
0.0005,0.0,64,0.3,64,1,,,
0.0005,0.0,64,0.3,64,2,,,
0.0005,0.0,64,0.3,128,1,,,
0.0005,0.0,64,0.3,128,2,,,
0.0005,0.0,64,0.3,256,1,,,
0.0005,0.0,64,0.3,256,2,,,
0.0005,0.0,64,0.5,64,1,,,
0.0005,0.0,64,0.5,64,2,,,
0.0005,0.0,64,0.5,128,1,,,
0.0005,0.0,64,0.5,128,2,,,
0.0005,0.0,64,0.5,256,1,,,
0.0005,0.0,64,0.5,256,2,,,
0.0005,0.0001,16,0.3,64,1,,,
0.0005,0.0001,16,0.3,64,2,,,
0.0005,0.0001,16,0.3,128,1,,,
0.0005,0.0001,16,0.3,128,2,,,
0.0005,0.0001,16,0.3,256,1,,,
0.0005,0.0001,16,0.3,256,2,,,
0.0005,0.0001,16,0.5,64,1,,,
0.0005,0.0001,16,0.5,64,2,,,
0.0005,0.0001,16,0.5,128,1,,,
0.0005,0.0001,16,0.5,128,2,,,
0.0005,0.0001,16,0.5,256,1,,,
0.0005,0.0001,16,0.5,256,2,,,
0.0005,0.0001,32,0.3,64,1,,,
0.0005,0.0001,32,0.3,64,2,,,
0.0001,0.0,32,0.5,128,2,,,
0.0001,1e-05,32,0.5,128,2,,,
0.0001,5e-05,32,0.5,128,2,,,
0.0001,0.0001,32,0.5,128,2,,,
0.0001,0.0005,32,0.5,128,2,,,
0.0001,0.001,32,0.5,128,2,,,
0.0001,0.005,32,0.5,128,2,,,
0.0003,0.0,32,0.5,128,2,,,
0.0003,1e-05,32,0.5,128,2,,,
0.0003,5e-05,32,0.5,128,2,,,
0.0003,0.0001,32,0.5,128,2,,,
0.0003,0.0005,32,0.5,128,2,,,
0.0003,0.001,32,0.5,128,2,,,
0.0003,0.005,32,0.5,128,2,,,
0.0005,1e-05,32,0.5,128,2,,,
0.0005,5e-05,32,0.5,128,2,,,
0.0005,0.0001,32,0.5,128,2,,,
0.0005,0.0005,32,0.5,128,2,,,
0.0005,0.001,32,0.5,128,2,,,
0.0005,0.005,32,0.5,128,2,,,
0.001,0.0,32,0.5,128,2,,,
0.001,1e-05,32,0.5,128,2,,,
