trial_number,train_losses,val_losses
0,"[0.062462601649264496, 0.04497905485952894, 0.039505698839202526, 0.03552050016820431, 0.032822080502907434, 0.031612382580836616, 0.03101701122087737, 0.029718627889330187, 0.028519110946605603, 0.02818842846279343, 0.02664569452094535, 0.026307934215292334, 0.027483545787011582]","[0.050621487973974304, 0.04510533067469413, 0.04526122370018409, 0.03705934634288916, 0.03835485726594925, 0.03845368456095457, 0.03624947512020858, 0.046930322910730654, 0.03798105073376344, 0.039091257922924484, 0.03694214375976187, 0.03830881077223099, 0.03884982979641511]"
1,"[0.060453464003900684, 0.039774603083108866, 0.029633229860725502, 0.02325900725709895, 0.018289922648109497, 0.01645284634704391, 0.015419618205633014, 0.01220572580738614, 0.010243097914693257, 0.05491951655286054, 0.09121914097418388, 0.07767840000490348, 0.07474558134873709, 0.07048650815462072]","[0.04904570350280175, 0.04039968203466672, 0.03720625075869835, 0.035176230651827955, 0.034831635066523, 0.04239489793813286, 0.03360818555005468, 0.03302614612218279, 0.03354056653781579, 0.09237085557900943, 0.08637574911117554, 0.07116747931219064, 0.06801275037802183, 0.06948752970649646]"
2,"[0.06304055049032818, 0.04374613637300535, 0.07311545704368608, 0.09292184406633369, 0.09291348108502481, 0.09357102448198452, 0.09270267601813717, 0.09275339541331755]","[0.049230866560120455, 0.04783032573181992, 0.09313089022225188, 0.0948380121831284, 0.09273178069744, 0.09222376089571982, 0.09255518079843632, 0.09239822507713193]"
3,"[0.08643286001366347, 0.063487552908655, 0.05398660194041683, 0.05155503850598168, 0.05021927726823519, 0.048781882643463316, 0.048027905977590754, 0.04712424790937584, 0.04647969534443396, 0.04565476808535286, 0.0447928987984516, 0.04432269176919144, 0.043601519067480984, 0.0432839301245315, 0.04272815713873491, 0.04199516719194729, 0.041635677247200915, 0.04118369563555777, 0.04068963074954056, 0.04008963995011452, 0.03961845605365173, 0.03874650595706572, 0.038544015397624004, 0.037767815241941526, 0.037411875388459095, 0.036792633883990906, 0.03616026289316395, 0.03567373350368368, 0.03476318073628442, 0.03431334810017395, 0.03363536517423436, 0.03327366514115879, 0.032389742426437405, 0.031792473018430606, 0.03122688917278348, 0.030784477427670227, 0.03006268509948169, 0.02935725922707176, 0.02847770361217339, 0.028133500688468326, 0.02760506549831449, 0.027235530162127517, 0.0264714824087072, 0.026271015627990682, 0.025725948000062438, 0.02501495972117145, 0.02452346092659066, 0.024499410752499343, 0.024031464409282142, 0.02360086436095789]","[0.0778392096042864, 0.05801043941011263, 0.05642219645859197, 0.05297008087468702, 0.05212801658772221, 0.05138823286045429, 0.05091115579644377, 0.05023812880927278, 0.05246752308493899, 0.049303865139625334, 0.048877443858357364, 0.04868091707110636, 0.049138761710288914, 0.04765235185045605, 0.047534783060352005, 0.04896554506795351, 0.047826941045679784, 0.04669734318704568, 0.04776830972684908, 0.04649574308143568, 0.048541642653272134, 0.045429791143351744, 0.04662653081869894, 0.04749236504236857, 0.044526700493554734, 0.04437189204112966, 0.044576769723564155, 0.04385493522466615, 0.0431086569446926, 0.04282966829374317, 0.042843925311814905, 0.04373398280247699, 0.042489756938329966, 0.041734794024811235, 0.041400648920630764, 0.04152912864562615, 0.04111171022144168, 0.040404611036123694, 0.0410915408933232, 0.040630826726555824, 0.04116696958220745, 0.03994840091859647, 0.040685353641824205, 0.04067138836596363, 0.039694306178942554, 0.03993686492908602, 0.03929683348784844, 0.0427717223777905, 0.03933188751296595, 0.03981587914172416]"
4,"[0.07367962375283241, 0.046117519699037074, 0.036937457708021, 0.03238274086266756, 0.0451534482712547, 0.036867038408915205, 0.03271330442279577, 0.029176098455985386, 0.025052286150554815, 0.02305384324863553, 0.023830847690502803, 0.022125528876980147, 0.020605996896823246, 0.01998780305807789, 0.02014323226486643]","[0.05413108939925829, 0.04704707014289769, 0.045430772909612366, 0.03946192150540424, 0.04497439967411937, 0.042613530587969406, 0.0429467185767311, 0.04257830655710264, 0.03749070502817631, 0.03961226688415715, 0.040434349328279495, 0.03852491154137886, 0.03795602364522038, 0.042237149946617356, 0.04001099483646227]"
5,"[0.07921915605664254, 0.05474554176131884, 0.05094512298703194, 0.048698965112368264, 0.046887673536936444, 0.04563696287572384, 0.043844301799933115, 0.04278925900657972, 0.04166836582124233, 0.039965651854872705, 0.03775591651598612, 0.03669973867634932, 0.035325440789262454, 0.034902908106644946, 0.03270969788233439, 0.030787651538848878, 0.028690553307533263, 0.02816828158994516, 0.027121172671516737, 0.027379322002331417, 0.024127131228645644, 0.0256331504881382, 0.022520110694070658, 0.02148349244147539, 0.02055347597847382, 0.019236524738371372, 0.02054034414390723, 0.020530500474075477, 0.018189261977871258, 0.017355625045796234, 0.016856585157414276, 0.01656529363244772, 0.01569957205404838, 0.01593438242872556, 0.01479216743260622, 0.014475142545998097, 0.013757235892117024, 0.02520808042337497, 0.015600823077062766]","[0.06151785876821069, 0.05414859095917029, 0.051511267747949153, 0.050125136971473694, 0.048858259749763155, 0.04820885290117825, 0.04723473966998212, 0.04686091884094126, 0.048071903121822024, 0.04480794357026324, 0.045478016987223834, 0.04317453569349121, 0.053447393371778375, 0.04460351015715038, 0.03987145788200638, 0.040246360935270786, 0.04104580116622588, 0.03974808949758025, 0.03982616632300265, 0.03856323100626469, 0.037974263486616755, 0.03747951228390722, 0.03907196190865601, 0.03791884278111598, 0.03843567717601271, 0.03692910414846504, 0.0462694529663114, 0.037047278026447576, 0.03687459652257316, 0.036721069447915346, 0.03639724209685536, 0.03752051151412375, 0.035949078662430536, 0.03782919750494115, 0.03754370440455044, 0.03682764975682778, 0.037036607041954994, 0.03737050527706742, 0.03684807690682218]"
6,"[0.06768590178961555, 0.05656310636550188, 0.058066746449718876, 0.056989479816208284, 0.05605216906095545, 0.05956843093658487, 0.05665389391283194, 0.05860389154093961]","[0.0659036418566337, 0.055294153151603846, 0.05692877984390809, 0.06005807003149619, 0.05536364425833409, 0.05622367188334465, 0.05531706867309717, 0.05543232302253063]"
7,"[0.06441137993087372, 0.052057332284748556, 0.049742036256939175, 0.04818739724655946, 0.04703611113131046, 0.04626228413234154, 0.04478083243593574, 0.04414863705014189, 0.043082250092799465, 0.04284528523062666, 0.04102383179900547, 0.04015107239906986, 0.03935180455446243, 0.03941234710936745, 0.03813270648941398, 0.03789872809002797, 0.03626988834080597, 0.03625479384635886, 0.03590259303028385, 0.03498611733627816, 0.03465615935002764, 0.03407221843488514, 0.033717418027420835, 0.032781125251203774, 0.03305803270079195, 0.0316678397419552, 0.03159955110090474, 0.031100536848728856, 0.03206412872920434, 0.030244409140820303, 0.029895295118913055, 0.030432903689021865, 0.028959660042698183, 0.02921072071418166, 0.028465430646513898, 0.028880851883441208]","[0.057236028290711914, 0.05170313369196195, 0.05118511674495844, 0.04967519807127806, 0.05136886625908888, 0.04803009199408385, 0.04918004750059201, 0.04822752378307856, 0.04735105785612877, 0.04939363518586526, 0.044872723777706805, 0.04481946287246851, 0.044781352464969344, 0.044021666135925515, 0.04457218581094192, 0.04291644715345823, 0.043185021470372495, 0.04328019378276972, 0.04312710100068496, 0.04238235380213994, 0.042429052780453974, 0.04272134077663605, 0.04273292422294617, 0.0416085177889237, 0.04262243145360396, 0.041091673248089274, 0.042106072776592694, 0.04122398730653983, 0.04116224778386263, 0.04025058634579182, 0.04105042479932308, 0.04258407423129448, 0.04262769517417137, 0.04173415618447157, 0.041912771876041706, 0.040697784865131745]"
8,"[0.08993362842472845, 0.09396978533937159, 0.08230470080793104, 0.07948186506325991, 0.07132413064460823, 0.06658111778531031, 0.0618035868649839, 0.05927247242327276, 0.054248616697953916, 0.04924015909004241, 0.04870639579411042, 0.045859126091152676, 0.0432905177438075, 0.04489046855299471, 0.03914615653847066, 0.043461490997761636, 0.034927125120743835, 0.037319119198742215, 0.03384766103901927, 0.03388934940230319, 0.033146187848876386, 0.030279244761136616, 0.030815229339148844, 0.03171446879949415, 0.03866160431494299, 0.03671904661084754, 0.027660016572174425, 0.02588737902631097, 0.024534725104435308, 0.028291701521873724, 0.026773891732398303, 0.025959716754528586, 0.02421916497930362]","[0.10422770335346229, 0.07600886094593262, 0.08479978340540746, 0.07083285558073557, 0.06803873136581838, 0.060305933720728226, 0.055825611013312675, 0.06068129417334878, 0.05273081734776497, 0.050717491613224495, 0.05913155579347481, 0.050878733281017274, 0.059165092928753805, 0.04544136502108602, 0.049561573264672774, 0.05260671544531288, 0.07999406082108039, 0.04191796327110871, 0.04125609313852565, 0.042750020987939, 0.041500558585737105, 0.041450995984378944, 0.045275137268815394, 0.04110218631464613, 0.051789449267955714, 0.043417192800620265, 0.03885240517123494, 0.04415554047179546, 0.04256720528324214, 0.0497947349321357, 0.04053655191317432, 0.041489060441133124, 0.042410378005037934]"
9,"[0.0692473437388738, 0.05137898420294126, 0.04683435201644898, 0.04452051485578219, 0.04171153495709101, 0.03844124858578046, 0.03521561379233996, 0.03270754724740982, 0.030066960602998734, 0.028154913410544394, 0.025862063840031625, 0.023449778134624163, 0.02214310172945261, 0.019668213799595834, 0.01854074406127135, 0.01694726660847664, 0.01628836349894603, 0.01457111251850923, 0.01371350855877002, 0.01255720899750789, 0.012134588062763215, 0.010666332393884658, 0.00995308897147576, 0.00929090091958642, 0.008699047906945149, 0.007874869449685018, 0.007442152115205923, 0.007191496379673481, 0.0066057854145765305, 0.006168916995326678, 0.005975312677522501, 0.0059386628679931166, 0.005952839267750581, 0.005408515402426322]","[0.05541214850895545, 0.05067900612073786, 0.048898094498059326, 0.04748136615928482, 0.04891032791313003, 0.044048556729274636, 0.04167657871456707, 0.040601429255569685, 0.040494956295279896, 0.040783207644434535, 0.0377450652201386, 0.037404769100248814, 0.03631333031636827, 0.036781601114746404, 0.03565558322760112, 0.034921901190982145, 0.037856555215137845, 0.03505251456654685, 0.03467813271152623, 0.03561766103238744, 0.034887226298451424, 0.035522560534231806, 0.035538731964633745, 0.03516682961900883, 0.03442924814846586, 0.03459719232256141, 0.03642724914585843, 0.03442556419245461, 0.03526354435940876, 0.03567460943561267, 0.03452524438719539, 0.03477043880368857, 0.03626285381067325, 0.034963115419754213]"
