trial_number,lr,weight_decay,batch_size,dropout,hidden_dim,num_layers,val_loss,test_loss,mae
0,0.004976849939512348,6.548700535384738e-05,32,0.4740025736709116,304,1,0.03624947512020858,0.03695856943153418,0.1406201
1,0.001953976543300345,1.0125986571871519e-06,32,0.5302173323520554,367,2,0.03302614612218279,0.03151364979835657,0.1203152
2,0.0021060342593628143,1.2269567380667895e-07,16,0.37173856843791653,364,4,0.04783032573181992,0.04243875479744386,0.14978966
3,1.3836767088635331e-05,1.9563504761771347e-05,16,0.16735390002562595,474,1,0.03929683348784844,0.03619676896248215,0.14105467
4,0.006788354356022921,1.306950187545415e-08,64,0.6739910787988154,203,4,0.03749070502817631,0.03742680676055677,0.14095898
5,7.906533903339573e-05,2.6263210209752498e-06,128,0.5138826643467639,434,2,0.035949078662430536,0.03592358880183276,0.12684245
6,0.002196160967451185,0.0008340162785421453,32,0.24803157385001925,384,3,0.055294153151603846,0.05740039305618176,0.18638384
7,0.0001053558020557667,0.00013009988946756934,32,0.4102467905022782,361,3,0.04025058634579182,0.040367314219474794,0.14547496
8,0.0044881523955044265,8.830680952256776e-07,16,0.36927710139309167,254,3,0.03885240517123494,0.036742432725204284,0.13468614
9,0.00031916671658069437,3.2481732712413335e-06,128,0.26906680006904876,344,1,0.03442556419245461,0.03463141324327273,0.13204306
10,0.0008771551898008159,1.1512084444018192e-07,64,0.6460631846401226,122,2,0.03217109287101211,0.034072047155914886,0.12433353
11,0.0006346002237093398,1.2920490676345705e-07,64,0.6513984244532587,81,2,0.03656694439776016,0.03473715337388443,0.12962633
12,0.0009123182355598293,1.6623870738382804e-07,64,0.5814132456020374,65,2,0.034749827573471,0.03542144387734659,0.12885693
13,0.0011031425946647982,1.4047049618887246e-08,32,0.595460539593522,163,2,0.03304843832380497,0.032135474108732666,0.1221003
14,0.0001999868637067441,5.001184338045575e-07,64,0.5386608086202201,165,2,0.03553676554425196,0.03334572741931135,0.12413704
15,0.000418602415960912,5.194434143393182e-06,32,0.6988422716412765,248,3,0.03321477497139802,0.0319771483540535,0.122116886
16,0.0019368810604519467,4.4297517858135464e-08,64,0.4522823182414507,508,1,0.02858610698163058,0.029515642390558212,0.11382844
17,3.0302872776122677e-05,4.153073120854423e-08,64,0.4372077952483355,474,1,0.03861988207438227,0.03659164719283581,0.13850188
18,0.009489318230939977,4.3992756863106e-08,64,0.10466778451626385,139,1,0.029384589612935528,0.03195925694749211,0.12005736
19,0.0032419815081463155,3.747806959941714e-08,64,0.3150690083503117,430,1,0.0299081195861976,0.030532998794859104,0.117855385
20,0.006511827262712512,2.9215370398532707e-08,64,0.12194203266659523,304,1,0.028402877435313934,0.029805003326724876,0.11669137
21,0.006846442875937415,3.580989486492361e-08,64,0.10065522757363374,284,1,0.029857699731082626,0.03108236114635612,0.11762847
22,0.009875803656997648,3.191432871898449e-07,64,0.1210354975934749,194,1,0.03398723070594398,0.03635570897974751,0.13438977
23,0.009128829798561305,4.032360203347544e-08,64,0.18834738625091385,507,1,0.036695664170000586,0.038460966143192665,0.14314215
24,0.0037163691383598823,1.055014369878895e-08,128,0.1855537458250598,117,1,0.031183924882070106,0.03136832716272158,0.11943759
25,0.0016394287784484605,5.914749602741255e-08,64,0.2314620424704362,307,1,0.0302786311685023,0.027889143336902966,0.11404202
26,0.003291657249583227,3.21996283756102e-07,64,0.32320087133969655,414,1,0.03198129376114318,0.02914941700344736,0.11626676
27,0.005195104865711457,2.172259440035658e-08,64,0.16198359878025004,230,2,0.03398974713954059,0.0321037040910486,0.11967378
28,0.002672632496474967,7.718949981872392e-08,64,0.3084872108155893,332,1,0.02892650514276642,0.02868384675997676,0.111769
29,0.0012062193242740682,8.545681219899984e-08,128,0.47405025772115666,323,1,0.030202954569283652,0.03194966128862956,0.11693194
30,0.00044978162724620475,2.302219341974604e-07,16,0.3078371347781418,278,1,0.032955546433813585,0.03086821590514146,0.12087304
31,0.005682285494951987,1.8815536508482917e-08,64,0.11661201879942312,319,1,0.028740418073015684,0.02961513151725133,0.1161454
32,0.0022631832960376772,2.0866580335859227e-08,64,0.14255369850096847,318,1,0.02932929711867914,0.030182105235078117,0.115248084
33,0.005414969616215099,2.0925796937762434e-08,64,0.2230015208466269,407,1,0.028812866827303715,0.02965448305688121,0.11552278
34,0.005090467570857182,1.1132437118643751e-08,64,0.20997741528806382,394,2,0.03846189176494425,0.04067877922771555,0.14641649
35,0.005916382113816716,1.9945905416251057e-08,16,0.1383783802433908,463,4,0.10626045929253564,0.11006606861140376,0.28677246
36,0.0018656249145030768,1.1275276535256048e-05,64,0.3714619049617514,486,1,0.032667735760862175,0.02983300212883588,0.121318504
37,0.006623119718788861,5.0515504650356734e-05,64,0.27036168432916746,451,2,0.0924883322282271,0.09501539328784654,0.25017613
38,0.0013408485811385819,8.791967162443743e-07,64,0.161912673659807,395,1,0.030610658694058657,0.029742754657160152,0.117477976
39,0.003781754319839478,2.655193651488063e-08,16,0.4540675527771015,359,1,0.03250413953304984,0.031678342967936694,0.120680355
40,0.0026501109266597583,0.0009461209753474555,128,0.216239488696661,502,4,0.09242244678385117,0.09852304221952662,0.25097334
41,0.0027126735144078966,6.497685314096523e-08,64,0.3414660228260309,331,1,0.030036723833869804,0.027610980651595375,0.11380696
42,0.004446410852204377,7.789101097771509e-08,64,0.2650574093784774,298,1,0.02914866477702603,0.03230538174058452,0.11665878
43,0.007740340312179751,1.3103757862241907e-07,64,0.41137177562067095,343,1,0.03210778315339915,0.03325490783335584,0.12937446
44,0.001616800700314862,1.7327097852720255e-08,32,0.19016964392446511,260,1,0.03067093626775134,0.02928264099531449,0.11719207
45,1.0640935575039994e-05,0.0002934897333496348,64,0.289432254776377,375,1,0.04851857809857889,0.050382651445088966,0.16821814
46,0.0007346296296274438,5.742546314247938e-07,64,0.34378737397599973,419,2,0.03355888953912213,0.029949757439846344,0.11599742
47,0.0027907835513938215,2.0496581506545834e-07,64,0.24888108685985005,349,1,0.03098169457393162,0.030194681222465904,0.115627505
48,0.004724664261154735,1.8396322461144693e-06,32,0.13529166435274873,275,2,0.03674518776197846,0.034057844802737235,0.12777866
49,6.305571918497766e-05,2.6190318818742186e-08,64,0.48313878334461074,447,3,0.03561871419801856,0.035913221086516525,0.13029715
